drug,conc,units,block,channel
bepridil,10,nM,-4.2,hERG
bepridil,10,nM,-1.9,hERG
bepridil,10,nM,-0.4,hERG
bepridil,10,nM,-0.2,hERG
bepridil,10,nM,1.2,hERG
bepridil,30,nM,-4.3,hERG
bepridil,30,nM,2,hERG
bepridil,30,nM,3.4,hERG
bepridil,30,nM,4.2,hERG
bepridil,30,nM,8.5,hERG
bepridil,100,nM,7.8,hERG
bepridil,100,nM,20.2,hERG
bepridil,100,nM,22.8,hERG
bepridil,100,nM,24.9,hERG
bepridil,100,nM,25.3,hERG
bepridil,300,nM,37.6,hERG
bepridil,300,nM,55.6,hERG
bepridil,300,nM,56,hERG
bepridil,300,nM,58.1,hERG
bepridil,300,nM,61.5,hERG
cisapride,1,nM,-5.6,hERG
cisapride,1,nM,2.2,hERG
cisapride,1,nM,2.8,hERG
cisapride,1,nM,3.2,hERG
cisapride,1,nM,5.3,hERG
cisapride,10,nM,-3.3,hERG
cisapride,10,nM,10.5,hERG
cisapride,10,nM,10.5,hERG
cisapride,10,nM,12.4,hERG
cisapride,10,nM,17.9,hERG
cisapride,100,nM,38,hERG
cisapride,100,nM,49.2,hERG
cisapride,100,nM,52.1,hERG
cisapride,100,nM,53.2,hERG
cisapride,100,nM,55.5,hERG
cisapride,300,nM,71.1,hERG
cisapride,300,nM,81.1,hERG
cisapride,300,nM,82.7,hERG
cisapride,300,nM,83.6,hERG
cisapride,300,nM,84.1,hERG
diltiazem,3000,nM,10.1,hERG
diltiazem,3000,nM,11.9,hERG
diltiazem,3000,nM,14.7,hERG
diltiazem,3000,nM,15,hERG
diltiazem,3000,nM,15.1,hERG
diltiazem,3000,nM,15.3,hERG
diltiazem,10000,nM,34.7,hERG
diltiazem,10000,nM,36.3,hERG
diltiazem,10000,nM,37,hERG
diltiazem,10000,nM,37.2,hERG
diltiazem,10000,nM,38.8,hERG
diltiazem,10000,nM,40.4,hERG
diltiazem,30000,nM,56.9,hERG
diltiazem,30000,nM,58.1,hERG
diltiazem,30000,nM,58.9,hERG
diltiazem,30000,nM,59,hERG
diltiazem,30000,nM,59.3,hERG
diltiazem,30000,nM,61.4,hERG
diltiazem,1.00E+05,nM,75,hERG
diltiazem,1.00E+05,nM,81.8,hERG
diltiazem,1.00E+05,nM,82.3,hERG
diltiazem,1.00E+05,nM,83.3,hERG
diltiazem,1.00E+05,nM,84.8,hERG
diltiazem,1.00E+05,nM,88.1,hERG
dofetilide,1,nM,-1.5,hERG
dofetilide,1,nM,0.8,hERG
dofetilide,1,nM,1.2,hERG
dofetilide,1,nM,1.6,hERG
dofetilide,1,nM,2.7,hERG
dofetilide,1,nM,3.3,hERG
dofetilide,3,nM,-10.3,hERG
dofetilide,3,nM,0.4,hERG
dofetilide,3,nM,1.9,hERG
dofetilide,3,nM,2.8,hERG
dofetilide,3,nM,4.8,hERG
dofetilide,3,nM,5.4,hERG
dofetilide,10,nM,-4.6,hERG
dofetilide,10,nM,2.1,hERG
dofetilide,10,nM,4.3,hERG
dofetilide,10,nM,4.9,hERG
dofetilide,10,nM,5.2,hERG
dofetilide,10,nM,6.7,hERG
dofetilide,10,nM,6.7,hERG
dofetilide,10,nM,6.9,hERG
dofetilide,10,nM,7.3,hERG
dofetilide,10,nM,7.9,hERG
dofetilide,10,nM,8.3,hERG
dofetilide,10,nM,9.7,hERG
dofetilide,100,nM,21.8,hERG
dofetilide,100,nM,22.9,hERG
dofetilide,100,nM,34.4,hERG
dofetilide,100,nM,35.4,hERG
dofetilide,100,nM,37.2,hERG
dofetilide,100,nM,38.7,hERG
dofetilide,100,nM,40,hERG
dofetilide,100,nM,41.4,hERG
dofetilide,100,nM,42.4,hERG
dofetilide,100,nM,47.6,hERG
dofetilide,100,nM,50.6,hERG
dofetilide,100,nM,61.9,hERG
mexiletine,1000,nM,0.2,hERG
mexiletine,1000,nM,0.9,hERG
mexiletine,1000,nM,1.8,hERG
mexiletine,10000,nM,8.1,hERG
mexiletine,10000,nM,9.6,hERG
mexiletine,10000,nM,15.3,hERG
mexiletine,30000,nM,21.5,hERG
mexiletine,30000,nM,21.6,hERG
mexiletine,30000,nM,22.5,hERG
mexiletine,1.00E+05,nM,44.6,hERG
mexiletine,1.00E+05,nM,49.5,hERG
mexiletine,1.00E+05,nM,50.6,hERG
ondansetron,300,nM,-0.3,hERG
ondansetron,300,nM,5.6,hERG
ondansetron,300,nM,6.1,hERG
ondansetron,300,nM,6.7,hERG
ondansetron,300,nM,12.4,hERG
ondansetron,1000,nM,22.4,hERG
ondansetron,1000,nM,24.8,hERG
ondansetron,1000,nM,27.6,hERG
