"drug","conc","units","block","channel"
"ondansetron",300,"nM",47.10884354,"hERG"
"ondansetron",300,"nM",28.78787879,"hERG"
"ondansetron",300,"nM",35.60145808,"hERG"
"ondansetron",1000,"nM",72.61904762,"hERG"
"ondansetron",1000,"nM",58.67768595,"hERG"
"ondansetron",1000,"nM",64.39854192,"hERG"
"ondansetron",3000,"nM",90.13605442,"hERG"
"ondansetron",3000,"nM",82.09366391,"hERG"
"ondansetron",3000,"nM",86.63426488,"hERG"
"ondansetron",10000,"nM",100,"hERG"
"ondansetron",10000,"nM",99.72451791,"hERG"
"ondansetron",10000,"nM",100,"hERG"
"bepridil",10,"nM",5.991735537,"hERG"
"bepridil",10,"nM",10.15936255,"hERG"
"bepridil",10,"nM",4.873294347,"hERG"
"bepridil",10,"nM",22.59259259,"hERG"
"bepridil",30,"nM",24.79338843,"hERG"
"bepridil",30,"nM",24.90039841,"hERG"
"bepridil",30,"nM",18.03118908,"hERG"
"bepridil",30,"nM",37.40740741,"hERG"
"bepridil",100,"nM",71.90082645,"hERG"
"bepridil",100,"nM",61.35458167,"hERG"
"bepridil",100,"nM",54.19103314,"hERG"
"bepridil",100,"nM",67.77777778,"hERG"
"bepridil",300,"nM",101.0330579,"hERG"
"bepridil",300,"nM",99.40239044,"hERG"
"bepridil",300,"nM",100,"hERG"
"bepridil",300,"nM",95.18518519,"hERG"
"verapamil",30,"nM",-0.742574257,"hERG"
"verapamil",30,"nM",28.57142857,"hERG"
"verapamil",30,"nM",11.11111111,"hERG"
"verapamil",30,"nM",6.12244898,"hERG"
"verapamil",100,"nM",11.38613861,"hERG"
"verapamil",100,"nM",49.86772487,"hERG"
"verapamil",100,"nM",31.98653199,"hERG"
"verapamil",100,"nM",18.1272509,"hERG"
"verapamil",300,"nM",46.28712871,"hERG"
"verapamil",300,"nM",67.46031746,"hERG"
"verapamil",300,"nM",56.9023569,"hERG"
"verapamil",300,"nM",47.41896759,"hERG"
"verapamil",1000,"nM",95.2970297,"hERG"
"verapamil",1000,"nM",77.11640212,"hERG"
"verapamil",1000,"nM",91.58249158,"hERG"
"verapamil",1000,"nM",87.515006,"hERG"
