"drug","conc","units","block","channel"
"ondansetron",300,"nM",22.1194,"hERG"
"ondansetron",300,"nM",14.7059,"hERG"
"ondansetron",300,"nM",21.555,"hERG"
"ondansetron",300,"nM",30.0234,"hERG"
"ondansetron",1000,"nM",44.5753,"hERG"
"ondansetron",1000,"nM",34.8087,"hERG"
"ondansetron",1000,"nM",47.2187,"hERG"
"ondansetron",1000,"nM",54.8676,"hERG"
"ondansetron",3000,"nM",71.4886,"hERG"
"ondansetron",3000,"nM",61.2793,"hERG"
"ondansetron",3000,"nM",73.5145,"hERG"
"ondansetron",3000,"nM",76.3629,"hERG"
"ondansetron",10000,"nM",90.9167,"hERG"
"ondansetron",10000,"nM",85.8938,"hERG"
"ondansetron",10000,"nM",92.225,"hERG"
"ondansetron",10000,"nM",93.3801,"hERG"
"bepridil",10,"nM",9.7662,"hERG"
"bepridil",10,"nM",23.0416,"hERG"
"bepridil",10,"nM",16.0191,"hERG"
"bepridil",30,"nM",8.1155,"hERG"
"bepridil",30,"nM",19.6657,"hERG"
"bepridil",30,"nM",15.7203,"hERG"
"bepridil",100,"nM",22.7419,"hERG"
"bepridil",100,"nM",32.9728,"hERG"
"bepridil",100,"nM",18.7089,"hERG"
"bepridil",300,"nM",70.6098,"hERG"
"bepridil",300,"nM",63.7496,"hERG"
"bepridil",300,"nM",61.5959,"hERG"
"verapamil",30,"nM",-2.0481,"hERG"
"verapamil",30,"nM",10.371,"hERG"
"verapamil",30,"nM",-0.339,"hERG"
"verapamil",30,"nM",1.6064,"hERG"
"verapamil",100,"nM",7.0428,"hERG"
"verapamil",100,"nM",20.1162,"hERG"
"verapamil",100,"nM",6.8765,"hERG"
"verapamil",100,"nM",3.6647,"hERG"
"verapamil",300,"nM",18.8924,"hERG"
"verapamil",300,"nM",32.5883,"hERG"
"verapamil",300,"nM",20,"hERG"
"verapamil",300,"nM",16.8424,"hERG"
"verapamil",1000,"nM",57.8683,"hERG"
"verapamil",1000,"nM",68.5516,"hERG"
"verapamil",1000,"nM",61.5012,"hERG"
"verapamil",1000,"nM",53.9408,"hERG"
"terfenadine",10,"nM",6.2736,"hERG"
"terfenadine",10,"nM",2.2243,"hERG"
"terfenadine",10,"nM",1.8667,"hERG"
"terfenadine",30,"nM",8.5391,"hERG"
"terfenadine",30,"nM",-9.5459,"hERG"
"terfenadine",30,"nM",6.3467,"hERG"
"terfenadine",100,"nM",16.5263,"hERG"
"terfenadine",100,"nM",-2.2243,"hERG"
"terfenadine",100,"nM",10.24,"hERG"
"terfenadine",300,"nM",27.3889,"hERG"
"terfenadine",300,"nM",19.6015,"hERG"
"terfenadine",300,"nM",21.4933,"hERG"
"ranolazine",3000,"nM",22.7574,"hERG"
"ranolazine",3000,"nM",17.2832,"hERG"
"ranolazine",3000,"nM",18.3696,"hERG"
"ranolazine",3000,"nM",24.3998,"hERG"
"ranolazine",3000,"nM",21.1697,"hERG"
"ranolazine",10000,"nM",49.5588,"hERG"
"ranolazine",10000,"nM",41.8402,"hERG"
"ranolazine",10000,"nM",44.6678,"hERG"
"ranolazine",10000,"nM",49.8036,"hERG"
"ranolazine",10000,"nM",47.3628,"hERG"
"ranolazine",30000,"nM",77.3529,"hERG"
