"drug","conc","units","block","channel"
"ondansetron",300,"nM",27.518,"hERG"
"ondansetron",300,"nM",26.407,"hERG"
"ondansetron",300,"nM",2.715,"hERG"
"ondansetron",300,"nM",25.301,"hERG"
"ondansetron",300,"nM",35.928,"hERG"
"ondansetron",300,"nM",33.871,"hERG"
"ondansetron",1000,"nM",46.42,"hERG"
"ondansetron",1000,"nM",44.617,"hERG"
"ondansetron",1000,"nM",65.57,"hERG"
"ondansetron",1000,"nM",57.342,"hERG"
"ondansetron",1000,"nM",56.98,"hERG"
"ondansetron",1000,"nM",50.425,"hERG"
"ondansetron",3000,"nM",73.323,"hERG"
"ondansetron",3000,"nM",84.546,"hERG"
"ondansetron",3000,"nM",79.489,"hERG"
"ondansetron",3000,"nM",73.314,"hERG"
"ondansetron",3000,"nM",70.441,"hERG"
"ondansetron",3000,"nM",79.966,"hERG"
"ondansetron",10000,"nM",88.033,"hERG"
"ondansetron",10000,"nM",92.174,"hERG"
"ondansetron",10000,"nM",92.272,"hERG"
"ondansetron",10000,"nM",105.829,"hERG"
"ondansetron",10000,"nM",93.388,"hERG"
"ondansetron",10000,"nM",101.31,"hERG"
"bepridil",9,"nM",3.508,"hERG"
"bepridil",9,"nM",16.449,"hERG"
"bepridil",9,"nM",-13.117,"hERG"
"bepridil",9,"nM",-15.374,"hERG"
"bepridil",9,"nM",11.613,"hERG"
"bepridil",9,"nM",18.746,"hERG"
"bepridil",30,"nM",10.916,"hERG"
"bepridil",30,"nM",11.859,"hERG"
"bepridil",30,"nM",0.074,"hERG"
"bepridil",30,"nM",13.706,"hERG"
"bepridil",30,"nM",16.898,"hERG"
"bepridil",90,"nM",15.075,"hERG"
"bepridil",90,"nM",10.289,"hERG"
"bepridil",90,"nM",16.364,"hERG"
"bepridil",90,"nM",3.452,"hERG"
"bepridil",90,"nM",27.574,"hERG"
"bepridil",90,"nM",16.553,"hERG"
"bepridil",300,"nM",53.295,"hERG"
"bepridil",300,"nM",71.005,"hERG"
"bepridil",300,"nM",55.552,"hERG"
"bepridil",300,"nM",48.513,"hERG"
"bepridil",300,"nM",52.888,"hERG"
"verapamil",30,"nM",15.808,"hERG"
"verapamil",30,"nM",11.892,"hERG"
"verapamil",30,"nM",10.129,"hERG"
"verapamil",30,"nM",-23.199,"hERG"
"verapamil",30,"nM",12.816,"hERG"
"verapamil",30,"nM",6.315,"hERG"
"verapamil",100,"nM",43.698,"hERG"
"verapamil",100,"nM",43.549,"hERG"
"verapamil",100,"nM",25.744,"hERG"
"verapamil",100,"nM",41.584,"hERG"
"verapamil",100,"nM",38.634,"hERG"
