"drug","conc","units","block","channel"
"ondansetron",300,"nM",23.1850117096019,"hERG"
"ondansetron",300,"nM",-1.18152524167561,"hERG"
"ondansetron",300,"nM",15.0728309056365,"hERG"
"ondansetron",1000,"nM",49.7267759562842,"hERG"
"ondansetron",1000,"nM",35.3383458646617,"hERG"
"ondansetron",1000,"nM",41.4819506016466,"hERG"
"ondansetron",3000,"nM",75.0195160031226,"hERG"
"ondansetron",3000,"nM",78.0880773361976,"hERG"
"ondansetron",3000,"nM",64.3445218492717,"hERG"
"ondansetron",10000,"nM",91.4129586260734,"hERG"
"ondansetron",10000,"nM",88.8292158968851,"hERG"
"ondansetron",10000,"nM",83.4072197593414,"hERG"
"bepridil",9.9,"nM",-6.07950116913485,"hERG"
"bepridil",9.9,"nM",9.95607613469985,"hERG"
"bepridil",9.9,"nM",14.3437862950058,"hERG"
"bepridil",9.9,"nM",8.8477366255144,"hERG"
"bepridil",30,"nM",11.2236944660951,"hERG"
"bepridil",30,"nM",22.5475841874085,"hERG"
"bepridil",30,"nM",23.1126596980255,"hERG"
"bepridil",30,"nM",21.4677640603567,"hERG"
"bepridil",99,"nM",44.8947778643804,"hERG"
"bepridil",99,"nM",50.4392386530015,"hERG"
"bepridil",99,"nM",52.4390243902439,"hERG"
"bepridil",99,"nM",56.241426611797,"hERG"
"bepridil",300,"nM",78.5658612626656,"hERG"
"bepridil",300,"nM",79.2093704245974,"hERG"
"bepridil",300,"nM",77.4680603948897,"hERG"
"bepridil",300,"nM",88.2030178326475,"hERG"
"verapamil",30,"nM",26.5850945494994,"hERG"
"verapamil",30,"nM",17.357762777242,"hERG"
"verapamil",30,"nM",16.8661588683351,"hERG"
"verapamil",100,"nM",32.146829810901,"hERG"
"verapamil",100,"nM",25.168756027001,"hERG"
"verapamil",100,"nM",35.4733405875952,"hERG"
"verapamil",300,"nM",65.7397107897664,"hERG"
"verapamil",300,"nM",24.9758919961427,"hERG"
"verapamil",300,"nM",49.727965179543,"hERG"
"verapamil",1000,"nM",81.8687430478309,"hERG"
"verapamil",1000,"nM",69.5274831243973,"hERG"
"verapamil",1000,"nM",87.7040261153428,"hERG"
"chlorpromazine",99,"nM",15.8308157099698,"hERG"
"chlorpromazine",99,"nM",15.6692056583243,"hERG"
"chlorpromazine",99,"nM",13.9563106796117,"hERG"
"chlorpromazine",99,"nM",11.5591397849462,"hERG"
"chlorpromazine",300,"nM",36.8580060422961,"hERG"
"chlorpromazine",300,"nM",37.6496191512514,"hERG"
"chlorpromazine",300,"nM",36.6504854368932,"hERG"
"chlorpromazine",300,"nM",37.7240143369176,"hERG"
"chlorpromazine",990,"nM",65.9214501510574,"hERG"
