drug,conc,units,block,channel
bepridil,10,nM,-1.92,hERG
bepridil,10,nM,-1.2,hERG
bepridil,10,nM,-0.45,hERG
bepridil,10,nM,9.77,hERG
bepridil,30,nM,2.73,hERG
bepridil,30,nM,2.91,hERG
bepridil,30,nM,6.59,hERG
bepridil,30,nM,12.87,hERG
bepridil,100,nM,20.88,hERG
bepridil,100,nM,21.56,hERG
bepridil,100,nM,25.12,hERG
bepridil,100,nM,25.32,hERG
bepridil,300,nM,48.46,hERG
bepridil,300,nM,57.68,hERG
bepridil,300,nM,65.68,hERG
bepridil,300,nM,66.69,hERG
cisapride,1,nM,-0.76,hERG
cisapride,1,nM,10.89,hERG
cisapride,1,nM,11.53,hERG
cisapride,10,nM,7.37,hERG
cisapride,10,nM,15.14,hERG
cisapride,10,nM,30.13,hERG
cisapride,100,nM,29.24,hERG
cisapride,100,nM,32.25,hERG
cisapride,100,nM,68.11,hERG
cisapride,300,nM,52.26,hERG
cisapride,300,nM,64.93,hERG
cisapride,300,nM,88.34,hERG
diltiazem,3000,nM,15.15,hERG
diltiazem,3000,nM,20.36,hERG
diltiazem,3000,nM,20.71,hERG
diltiazem,3000,nM,20.92,hERG
diltiazem,10000,nM,33.3,hERG
diltiazem,10000,nM,39.46,hERG
diltiazem,10000,nM,42.2,hERG
diltiazem,10000,nM,42.73,hERG
diltiazem,30000,nM,57.47,hERG
diltiazem,30000,nM,63.34,hERG
diltiazem,30000,nM,67.2,hERG
diltiazem,30000,nM,69.35,hERG
diltiazem,1.00E+05,nM,78.62,hERG
diltiazem,1.00E+05,nM,84.19,hERG
diltiazem,1.00E+05,nM,85.52,hERG
diltiazem,1.00E+05,nM,86.77,hERG
dofetilide,1,nM,0.95,hERG
dofetilide,1,nM,2.92,hERG
dofetilide,1,nM,10.65,hERG
dofetilide,3,nM,-1.11,hERG
dofetilide,3,nM,1.07,hERG
dofetilide,3,nM,7.46,hERG
dofetilide,10,nM,4.1,hERG
dofetilide,10,nM,5.28,hERG
dofetilide,10,nM,9.89,hERG
dofetilide,100,nM,42.34,hERG
dofetilide,100,nM,42.37,hERG
dofetilide,100,nM,46.9,hERG
mexiletine,1000,nM,-9.81,hERG
mexiletine,1000,nM,-4.53,hERG
mexiletine,1000,nM,3.82,hERG
mexiletine,10000,nM,-5.72,hERG
mexiletine,10000,nM,0.02,hERG
mexiletine,10000,nM,9.43,hERG
mexiletine,30000,nM,6.35,hERG
mexiletine,30000,nM,16.54,hERG
mexiletine,30000,nM,23.12,hERG
mexiletine,1.00E+05,nM,34.53,hERG
mexiletine,1.00E+05,nM,41.78,hERG
mexiletine,1.00E+05,nM,49.79,hERG
ondansetron,300,nM,8.82,hERG
ondansetron,300,nM,9.13,hERG
ondansetron,300,nM,11.29,hERG
ondansetron,1000,nM,16.47,hERG
ondansetron,1000,nM,19.33,hERG
ondansetron,1000,nM,22.97,hERG
ondansetron,3000,nM,40.33,hERG
ondansetron,3000,nM,45.22,hERG
ondansetron,3000,nM,46,hERG
ondansetron,10000,nM,69.52,hERG
ondansetron,10000,nM,72.31,hERG
ondansetron,10000,nM,73.43,hERG
quinidine,100,nM,7.5,hERG
quinidine,100,nM,13.58,hERG
quinidine,100,nM,15.44,hERG
quinidine,300,nM,6.77,hERG
quinidine,300,nM,19.95,hERG
quinidine,300,nM,30.9,hERG
quinidine,1000,nM,31.52,hERG
quinidine,1000,nM,34.06,hERG
quinidine,1000,nM,45.94,hERG
quinidine,10000,nM,85.35,hERG
quinidine,10000,nM,90.36,hERG
quinidine,10000,nM,92.3,hERG
ranolazine,1000,nM,13.41,hERG
ranolazine,1000,nM,17.33,hERG
ranolazine,1000,nM,17.53,hERG
ranolazine,10000,nM,31.35,hERG
ranolazine,10000,nM,33.54,hERG
ranolazine,10000,nM,42.38,hERG
ranolazine,30000,nM,57.35,hERG
ranolazine,30000,nM,57.55,hERG
ranolazine,30000,nM,65.91,hERG
ranolazine,1.00E+05,nM,76.33,hERG
ranolazine,1.00E+05,nM,76.88,hERG
ranolazine,1.00E+05,nM,83.5,hERG
sotalol,10000,nM,-1.53,hERG
sotalol,10000,nM,4.19,hERG
sotalol,10000,nM,7.18,hERG
sotalol,30000,nM,-5.55,hERG
sotalol,30000,nM,6.22,hERG
sotalol,30000,nM,10.29,hERG
sotalol,1.00E+05,nM,9.49,hERG
sotalol,1.00E+05,nM,18.06,hERG
sotalol,1.00E+05,nM,20.67,hERG
sotalol,3.00E+05,nM,30.23,hERG
sotalol,3.00E+05,nM,41.03,hERG
sotalol,3.00E+05,nM,46.49,hERG
terfenadine,3,nM,3.1,hERG
terfenadine,3,nM,6.19,hERG
terfenadine,3,nM,6.29,hERG
terfenadine,10,nM,1.02,hERG
terfenadine,10,nM,8.07,hERG
terfenadine,10,nM,9.75,hERG
terfenadine,100,nM,14.04,hERG
terfenadine,100,nM,15.61,hERG
terfenadine,100,nM,21.83,hERG
terfenadine,300,nM,41.79,hERG
terfenadine,300,nM,43.47,hERG
terfenadine,300,nM,48.58,hERG
verapamil,30,nM,2.59,hERG
verapamil,30,nM,6,hERG
verapamil,30,nM,15.5,hERG
verapamil,100,nM,6.75,hERG
verapamil,100,nM,9.59,hERG
verapamil,100,nM,16.01,hERG
verapamil,300,nM,15.08,hERG
verapamil,300,nM,18.98,hERG
verapamil,300,nM,29.36,hERG
verapamil,1000,nM,42.67,hERG
verapamil,1000,nM,48.83,hERG
verapamil,1000,nM,56.76,hERG
