drug,conc,units,block,channel
bepridil,10,nM,-3.04,hERG
bepridil,10,nM,28.72,hERG
bepridil,10,nM,33.72,hERG
bepridil,10,nM,34.58,hERG
bepridil,10,nM,37,hERG
bepridil,10,nM,37.65,hERG
bepridil,10,nM,42.54,hERG
bepridil,10,nM,46.89,hERG
bepridil,10,nM,47.92,hERG
bepridil,10,nM,62.85,hERG
bepridil,10,nM,66.12,hERG
bepridil,10,nM,67.43,hERG
bepridil,30,nM,-1.78,hERG
bepridil,30,nM,8.41,hERG
bepridil,30,nM,9.24,hERG
bepridil,30,nM,18.05,hERG
bepridil,30,nM,18.8,hERG
bepridil,30,nM,23.54,hERG
bepridil,30,nM,23.8,hERG
bepridil,30,nM,24.36,hERG
bepridil,30,nM,28.16,hERG
bepridil,30,nM,35.64,hERG
bepridil,30,nM,38.18,hERG
bepridil,30,nM,50.52,hERG
bepridil,30,nM,57.43,hERG
bepridil,30,nM,78.37,hERG
bepridil,100,nM,38.14,hERG
bepridil,100,nM,43.24,hERG
bepridil,100,nM,43.81,hERG
bepridil,100,nM,52.24,hERG
bepridil,100,nM,59.31,hERG
bepridil,100,nM,59.6,hERG
bepridil,100,nM,61.67,hERG
bepridil,100,nM,62.4,hERG
bepridil,100,nM,62.72,hERG
bepridil,100,nM,65.3,hERG
bepridil,100,nM,69.35,hERG
bepridil,100,nM,70.08,hERG
bepridil,100,nM,79.93,hERG
bepridil,100,nM,81.14,hERG
bepridil,100,nM,82.5,hERG
bepridil,300,nM,67.45,hERG
bepridil,300,nM,70.21,hERG
bepridil,300,nM,72.29,hERG
bepridil,300,nM,73.7,hERG
bepridil,300,nM,74.79,hERG
bepridil,300,nM,76.54,hERG
bepridil,300,nM,76.68,hERG
bepridil,300,nM,78.74,hERG
bepridil,300,nM,83.73,hERG
bepridil,300,nM,84.98,hERG
bepridil,300,nM,85.73,hERG
bepridil,300,nM,86.16,hERG
bepridil,300,nM,86.76,hERG
bepridil,300,nM,89.72,hERG
bepridil,300,nM,89.84,hERG
cisapride,1,nM,0.17,hERG
cisapride,1,nM,5.86,hERG
cisapride,1,nM,8.98,hERG
cisapride,1,nM,10.4,hERG
cisapride,1,nM,10.82,hERG
cisapride,1,nM,11.34,hERG
cisapride,1,nM,14.48,hERG
cisapride,1,nM,14.78,hERG
cisapride,1,nM,15.21,hERG
cisapride,1,nM,19.63,hERG
cisapride,1,nM,20.31,hERG
cisapride,10,nM,5.45,hERG
cisapride,10,nM,8.49,hERG
cisapride,10,nM,10.63,hERG
cisapride,10,nM,10.68,hERG
cisapride,10,nM,12.87,hERG
cisapride,10,nM,13.42,hERG
cisapride,10,nM,16.32,hERG
cisapride,10,nM,16.33,hERG
cisapride,10,nM,16.63,hERG
cisapride,10,nM,17.47,hERG
cisapride,10,nM,18.01,hERG
cisapride,10,nM,21.26,hERG
cisapride,10,nM,23.34,hERG
cisapride,10,nM,135.31,hERG
cisapride,100,nM,36.43,hERG
cisapride,100,nM,39.47,hERG
cisapride,100,nM,42.66,hERG
cisapride,100,nM,46.14,hERG
cisapride,100,nM,48.26,hERG
cisapride,100,nM,48.77,hERG
cisapride,100,nM,52.54,hERG
cisapride,100,nM,57.06,hERG
cisapride,100,nM,59.73,hERG
cisapride,100,nM,63.93,hERG
cisapride,100,nM,67.17,hERG
cisapride,100,nM,67.59,hERG
cisapride,100,nM,71.63,hERG
cisapride,300,nM,45.61,hERG
cisapride,300,nM,67.05,hERG
cisapride,300,nM,68.31,hERG
cisapride,300,nM,72.26,hERG
cisapride,300,nM,73.17,hERG
cisapride,300,nM,79.83,hERG
cisapride,300,nM,80.04,hERG
cisapride,300,nM,81.31,hERG
cisapride,300,nM,81.43,hERG
cisapride,300,nM,81.44,hERG
cisapride,300,nM,81.87,hERG
cisapride,300,nM,82.52,hERG
cisapride,300,nM,84.83,hERG
cisapride,300,nM,87.23,hERG
cisapride,300,nM,88.48,hERG
diltiazem,3000,nM,20.95,hERG
diltiazem,3000,nM,23.91,hERG
diltiazem,3000,nM,33.01,hERG
diltiazem,3000,nM,34.24,hERG
diltiazem,3000,nM,34.35,hERG
diltiazem,3000,nM,35,hERG
diltiazem,3000,nM,35.4,hERG
diltiazem,3000,nM,36.16,hERG
diltiazem,3000,nM,39.12,hERG
diltiazem,3000,nM,39.44,hERG
diltiazem,3000,nM,40.39,hERG
diltiazem,3000,nM,45.03,hERG
diltiazem,3000,nM,60.23,hERG
diltiazem,3000,nM,65.28,hERG
diltiazem,3000,nM,111.91,hERG
diltiazem,10000,nM,47.62,hERG
diltiazem,10000,nM,48.88,hERG
diltiazem,10000,nM,52.71,hERG
diltiazem,10000,nM,57.74,hERG
diltiazem,10000,nM,57.88,hERG
diltiazem,10000,nM,59.43,hERG
diltiazem,10000,nM,62.13,hERG
diltiazem,10000,nM,62.83,hERG
diltiazem,10000,nM,66.31,hERG
diltiazem,10000,nM,66.65,hERG
diltiazem,10000,nM,66.76,hERG
diltiazem,10000,nM,87.42,hERG
diltiazem,10000,nM,95.82,hERG
diltiazem,30000,nM,52.73,hERG
diltiazem,30000,nM,73.76,hERG
diltiazem,30000,nM,75.19,hERG
diltiazem,30000,nM,75.66,hERG
diltiazem,30000,nM,76.77,hERG
diltiazem,30000,nM,77.1,hERG
diltiazem,30000,nM,78.8,hERG
diltiazem,30000,nM,78.85,hERG
diltiazem,30000,nM,79.91,hERG
diltiazem,30000,nM,81.29,hERG
diltiazem,30000,nM,83.15,hERG
diltiazem,30000,nM,83.16,hERG
diltiazem,30000,nM,86.38,hERG
diltiazem,30000,nM,86.39,hERG
diltiazem,30000,nM,91.69,hERG
diltiazem,1.00E+05,nM,63.02,hERG
diltiazem,1.00E+05,nM,76.99,hERG
diltiazem,1.00E+05,nM,77.74,hERG
diltiazem,1.00E+05,nM,79.71,hERG
diltiazem,1.00E+05,nM,80.33,hERG
diltiazem,1.00E+05,nM,81.52,hERG
diltiazem,1.00E+05,nM,82.24,hERG
diltiazem,1.00E+05,nM,84.01,hERG
diltiazem,1.00E+05,nM,84.75,hERG
diltiazem,1.00E+05,nM,86.26,hERG
diltiazem,1.00E+05,nM,87.08,hERG
diltiazem,1.00E+05,nM,87.91,hERG
diltiazem,1.00E+05,nM,88.31,hERG
diltiazem,1.00E+05,nM,88.95,hERG
diltiazem,1.00E+05,nM,100.16,hERG
dofetilide,1,nM,4.23,hERG
dofetilide,1,nM,16.53,hERG
dofetilide,1,nM,18.27,hERG
dofetilide,1,nM,19.54,hERG
dofetilide,1,nM,22.42,hERG
dofetilide,1,nM,23.54,hERG
dofetilide,1,nM,23.68,hERG
dofetilide,1,nM,25.35,hERG
dofetilide,1,nM,37.85,hERG
dofetilide,1,nM,55.2,hERG
dofetilide,1,nM,64.48,hERG
dofetilide,3,nM,17.69,hERG
dofetilide,3,nM,19.97,hERG
dofetilide,3,nM,24.38,hERG
dofetilide,3,nM,30.99,hERG
dofetilide,3,nM,31.22,hERG
dofetilide,3,nM,33.63,hERG
dofetilide,3,nM,35.99,hERG
dofetilide,3,nM,39.66,hERG
dofetilide,3,nM,43.04,hERG
dofetilide,3,nM,45.59,hERG
dofetilide,3,nM,52.95,hERG
dofetilide,3,nM,54.87,hERG
dofetilide,3,nM,66.56,hERG
dofetilide,10,nM,14.88,hERG
dofetilide,10,nM,18.69,hERG
dofetilide,10,nM,22.93,hERG
dofetilide,10,nM,28.16,hERG
dofetilide,10,nM,30.07,hERG
dofetilide,10,nM,32.26,hERG
dofetilide,10,nM,40.64,hERG
dofetilide,10,nM,51.17,hERG
dofetilide,10,nM,56.79,hERG
dofetilide,10,nM,57.8,hERG
dofetilide,10,nM,59.96,hERG
dofetilide,100,nM,77.05,hERG
dofetilide,100,nM,82.69,hERG
dofetilide,100,nM,82.8,hERG
dofetilide,100,nM,89.11,hERG
dofetilide,100,nM,91.13,hERG
dofetilide,100,nM,91.32,hERG
dofetilide,100,nM,92.19,hERG
dofetilide,100,nM,94.48,hERG
dofetilide,100,nM,96.07,hERG
mexiletine,1000,nM,-3.16,hERG
mexiletine,1000,nM,3.81,hERG
mexiletine,1000,nM,5.11,hERG
mexiletine,1000,nM,6.3,hERG
mexiletine,1000,nM,8.03,hERG
mexiletine,1000,nM,8.19,hERG
mexiletine,1000,nM,9.32,hERG
mexiletine,1000,nM,11.77,hERG
mexiletine,1000,nM,11.86,hERG
mexiletine,1000,nM,12,hERG
mexiletine,1000,nM,12.36,hERG
mexiletine,1000,nM,12.64,hERG
mexiletine,1000,nM,12.69,hERG
mexiletine,1000,nM,13.13,hERG
mexiletine,1000,nM,15.02,hERG
mexiletine,1000,nM,33.43,hERG
mexiletine,10000,nM,9.23,hERG
mexiletine,10000,nM,17.36,hERG
mexiletine,10000,nM,18.13,hERG
mexiletine,10000,nM,20.38,hERG
mexiletine,10000,nM,20.8,hERG
mexiletine,10000,nM,22.05,hERG
mexiletine,10000,nM,22.12,hERG
mexiletine,10000,nM,22.78,hERG
mexiletine,10000,nM,23.08,hERG
mexiletine,10000,nM,23.12,hERG
mexiletine,10000,nM,24.29,hERG
mexiletine,10000,nM,25.09,hERG
mexiletine,10000,nM,26.09,hERG
mexiletine,10000,nM,37.56,hERG
mexiletine,10000,nM,43.85,hERG
mexiletine,30000,nM,21.99,hERG
mexiletine,30000,nM,25.54,hERG
mexiletine,30000,nM,29.4,hERG
mexiletine,30000,nM,29.59,hERG
mexiletine,30000,nM,30.58,hERG
mexiletine,30000,nM,31.08,hERG
mexiletine,30000,nM,32.87,hERG
mexiletine,30000,nM,34.64,hERG
mexiletine,30000,nM,36.91,hERG
mexiletine,30000,nM,40.83,hERG
mexiletine,30000,nM,42.59,hERG
mexiletine,30000,nM,44.17,hERG
mexiletine,30000,nM,45.04,hERG
mexiletine,1.00E+05,nM,50.03,hERG
mexiletine,1.00E+05,nM,51.07,hERG
mexiletine,1.00E+05,nM,51.67,hERG
mexiletine,1.00E+05,nM,52,hERG
mexiletine,1.00E+05,nM,53.56,hERG
mexiletine,1.00E+05,nM,56.07,hERG
mexiletine,1.00E+05,nM,56.29,hERG
mexiletine,1.00E+05,nM,58.6,hERG
mexiletine,1.00E+05,nM,59.3,hERG
mexiletine,1.00E+05,nM,64.13,hERG
mexiletine,1.00E+05,nM,66.15,hERG
mexiletine,1.00E+05,nM,66.36,hERG
mexiletine,1.00E+05,nM,66.65,hERG
mexiletine,1.00E+05,nM,67.27,hERG
mexiletine,1.00E+05,nM,69.49,hERG
mexiletine,1.00E+05,nM,75.3,hERG
ondansetron,300,nM,-5.96,hERG
ondansetron,300,nM,23.31,hERG
ondansetron,300,nM,47.53,hERG
ondansetron,300,nM,55.95,hERG
ondansetron,300,nM,60.83,hERG
ondansetron,300,nM,65.19,hERG
ondansetron,300,nM,74.75,hERG
ondansetron,300,nM,76.06,hERG
ondansetron,300,nM,77.26,hERG
ondansetron,300,nM,84.3,hERG
ondansetron,300,nM,86.16,hERG
ondansetron,1000,nM,22.7,hERG
ondansetron,1000,nM,36.97,hERG
ondansetron,1000,nM,39.29,hERG
ondansetron,1000,nM,39.6,hERG
ondansetron,1000,nM,39.99,hERG
ondansetron,1000,nM,46.84,hERG
ondansetron,1000,nM,51.98,hERG
ondansetron,1000,nM,55.45,hERG
ondansetron,1000,nM,58.16,hERG
ondansetron,1000,nM,59.71,hERG
ondansetron,1000,nM,61.81,hERG
ondansetron,1000,nM,65.04,hERG
ondansetron,1000,nM,74.11,hERG
ondansetron,1000,nM,81.85,hERG
ondansetron,3000,nM,48.99,hERG
ondansetron,3000,nM,64.47,hERG
ondansetron,3000,nM,65.01,hERG
ondansetron,3000,nM,69.15,hERG
ondansetron,3000,nM,76.08,hERG
ondansetron,3000,nM,76.81,hERG
ondansetron,3000,nM,77.46,hERG
ondansetron,3000,nM,79.07,hERG
ondansetron,3000,nM,79.36,hERG
ondansetron,3000,nM,81.22,hERG
ondansetron,3000,nM,83.25,hERG
ondansetron,3000,nM,85.46,hERG
ondansetron,3000,nM,86.18,hERG
ondansetron,3000,nM,86.68,hERG
ondansetron,10000,nM,79.79,hERG
ondansetron,10000,nM,82.04,hERG
ondansetron,10000,nM,85.83,hERG
ondansetron,10000,nM,88.64,hERG
ondansetron,10000,nM,89,hERG
ondansetron,10000,nM,89.4,hERG
ondansetron,10000,nM,89.56,hERG
ondansetron,10000,nM,89.9,hERG
ondansetron,10000,nM,90.13,hERG
ondansetron,10000,nM,91.46,hERG
ondansetron,10000,nM,91.96,hERG
ondansetron,10000,nM,92.62,hERG
ondansetron,10000,nM,93.79,hERG
ondansetron,10000,nM,97.94,hERG
quinidine,100,nM,2.59,hERG
quinidine,100,nM,8.95,hERG
quinidine,100,nM,10.54,hERG
quinidine,100,nM,11.52,hERG
quinidine,100,nM,12.12,hERG
quinidine,100,nM,13.18,hERG
quinidine,100,nM,15.01,hERG
quinidine,100,nM,16.49,hERG
quinidine,100,nM,17.06,hERG
quinidine,100,nM,19.35,hERG
quinidine,100,nM,22.17,hERG
quinidine,100,nM,29.15,hERG
quinidine,300,nM,19.73,hERG
quinidine,300,nM,21.04,hERG
quinidine,300,nM,22.32,hERG
quinidine,300,nM,25.89,hERG
quinidine,300,nM,27.5,hERG
