"drug","conc","units","block","channel"
"ondansetron",300,"nM",31.96,"hERG"
"ondansetron",300,"nM",16.28,"hERG"
"ondansetron",1000,"nM",64.33,"hERG"
"ondansetron",1000,"nM",26.2,"hERG"
"ondansetron",1000,"nM",43.9,"hERG"
"ondansetron",1000,"nM",56.37,"hERG"
"ondansetron",1000,"nM",44.96,"hERG"
"ondansetron",1000,"nM",31.98,"hERG"
"ondansetron",1000,"nM",46.75,"hERG"
"ondansetron",1000,"nM",40.88,"hERG"
"ondansetron",1000,"nM",58.81,"hERG"
"ondansetron",1000,"nM",41.7,"hERG"
"ondansetron",1000,"nM",51.27,"hERG"
"ondansetron",1000,"nM",29.46,"hERG"
"ondansetron",1000,"nM",42.16,"hERG"
"ondansetron",3000,"nM",50.82,"hERG"
"ondansetron",3000,"nM",73.4,"hERG"
"ondansetron",3000,"nM",61.44,"hERG"
"ondansetron",3000,"nM",66.16,"hERG"
"ondansetron",3000,"nM",61.83,"hERG"
"ondansetron",3000,"nM",73.05,"hERG"
"ondansetron",3000,"nM",86.88,"hERG"
"ondansetron",3000,"nM",70.97,"hERG"
"ondansetron",3000,"nM",58.51,"hERG"
"ondansetron",3000,"nM",77.66,"hERG"
"ondansetron",3000,"nM",61.81,"hERG"
"ondansetron",3000,"nM",82.1,"hERG"
"ondansetron",10000,"nM",82.84,"hERG"
"ondansetron",10000,"nM",90.02,"hERG"
"ondansetron",10000,"nM",84.63,"hERG"
"ondansetron",10000,"nM",86.18,"hERG"
"ondansetron",10000,"nM",87.13,"hERG"
"ondansetron",10000,"nM",81.64,"hERG"
"ondansetron",10000,"nM",90.58,"hERG"
"ondansetron",10000,"nM",90.45,"hERG"
"ondansetron",10000,"nM",86.38,"hERG"
"ondansetron",10000,"nM",87.09,"hERG"
"ondansetron",10000,"nM",89.7,"hERG"
"bepridil",10,"nM",18.13,"hERG"
"bepridil",10,"nM",5.62,"hERG"
"bepridil",10,"nM",9.84,"hERG"
"bepridil",10,"nM",23.56,"hERG"
"bepridil",10,"nM",8.01,"hERG"
"bepridil",10,"nM",5.38,"hERG"
"bepridil",10,"nM",12.26,"hERG"
"bepridil",10,"nM",15.9,"hERG"
"bepridil",10,"nM",6.1,"hERG"
"bepridil",10,"nM",6.09,"hERG"
"bepridil",10,"nM",5.97,"hERG"
"bepridil",10,"nM",5.77,"hERG"
"bepridil",10,"nM",1.3,"hERG"
"bepridil",10,"nM",19.05,"hERG"
"bepridil",10,"nM",10.18,"hERG"
"bepridil",10,"nM",12.1,"hERG"
"bepridil",30,"nM",33.28,"hERG"
"bepridil",30,"nM",35.05,"hERG"
"bepridil",30,"nM",25.74,"hERG"
"bepridil",30,"nM",19.05,"hERG"
"bepridil",30,"nM",14.21,"hERG"
"bepridil",30,"nM",25.2,"hERG"
"bepridil",30,"nM",13.49,"hERG"
"bepridil",30,"nM",34.97,"hERG"
"bepridil",30,"nM",21.72,"hERG"
"bepridil",30,"nM",29.88,"hERG"
"bepridil",30,"nM",34.9,"hERG"
"bepridil",30,"nM",30.92,"hERG"
"bepridil",30,"nM",54.66,"hERG"
"bepridil",30,"nM",32.43,"hERG"
"bepridil",100,"nM",73.93,"hERG"
"bepridil",100,"nM",66.97,"hERG"
"bepridil",100,"nM",64.68,"hERG"
"bepridil",100,"nM",77.47,"hERG"
"bepridil",100,"nM",43.97,"hERG"
"bepridil",100,"nM",56.87,"hERG"
"bepridil",100,"nM",65.55,"hERG"
"bepridil",100,"nM",68.53,"hERG"
"bepridil",100,"nM",63.31,"hERG"
"bepridil",100,"nM",53.16,"hERG"
"bepridil",100,"nM",62.8,"hERG"
"bepridil",100,"nM",65.69,"hERG"
"bepridil",300,"nM",92.01,"hERG"
"bepridil",300,"nM",93.11,"hERG"
"bepridil",300,"nM",88.15,"hERG"
"bepridil",300,"nM",94.65,"hERG"
"bepridil",300,"nM",92.33,"hERG"
"bepridil",300,"nM",89.18,"hERG"
"bepridil",300,"nM",87.69,"hERG"
"bepridil",300,"nM",87.44,"hERG"
"bepridil",300,"nM",84.72,"hERG"
"bepridil",300,"nM",91.51,"hERG"
"bepridil",300,"nM",90.14,"hERG"
"bepridil",300,"nM",85.59,"hERG"
"bepridil",300,"nM",87.35,"hERG"
"bepridil",300,"nM",92.74,"hERG"
"verapamil",30,"nM",6.63,"hERG"
"verapamil",30,"nM",23.46,"hERG"
"verapamil",30,"nM",4.02,"hERG"
"verapamil",30,"nM",12.71,"hERG"
"verapamil",30,"nM",9.82,"hERG"
"verapamil",30,"nM",11.36,"hERG"
"verapamil",30,"nM",1.36,"hERG"
"verapamil",30,"nM",15.08,"hERG"
"verapamil",30,"nM",8.27,"hERG"
"verapamil",30,"nM",22.95,"hERG"
"verapamil",30,"nM",8.36,"hERG"
"verapamil",30,"nM",13.6,"hERG"
"verapamil",100,"nM",28.82,"hERG"
"verapamil",100,"nM",41.83,"hERG"
"verapamil",100,"nM",30.16,"hERG"
"verapamil",100,"nM",29.12,"hERG"
"verapamil",100,"nM",31.03,"hERG"
"verapamil",100,"nM",28.22,"hERG"
"verapamil",100,"nM",17.23,"hERG"
"verapamil",100,"nM",22.1,"hERG"
"verapamil",100,"nM",36.67,"hERG"
"verapamil",100,"nM",28.64,"hERG"
"verapamil",100,"nM",33.21,"hERG"
"verapamil",100,"nM",41.2,"hERG"
"verapamil",100,"nM",40.16,"hERG"
"verapamil",100,"nM",29.7,"hERG"
"verapamil",300,"nM",62.77,"hERG"
"verapamil",300,"nM",46.97,"hERG"
"verapamil",300,"nM",59.14,"hERG"
"verapamil",300,"nM",64.6,"hERG"
"verapamil",300,"nM",67.18,"hERG"
"verapamil",300,"nM",59.87,"hERG"
"verapamil",300,"nM",57.7,"hERG"
"verapamil",300,"nM",78.09,"hERG"
"verapamil",300,"nM",65.38,"hERG"
"verapamil",300,"nM",57.84,"hERG"
"verapamil",300,"nM",63.1,"hERG"
"verapamil",300,"nM",52.86,"hERG"
"verapamil",1000,"nM",88.51,"hERG"
"verapamil",1000,"nM",81.04,"hERG"
"verapamil",1000,"nM",89.48,"hERG"
"verapamil",1000,"nM",81.58,"hERG"
"verapamil",1000,"nM",80.9,"hERG"
"verapamil",1000,"nM",83.51,"hERG"
"verapamil",1000,"nM",87.01,"hERG"
"verapamil",1000,"nM",87.62,"hERG"
"verapamil",1000,"nM",86.34,"hERG"
"verapamil",1000,"nM",80.84,"hERG"
"verapamil",1000,"nM",81.65,"hERG"
"verapamil",1000,"nM",88.68,"hERG"
"verapamil",1000,"nM",89.13,"hERG"
"verapamil",1000,"nM",91.68,"hERG"
"verapamil",1000,"nM",84.98,"hERG"
"chlorpromazine",100,"nM",16.84,"hERG"
"chlorpromazine",100,"nM",13.81,"hERG"
"chlorpromazine",100,"nM",6.78,"hERG"
"chlorpromazine",100,"nM",9.12,"hERG"
"chlorpromazine",100,"nM",14.04,"hERG"
"chlorpromazine",100,"nM",19.94,"hERG"
"chlorpromazine",100,"nM",5.73,"hERG"
"chlorpromazine",100,"nM",12.97,"hERG"
"chlorpromazine",100,"nM",12.16,"hERG"
"chlorpromazine",100,"nM",17.89,"hERG"
"chlorpromazine",100,"nM",21.29,"hERG"
"chlorpromazine",100,"nM",5.02,"hERG"
"chlorpromazine",300,"nM",25.36,"hERG"
"chlorpromazine",300,"nM",34.89,"hERG"
"chlorpromazine",300,"nM",28.79,"hERG"
"chlorpromazine",300,"nM",32.46,"hERG"
"chlorpromazine",300,"nM",54.28,"hERG"
"chlorpromazine",300,"nM",5.75,"hERG"
"chlorpromazine",300,"nM",27.48,"hERG"
"chlorpromazine",300,"nM",12.07,"hERG"
"chlorpromazine",300,"nM",38.12,"hERG"
"chlorpromazine",300,"nM",26.92,"hERG"
"chlorpromazine",300,"nM",26.89,"hERG"
"chlorpromazine",300,"nM",33.71,"hERG"
"chlorpromazine",300,"nM",29.85,"hERG"
"chlorpromazine",300,"nM",29.58,"hERG"
"chlorpromazine",300,"nM",37.86,"hERG"
"chlorpromazine",1000,"nM",61.99,"hERG"
"chlorpromazine",1000,"nM",71.95,"hERG"
"chlorpromazine",1000,"nM",68.23,"hERG"
"chlorpromazine",1000,"nM",72.35,"hERG"
"chlorpromazine",1000,"nM",67.69,"hERG"
"chlorpromazine",1000,"nM",52.71,"hERG"
"chlorpromazine",1000,"nM",54.76,"hERG"
"chlorpromazine",1000,"nM",76.49,"hERG"
"chlorpromazine",1000,"nM",65.74,"hERG"
"chlorpromazine",1000,"nM",72.76,"hERG"
"chlorpromazine",1000,"nM",53.85,"hERG"
"chlorpromazine",1000,"nM",76.88,"hERG"
"chlorpromazine",3000,"nM",85.23,"hERG"
"chlorpromazine",3000,"nM",97.45,"hERG"
