"drug","conc","units","block","channel"
"ondansetron",300,"nM",14.52824886,"hERG"
"ondansetron",300,"nM",11.98465948,"hERG"
"ondansetron",300,"nM",7.396825846,"hERG"
"ondansetron",300,"nM",13.70417177,"hERG"
"ondansetron",1000,"nM",44.58669597,"hERG"
"ondansetron",1000,"nM",30.58485098,"hERG"
"ondansetron",1000,"nM",34.92063498,"hERG"
"ondansetron",1000,"nM",36.8647278,"hERG"
"ondansetron",3000,"nM",63.54021722,"hERG"
"ondansetron",3000,"nM",55.57686177,"hERG"
"ondansetron",3000,"nM",63.3650791,"hERG"
"ondansetron",3000,"nM",62.8318585,"hERG"
"ondansetron",10000,"nM",83.91316391,"hERG"
"ondansetron",10000,"nM",80.92042213,"hERG"
"ondansetron",10000,"nM",85.58730124,"hERG"
"ondansetron",10000,"nM",86.042984,"hERG"
"bepridil",9.999,"nM",-3.267716477,"hERG"
"bepridil",9.999,"nM",10.35003728,"hERG"
"bepridil",9.999,"nM",5.185427379,"hERG"
"bepridil",30,"nM",1.220471317,"hERG"
"bepridil",30,"nM",10.42558542,"hERG"
"bepridil",30,"nM",9.878568633,"hERG"
"bepridil",99.99,"nM",22.24409439,"hERG"
"bepridil",99.99,"nM",25.25812184,"hERG"
"bepridil",99.99,"nM",26.18969469,"hERG"
"bepridil",300,"nM",61.37795263,"hERG"
"bepridil",300,"nM",60.46335928,"hERG"
"bepridil",300,"nM",58.68066928,"hERG"
"verapamil",30,"nM",2.784357092,"hERG"
"verapamil",30,"nM",-0.608363747,"hERG"
"verapamil",30,"nM",2.992677884,"hERG"
"verapamil",30,"nM",2.373417711,"hERG"
"verapamil",100,"nM",9.715636102,"hERG"
"verapamil",100,"nM",-2.965778865,"hERG"
"verapamil",100,"nM",7.895574072,"hERG"
"verapamil",100,"nM",10.06329136,"hERG"
"verapamil",300,"nM",34.81437466,"hERG"
"verapamil",300,"nM",25.01901108,"hERG"
"verapamil",300,"nM",28.97166501,"hERG"
"verapamil",300,"nM",33.10126576,"hERG"
"verapamil",1000,"nM",59.85386992,"hERG"
"verapamil",1000,"nM",61.67300521,"hERG"
"verapamil",1000,"nM",63.26010891,"hERG"
"verapamil",1000,"nM",67.08860819,"hERG"
"terfenadine",9.999,"nM",4.222291253,"hERG"
"terfenadine",9.999,"nM",5.836373315,"hERG"
"terfenadine",9.999,"nM",3.042121118,"hERG"
"terfenadine",30,"nM",10.49363512,"hERG"
"terfenadine",30,"nM",11.95935431,"hERG"
"terfenadine",30,"nM",8.268329992,"hERG"
"terfenadine",99.99,"nM",26.54455152,"hERG"
"terfenadine",99.99,"nM",27.67066226,"hERG"
"terfenadine",99.99,"nM",18.33073213,"hERG"
"terfenadine",300,"nM",55.82117408,"hERG"
"terfenadine",300,"nM",56.95674861,"hERG"
"terfenadine",300,"nM",40.13260451,"hERG"
"ranolazine",3000,"nM",22.8107352,"hERG"
"ranolazine",3000,"nM",28.725702,"hERG"
"ranolazine",3000,"nM",29.34014068,"hERG"
"ranolazine",10000,"nM",53.03672294,"hERG"
"ranolazine",10000,"nM",57.05029295,"hERG"
"ranolazine",10000,"nM",56.32364523,"hERG"
"ranolazine",30000,"nM",74.25847513,"hERG"
"ranolazine",30000,"nM",74.9768596,"hERG"
"ranolazine",30000,"nM",78.82953598,"hERG"
"ranolazine",1e+05,"nM",89.6892656,"hERG"
"ranolazine",1e+05,"nM",90.40419626,"hERG"
"ranolazine",1e+05,"nM",92.30164953,"hERG"
"sotalol",9999,"nM",4.903536902,"hERG"
"sotalol",9999,"nM",7.917428994,"hERG"
"sotalol",9999,"nM",1.100244011,"hERG"
"sotalol",9999,"nM",3.574015489,"hERG"
"sotalol",30000,"nM",9.445337631,"hERG"
"sotalol",30000,"nM",13.56153708,"hERG"
"sotalol",30000,"nM",3.881418263,"hERG"
"sotalol",30000,"nM",10.09417988,"hERG"
