"drug","conc","units","block","channel"
"ondansetron",300,"nM",29.2,"hERG"
"ondansetron",1000,"nM",44.1,"hERG"
"ondansetron",3000,"nM",81.1,"hERG"
"ondansetron",10000,"nM",96.5,"hERG"
"ondansetron",300,"nM",26.7,"hERG"
"ondansetron",1000,"nM",45.2,"hERG"
"ondansetron",3000,"nM",80.4,"hERG"
"ondansetron",10000,"nM",94.8,"hERG"
"ondansetron",300,"nM",28.3,"hERG"
"ondansetron",1000,"nM",39.4,"hERG"
"ondansetron",3000,"nM",72.3,"hERG"
"ondansetron",10000,"nM",91.5,"hERG"
"ondansetron",300,"nM",24,"hERG"
"ondansetron",1000,"nM",35.4,"hERG"
"ondansetron",3000,"nM",71.4,"hERG"
"ondansetron",10000,"nM",90,"hERG"
"ondansetron",300,"nM",21.7,"hERG"
"ondansetron",1000,"nM",32.1,"hERG"
"ondansetron",3000,"nM",66.9,"hERG"
"ondansetron",10000,"nM",89.9,"hERG"
"ondansetron",300,"nM",24.5,"hERG"
"ondansetron",1000,"nM",37.2,"hERG"
"ondansetron",3000,"nM",70,"hERG"
"ondansetron",10000,"nM",92.8,"hERG"
"ondansetron",300,"nM",29.5,"hERG"
"ondansetron",1000,"nM",38.8,"hERG"
"ondansetron",3000,"nM",69,"hERG"
"ondansetron",10000,"nM",96.3,"hERG"
"ondansetron",300,"nM",26.1,"hERG"
"ondansetron",1000,"nM",39.3,"hERG"
"ondansetron",3000,"nM",73.2,"hERG"
"ondansetron",10000,"nM",93.2,"hERG"
"ondansetron",300,"nM",23,"hERG"
"ondansetron",1000,"nM",35.9,"hERG"
"ondansetron",3000,"nM",72.5,"hERG"
"ondansetron",10000,"nM",91.9,"hERG"
"ondansetron",300,"nM",24.2,"hERG"
"ondansetron",1000,"nM",29.5,"hERG"
"ondansetron",3000,"nM",60.5,"hERG"
"ondansetron",10000,"nM",86.9,"hERG"
"ondansetron",300,"nM",26.2,"hERG"
"ondansetron",1000,"nM",40.9,"hERG"
"ondansetron",3000,"nM",77.7,"hERG"
"ondansetron",10000,"nM",97.7,"hERG"
"bepridil",9.999,"nM",8.3,"hERG"
"bepridil",30,"nM",12.3,"hERG"
"bepridil",99.9999,"nM",21.3,"hERG"
"bepridil",300,"nM",47.1,"hERG"
"bepridil",9.999,"nM",-1,"hERG"
"bepridil",30,"nM",5.2,"hERG"
"bepridil",99.9999,"nM",22.3,"hERG"
"bepridil",300,"nM",50.9,"hERG"
"bepridil",9.999,"nM",-2.6,"hERG"
"bepridil",30,"nM",0.5,"hERG"
"bepridil",99.9999,"nM",14.3,"hERG"
"bepridil",300,"nM",47.9,"hERG"
"bepridil",9.999,"nM",5.2,"hERG"
"bepridil",30,"nM",8.5,"hERG"
"bepridil",99.9999,"nM",15.9,"hERG"
"bepridil",300,"nM",44.9,"hERG"
"bepridil",9.999,"nM",7.3,"hERG"
"bepridil",30,"nM",5.8,"hERG"
"bepridil",99.9999,"nM",17.9,"hERG"
"bepridil",300,"nM",47.6,"hERG"
"bepridil",9.99,"nM",7.6,"hERG"
"bepridil",30,"nM",13.1,"hERG"
"bepridil",99.9999,"nM",21.3,"hERG"
"bepridil",300,"nM",49.2,"hERG"
"bepridil",9.99,"nM",1.9,"hERG"
"bepridil",30,"nM",5.7,"hERG"
"bepridil",99.9999,"nM",16.3,"hERG"
"bepridil",300,"nM",40,"hERG"
"bepridil",9.99,"nM",2.4,"hERG"
"bepridil",30,"nM",8.1,"hERG"
"bepridil",99.9999,"nM",22,"hERG"
"bepridil",300,"nM",53.1,"hERG"
"verapamil",30,"nM",10,"hERG"
"verapamil",100,"nM",25.7,"hERG"
"verapamil",300,"nM",47.3,"hERG"
"verapamil",1000,"nM",75.3,"hERG"
"verapamil",30,"nM",6.8,"hERG"
"verapamil",100,"nM",19.4,"hERG"
"verapamil",300,"nM",46,"hERG"
"verapamil",1000,"nM",77.3,"hERG"
"verapamil",30,"nM",12.7,"hERG"
"verapamil",100,"nM",20.8,"hERG"
"verapamil",300,"nM",43.7,"hERG"
"verapamil",1000,"nM",76.6,"hERG"
"verapamil",30,"nM",3.3,"hERG"
"verapamil",100,"nM",8.7,"hERG"
"verapamil",300,"nM",32.3,"hERG"
"verapamil",1000,"nM",65,"hERG"
"verapamil",30,"nM",24.9,"hERG"
"verapamil",100,"nM",23.4,"hERG"
"verapamil",300,"nM",36.9,"hERG"
"verapamil",1000,"nM",59.8,"hERG"
"verapamil",30,"nM",11.6,"hERG"
"verapamil",100,"nM",17.6,"hERG"
"verapamil",300,"nM",58.2,"hERG"
"verapamil",1000,"nM",84.7,"hERG"
"verapamil",30,"nM",7.2,"hERG"
"verapamil",100,"nM",16.2,"hERG"
"verapamil",300,"nM",40.8,"hERG"
"verapamil",1000,"nM",63.6,"hERG"
"verapamil",30,"nM",3.3,"hERG"
"verapamil",100,"nM",8.9,"hERG"
"verapamil",300,"nM",32.4,"hERG"
"verapamil",1000,"nM",67.5,"hERG"
"verapamil",30,"nM",8.2,"hERG"
"verapamil",100,"nM",16.7,"hERG"
