drug,conc,units,channel,block
astemizole,0.3,nM,hERG,-6.12
astemizole,0.3,nM,hERG,-4.12
astemizole,0.3,nM,hERG,-2.39
astemizole,3,nM,hERG,-17.67
astemizole,3,nM,hERG,-5.59
astemizole,3,nM,hERG,-4.83
astemizole,300,nM,hERG,52.61
astemizole,300,nM,hERG,74.89
astemizole,300,nM,hERG,78.14
astemizole,3000,nM,hERG,99.4
astemizole,3000,nM,hERG,99.62
astemizole,3000,nM,hERG,99.66
azimilide,30,nM,hERG,-0.84
azimilide,30,nM,hERG,1.42
azimilide,30,nM,hERG,23.35
azimilide,300,nM,hERG,-2.39
azimilide,300,nM,hERG,21.6
azimilide,300,nM,hERG,25.91
azimilide,3000,nM,hERG,76.38
azimilide,3000,nM,hERG,78.86
azimilide,3000,nM,hERG,91.29
azimilide,30000,nM,hERG,95.67
azimilide,30000,nM,hERG,96.27
azimilide,30000,nM,hERG,97.12
clarithromycin,120.6,nM,hERG,-13.24
clarithromycin,120.6,nM,hERG,-9.99
clarithromycin,120.6,nM,hERG,-6.07
clarithromycin,1206,nM,hERG,-10.48
clarithromycin,1206,nM,hERG,-2.22
clarithromycin,1206,nM,hERG,-1.45
clarithromycin,12060,nM,hERG,0
clarithromycin,12060,nM,hERG,4.88
clarithromycin,12060,nM,hERG,11.5
clarithromycin,1.00E+05,nM,hERG,2.85
clarithromycin,1.00E+05,nM,hERG,2.92
clarithromycin,1.00E+05,nM,hERG,9.78
clozapine,71,nM,hERG,-3.57
clozapine,71,nM,hERG,1.9
clozapine,71,nM,hERG,6.14
clozapine,710,nM,hERG,-13.33
clozapine,710,nM,hERG,-0.43
clozapine,710,nM,hERG,6.02
clozapine,7100,nM,hERG,40.73
clozapine,7100,nM,hERG,45.65
clozapine,7100,nM,hERG,50.65
clozapine,71000,nM,hERG,96.42
clozapine,71000,nM,hERG,96.45
clozapine,71000,nM,hERG,97.01
disopyramide,700,nM,hERG,-3.87
disopyramide,700,nM,hERG,-2.55
disopyramide,700,nM,hERG,27.45
disopyramide,7000,nM,hERG,-13.73
disopyramide,7000,nM,hERG,8.05
disopyramide,7000,nM,hERG,10.3
disopyramide,70000,nM,hERG,7.58
disopyramide,70000,nM,hERG,22.87
disopyramide,70000,nM,hERG,23.12
disopyramide,145200,nM,hERG,85.02
disopyramide,145200,nM,hERG,88.54
disopyramide,145200,nM,hERG,93.43
domperidone,20,nM,hERG,12.47
domperidone,20,nM,hERG,15.39
domperidone,20,nM,hERG,20.89
domperidone,200,nM,hERG,33.46
domperidone,200,nM,hERG,37.25
domperidone,200,nM,hERG,47.43
domperidone,2000,nM,hERG,90.41
domperidone,2000,nM,hERG,103.86
domperidone,2000,nM,hERG,104.73
domperidone,20000,nM,hERG,100.5
domperidone,20000,nM,hERG,100.73
domperidone,20000,nM,hERG,102.95
droperidol,16,nM,hERG,-11.94
droperidol,16,nM,hERG,2.5
droperidol,16,nM,hERG,6.62
droperidol,160,nM,hERG,14.6
droperidol,160,nM,hERG,29.58
droperidol,160,nM,hERG,36.8
droperidol,1600,nM,hERG,81.52
droperidol,1600,nM,hERG,93.86
droperidol,1600,nM,hERG,105.54
droperidol,16000,nM,hERG,100.8
droperidol,16000,nM,hERG,101.24
droperidol,16000,nM,hERG,101.32
ibutilide,10,nM,hERG,16.02
ibutilide,10,nM,hERG,31.54
ibutilide,10,nM,hERG,37.8
ibutilide,100,nM,hERG,81.84
ibutilide,100,nM,hERG,85.16
ibutilide,100,nM,hERG,89.71
ibutilide,1000,nM,hERG,98.42
ibutilide,1000,nM,hERG,99.67
ibutilide,1000,nM,hERG,100.91
ibutilide,10000,nM,hERG,100.18
ibutilide,10000,nM,hERG,100.2
ibutilide,10000,nM,hERG,111.8
loratadine,0.45,nM,hERG,0.29
loratadine,0.45,nM,hERG,5.53
loratadine,0.45,nM,hERG,9.99
loratadine,4.5,nM,hERG,-4.22
loratadine,4.5,nM,hERG,-3.25
loratadine,4.5,nM,hERG,-1.15
loratadine,450,nM,hERG,1.77
loratadine,450,nM,hERG,9.56
loratadine,450,nM,hERG,10.03
loratadine,35000,nM,hERG,82.75
loratadine,35000,nM,hERG,83.58
loratadine,35000,nM,hERG,85.43
metoprolol,1800,nM,hERG,10.51
metoprolol,1800,nM,hERG,20.6
metoprolol,1800,nM,hERG,25.36
metoprolol,18000,nM,hERG,-4.59
metoprolol,18000,nM,hERG,10.88
metoprolol,18000,nM,hERG,21.43
metoprolol,180000,nM,hERG,26.84
metoprolol,180000,nM,hERG,49.5
metoprolol,180000,nM,hERG,55.6
metoprolol,438000,nM,hERG,59.11
metoprolol,438000,nM,hERG,71.61
metoprolol,438000,nM,hERG,89.36
nifedipine,7.7,nM,hERG,-6.46
nifedipine,7.7,nM,hERG,1.17
nifedipine,7.7,nM,hERG,2.84
nifedipine,77,nM,hERG,0.85
nifedipine,77,nM,hERG,5.79
nifedipine,77,nM,hERG,8.08
nifedipine,7700,nM,hERG,7.93
nifedipine,7700,nM,hERG,14.28
nifedipine,7700,nM,hERG,26.68
nifedipine,51100,nM,hERG,3.49
nifedipine,51100,nM,hERG,10.08
nifedipine,51100,nM,hERG,14.44
nitrendipine,3.02,nM,hERG,-1.9
nitrendipine,3.02,nM,hERG,2.41
nitrendipine,3.02,nM,hERG,5.58
nitrendipine,30.2,nM,hERG,-4.27
nitrendipine,30.2,nM,hERG,6.92
nitrendipine,30.2,nM,hERG,11.58
nitrendipine,3020,nM,hERG,0.64
nitrendipine,3020,nM,hERG,14.79
nitrendipine,3020,nM,hERG,30.02
nitrendipine,30200,nM,hERG,33.19
nitrendipine,30200,nM,hERG,36.29
nitrendipine,30200,nM,hERG,75.92
pimozide,0.43,nM,hERG,0.89
pimozide,0.43,nM,hERG,14.47
pimozide,0.43,nM,hERG,27.6
pimozide,4.3,nM,hERG,7.62
pimozide,4.3,nM,hERG,13.07
pimozide,4.3,nM,hERG,14.42
pimozide,43,nM,hERG,43.21
pimozide,43,nM,hERG,50
pimozide,43,nM,hERG,74.41
pimozide,400,nM,hERG,94.83
pimozide,400,nM,hERG,95.56
pimozide,400,nM,hERG,97.8
risperidone,2,nM,hERG,-5.99
risperidone,2,nM,hERG,8.71
risperidone,2,nM,hERG,8.87
risperidone,20,nM,hERG,-2.65
risperidone,20,nM,hERG,4.28
risperidone,20,nM,hERG,15.03
risperidone,200,nM,hERG,-2.18
risperidone,200,nM,hERG,6.62
risperidone,200,nM,hERG,19.34
risperidone,2000,nM,hERG,58.95
risperidone,2000,nM,hERG,63.4
risperidone,2000,nM,hERG,70.15
tamoxifen,21,nM,hERG,1.88
tamoxifen,21,nM,hERG,2.33
tamoxifen,21,nM,hERG,3.42
tamoxifen,210,nM,hERG,-2.44
tamoxifen,210,nM,hERG,0.71
tamoxifen,210,nM,hERG,10.64
tamoxifen,2100,nM,hERG,27.72
tamoxifen,2100,nM,hERG,36.94
tamoxifen,2100,nM,hERG,38
tamoxifen,10000,nM,hERG,91.11
tamoxifen,10000,nM,hERG,93.82
tamoxifen,10000,nM,hERG,95.38
vandetanib,30,nM,hERG,-1.2
vandetanib,30,nM,hERG,0.44
vandetanib,30,nM,hERG,10.1
vandetanib,300,nM,hERG,14.57
vandetanib,300,nM,hERG,22.62
vandetanib,300,nM,hERG,24.38
vandetanib,3000,nM,hERG,58.98
vandetanib,3000,nM,hERG,71.33
vandetanib,3000,nM,hERG,85.05
vandetanib,16800,nM,hERG,94.76
vandetanib,16800,nM,hERG,96.29
vandetanib,16800,nM,hERG,100.38
