drug,conc,units,block,channel
astemizole,0.3,nM,-2.7827,hERG
astemizole,0.3,nM,-1.2511,hERG
astemizole,0.3,nM,5.1894,hERG
astemizole,0.3,nM,5.9911,hERG
astemizole,0.3,nM,7.3006,hERG
astemizole,0.3,nM,7.6615,hERG
astemizole,0.3,nM,9.0368,hERG
astemizole,3,nM,10.906,hERG
astemizole,3,nM,13.152,hERG
astemizole,3,nM,15.421,hERG
astemizole,3,nM,16.22,hERG
astemizole,3,nM,16.419,hERG
astemizole,3,nM,24.774,hERG
astemizole,3,nM,36.814,hERG
astemizole,300,nM,85.848,hERG
astemizole,300,nM,90.761,hERG
astemizole,300,nM,96.267,hERG
astemizole,300,nM,97.02,hERG
astemizole,300,nM,97.88,hERG
astemizole,300,nM,101.46,hERG
astemizole,300,nM,105.37,hERG
astemizole,3000,nM,97.549,hERG
astemizole,3000,nM,98.694,hERG
astemizole,3000,nM,99.803,hERG
astemizole,3000,nM,100.1,hERG
astemizole,3000,nM,100.34,hERG
astemizole,3000,nM,101.63,hERG
astemizole,3000,nM,106.29,hERG
azimilide,30,nM,0.30858,hERG
azimilide,30,nM,2.6332,hERG
azimilide,30,nM,3.5398,hERG
azimilide,30,nM,3.8394,hERG
azimilide,30,nM,4.4797,hERG
azimilide,30,nM,5.5107,hERG
azimilide,30,nM,5.8236,hERG
azimilide,300,nM,39.499,hERG
azimilide,300,nM,40.285,hERG
azimilide,300,nM,40.394,hERG
azimilide,300,nM,42.461,hERG
azimilide,300,nM,42.468,hERG
azimilide,300,nM,43.283,hERG
azimilide,300,nM,43.647,hERG
azimilide,3000,nM,84.674,hERG
azimilide,3000,nM,87.037,hERG
azimilide,3000,nM,87.352,hERG
azimilide,3000,nM,87.569,hERG
azimilide,3000,nM,88.72,hERG
azimilide,3000,nM,89.703,hERG
azimilide,3000,nM,93.028,hERG
azimilide,18000,nM,98.368,hERG
azimilide,18000,nM,99.264,hERG
azimilide,18000,nM,99.534,hERG
azimilide,18000,nM,99.603,hERG
azimilide,18000,nM,99.661,hERG
azimilide,18000,nM,99.871,hERG
azimilide,18000,nM,101.06,hERG
clarithromycine,120.6,nM,-8.1835,hERG
clarithromycine,120.6,nM,-6.3955,hERG
clarithromycine,120.6,nM,-5.8881,hERG
clarithromycine,120.6,nM,-3.4524,hERG
clarithromycine,120.6,nM,-2.8432,hERG
clarithromycine,120.6,nM,-0.94392,hERG
clarithromycine,120.6,nM,-0.89961,hERG
clarithromycine,120.6,nM,-0.23644,hERG
clarithromycine,120.6,nM,-0.0019073,hERG
clarithromycine,120.6,nM,0.12855,hERG
clarithromycine,120.6,nM,0.16379,hERG
clarithromycine,1206,nM,-8.6182,hERG
clarithromycine,1206,nM,-5.6132,hERG
clarithromycine,1206,nM,-5.5153,hERG
clarithromycine,1206,nM,-0.78173,hERG
clarithromycine,1206,nM,-0.4928,hERG
clarithromycine,1206,nM,-0.13431,hERG
clarithromycine,1206,nM,0.61703,hERG
clarithromycine,1206,nM,1.9678,hERG
clarithromycine,1206,nM,1.9693,hERG
clarithromycine,1206,nM,4.0858,hERG
clarithromycine,1206,nM,5.3839,hERG
clarithromycine,12060,nM,0.22274,hERG
clarithromycine,12060,nM,2.1212,hERG
clarithromycine,12060,nM,5.0536,hERG
clarithromycine,12060,nM,6.1733,hERG
clarithromycine,12060,nM,9.7981,hERG
clarithromycine,12060,nM,9.8666,hERG
clarithromycine,12060,nM,9.8935,hERG
clarithromycine,12060,nM,10.172,hERG
clarithromycine,12060,nM,10.562,hERG
clarithromycine,12060,nM,12.9,hERG
clarithromycine,12060,nM,15.746,hERG
clarithromycine,1.00E+05,nM,44.289,hERG
clarithromycine,1.00E+05,nM,49.416,hERG
clarithromycine,1.00E+05,nM,51.576,hERG
clarithromycine,1.00E+05,nM,51.964,hERG
clarithromycine,1.00E+05,nM,52.034,hERG
clarithromycine,1.00E+05,nM,53.815,hERG
clarithromycine,1.00E+05,nM,54.551,hERG
clarithromycine,1.00E+05,nM,56.909,hERG
clarithromycine,1.00E+05,nM,58.58,hERG
clarithromycine,1.00E+05,nM,64.795,hERG
clarithromycine,1.00E+05,nM,70.938,hERG
clozapine,71,nM,15.044,hERG
clozapine,71,nM,15.182,hERG
clozapine,71,nM,17.585,hERG
clozapine,71,nM,19.276,hERG
clozapine,710,nM,36.769,hERG
clozapine,710,nM,38.82,hERG
clozapine,710,nM,44.828,hERG
clozapine,710,nM,49.736,hERG
