ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
920.6,1.256,1732,1.693,762.2,1.935,20,1.649
1117,1.289,1652,1.57,935.6,1.942,22.58,1.237
1045,1.467,1912,1.852,897.7,1.967,32.39,1.374
888.5,1.991,1750,1.824,819,1.948,31.21,1.776
706.9,1.985,1552,1.922,834.3,1.985,22.07,1.521
835.9,1.914,1670,1.65,753,1.753,21.78,1.325
923.8,1.746,1731,1.857,786.6,1.974,26.13,1.862
701.2,1.754,2035,1.798,770.9,1.997,23.03,1.796
1211,1.592,1961,1.701,764.1,1.966,41.2,1.693
1125,1.944,2073,1.597,775,1.967,34.3,1.468
786.7,1.966,1892,1.987,754.5,1.999,41.61,1.373
1127,1.816,1817,1.995,802.1,1.981,61.7,1.926
1030,1.752,1850,1.977,747.2,1.991,45.28,1.749
1190,1.822,1795,1.759,902.5,1.89,32.6,1.56
764.4,1.647,1941,1.808,759.1,1.945,48.14,1.811
915.4,1.863,1726,1.93,795.4,1.94,46.24,1.531
1010,1.886,1816,1.985,827.2,1.936,22.71,1.773
628.2,1.705,1704,1.929,730.6,1.868,15.85,1.766
504.7,1.258,1474,1.731,622.6,1.974,36.49,1.634
798.7,1.193,1751,1.667,737.7,1.809,37.67,1.539
610.1,1.394,1829,1.904,947.8,1.748,13.22,1.978
887,1.98,1752,1.366,745.6,1.761,18.97,1.433
696,1.643,1475,1.412,879.4,1.614,14.3,1.825
913.5,1.626,1643,1.863,688.9,1.595,30.55,1.396
817,1.851,1680,1.867,849.7,1.97,37.93,1.706
997.2,1.768,1815,1.808,797.4,1.588,26.94,1.747
736,1.983,1590,1.726,963.9,1.643,26.22,1.597
938.7,1.94,1626,1.825,973.6,1.88,32.66,1.576
1084,1.753,1796,1.708,802.1,1.948,23.88,1.636
1172,1.926,1836,1.971,724.1,1.914,35.48,1.532
867.5,1.599,1751,1.734,679.5,1.993,29.62,1.495
403.1,1.539,1702,1.793,815.4,1.931,17.63,1.632
710.1,1.448,1847,1.759,728.4,1.983,31.63,1.504
979,1.8,1758,1.783,826.7,1.89,21.84,1.382
637.9,1.739,1712,1.66,778.5,1.78,18.38,1.436
1118,1.995,1892,1.823,1188,1.893,29.3,1.873
1003,1.99,1558,1.808,711.8,1.966,25.39,1.848
953.6,1.971,1570,1.847,696.1,1.883,48.09,1.87
829.5,1.785,1674,1.87,713,1.966,28.84,1.682
574.8,1.752,1967,1.818,839.8,1.952,19.89,1.575
1115,1.992,1670,1.757,736.6,1.832,24.6,1.476
700.2,1.907,2116,1.989,843.5,1.927,39.55,1.763
1396,1.754,1831,1.854,799.2,1.674,31.34,1.443
721.6,1.894,1861,1.752,723.4,1.865,17.16,1.596
779.7,1.864,1983,1.735,966.1,1.905,17.96,1.727
1048,1.969,2100,1.668,914,1.902,16.73,1.91
916.8,1.916,1828,1.904,825.8,1.893,29.51,1.267
547.4,1.544,2124,1.838,728.6,1.916,19.4,1.615
808.5,1.393,1980,1.99,943.6,1.902,17.9,1.824
1132,1.279,1769,1.979,746.9,1.658,26.89,1.738
1354,1.82,1497,1.938,743.6,1.903,44.92,1.604
1158,1.828,2514,1.889,903.4,1.989,37.36,1.635
812.7,1.397,2523,1.982,729.7,1.941,32.4,1.902
1450,1.944,2163,1.879,799.5,1.514,42.77,1.618
1014,1.991,1661,1.895,907.4,1.812,38.96,1.786
1034,1.872,1720,1.801,792.6,1.849,28.37,1.687
1305,1.988,1744,1.802,867.3,1.959,21.8,1.658
1054,1.987,1397,1.891,881,1.914,15.49,1.851
1111,1.395,1703,1.914,743.6,1.771,18.74,1.724
991.3,1.792,1745,1.987,856.7,1.856,28.41,1.677
891.1,1.784,1805,1.891,771.3,1.946,31.96,1.406
1283,1.646,1739,1.789,843.3,1.986,33.4,1.765
1186,1.921,2146,1.869,799.1,1.949,17.65,1.503
737.6,1.759,2234,1.879,829.4,1.947,24.23,1.779
1218,1.95,2221,1.605,941.4,1.903,32.64,1.731
1118,1.696,1561,1.577,789.2,1.974,39.16,1.244
950.1,1.611,1653,1.332,715.4,1.97,20.92,1.585
849.8,1.659,1735,1.489,700.1,1.991,32.43,1.444
1110,1.745,1569,1.426,704.8,1.93,24.79,1.516
771.3,1.747,1892,1.758,895.4,1.844,15.86,1.933
495.8,1.706,1468,1.634,726.9,1.973,14.26,1.812
649.6,0.809,1703,1.84,777.9,1.806,23.73,1.868
580.7,1.004,1807,1.867,849.2,1.802,35.23,1.615
742.3,1.576,1777,1.921,789.3,1.803,56.83,1.871
808.6,1.822,1745,1.977,765.2,1.968,44.46,1.79
1098,1.776,1838,1.996,719.3,1.891,18.44,1.63
1357,1.871,1595,1.747,754.8,1.78,56.5,1.492
1033,1.837,1495,1.54,682.5,1.778,32.55,1.434
1020,1.719,1572,1.433,764.2,1.954,44.36,1.951
1039,1.753,1324,1.992,951.3,1.972,20.07,1.526
713.1,1.973,1693,1.727,773.5,1.721,22.9,1.316
989.9,1.812,1627,1.909,967.6,1.785,19.84,1.456
