ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
8603,1.682,18860,1.302,3685,1.518,115.5,0.9932
9807,1.854,19880,1.678,3940,1.508,102.3,1.009
7557,1.968,18050,1.879,3158,1.318,112.7,0.9603
8112,1.681,18350,1.928,3616,1.106,123.1,1.031
8727,1.583,17040,1.43,4238,1.162,114.7,0.9508
9173,1.969,18100,1.836,4511,1.486,119.1,1.057
9616,1.731,15870,1.609,3582,1.537,130.5,0.9501
9183,1.516,22380,1.716,3633,1.49,118.7,0.9137
8385,1.862,25360,1.086,3676,1.477,121.2,1.103
11020,1.773,23480,1.291,3419,1.454,122.8,0.9241
10300,1.929,20780,1.866,3986,1.415,121,1.028
10530,1.747,21010,1.924,3939,1.278,132.6,0.9804
7757,1.827,20750,1.866,4134,1.291,115.2,1.061
10260,1.783,20780,1.776,3981,1.262,121,1.053
9609,1.659,17660,2,3876,1.355,121,1.056
7777,1.933,17770,1.38,3881,1.433,122.1,1.122
8135,1.826,23260,1.412,3694,1.252,125.9,1.02
10480,1.915,17850,1.494,3476,1.309,121,1.014
8511,1.726,21860,1.399,3618,1.504,105.6,0.9258
9204,1.875,15990,1.562,3488,1.334,125.5,0.9719
12740,1.904,18380,1.902,3734,1.164,129.2,0.9721
8979,1.954,23680,1.683,3642,1.283,105.4,1.05
8650,1.762,21000,1.566,3477,1.219,115.3,0.9975
10830,1.659,17770,1.781,3743,1.372,119.7,1.072
10640,1.836,17680,1.818,3780,1.26,124.2,1.045
9232,1.8,18560,1.722,3771,1.315,122.9,1.037
8701,1.977,21310,1.357,3526,1.332,131.4,1.086
10760,1.707,20110,1.712,3005,1.692,121.5,0.9558
9139,1.859,18780,1.945,3347,1.977,113.6,0.9339
11070,1.947,19840,1.681,3513,1.569,137.1,1.016
9948,1.745,17690,1.706,4073,1.294,120.9,0.9693
9723,1.671,20930,1.92,4089,1.176,110.7,0.9517
9119,1.806,17170,1.431,3986,1.324,99.59,0.9839
9621,1.739,20130,1.582,4148,1.437,142.5,1.018
9384,1.523,19660,1.627,3565,1.773,119.3,1.025
10400,1.597,19490,1.514,3624,1.315,134.5,1.022
7327,1.79,19490,1.177,3398,1.286,125.9,1.009
8326,1.848,19030,1.607,3762,1.216,117,1.037
9069,1.878,21070,1.483,3627,1.122,131,0.9337
8884,1.865,19260,1.472,3905,1.177,130.3,1.046
9877,1.92,20290,1.76,3520,1.455,113.5,1.09
9487,1.743,20360,1.789,3744,1.274,110.8,1.071
10150,1.923,16550,1.575,3689,1.253,109.5,1.021
11820,1.941,19910,1.71,4417,1.383,115,1.064
9364,1.898,21370,1.157,3466,1.245,107.4,0.9955
8918,1.884,17820,1.775,4038,1.459,124.7,1.076
10160,1.868,18350,1.697,4181,1.287,114.1,1.005
9304,1.869,17650,1.807,3632,1.142,119.2,0.8923
7327,1.852,20970,1.116,4262,1.269,112.4,1.06
9226,1.935,22020,1.876,3559,1.524,128.7,0.997
9758,1.879,16700,1.735,4043,1.236,140.8,1.176
8427,1.924,21910,1.372,3543,1.333,124.1,1.027
8856,1.98,22170,1.804,4233,1.461,106.7,0.9843
8993,1.944,20830,1.8,3806,1.265,112.1,1.082
9419,1.959,20010,1.99,3966,1.535,112.5,1.005
8751,1.968,21320,1.857,3906,1.402,125.4,1.069
8855,1.717,17520,1.839,4147,1.149,111.7,1.036
7832,1.898,18610,1.997,3643,1.497,120.4,1.095
13040,1.445,18580,1.942,3650,1.524,113.5,1.095
9777,1.549,19290,1.794,3434,1.544,122.9,1.186
9718,1.721,24760,1.801,3917,1.303,103.6,1.005
7712,1.954,22010,1.985,3834,1.32,118,0.9018
9657,1.436,20790,1.01,3637,1.524,110.1,0.9191
8647,1.758,19670,1.551,3568,1.229,110.4,0.9132
9507,1.991,21130,1.537,3578,1.664,118.3,0.9262
10880,1.907,21390,1.41,3700,1.428,118.8,1.024
11540,1.713,18970,1.74,4092,1.163,138.3,1.13
9809,1.687,17250,1.846,3230,1.673,128.8,1.02
9318,1.546,16300,1.974,3975,1.305,121.3,1.013
11550,1.994,17390,1.988,3779,1.339,117.8,1.034
9056,1.91,16410,1.594,3719,1.388,110,1.015
11070,1.995,18790,1.867,3600,1.365,134.2,0.9749
7582,1.687,20750,1.746,3795,1.295,148.7,1.117
7788,1.965,19070,1.979,4177,1.283,126.4,1.092
9231,1.706,17890,1.402,3779,1.284,121.1,1.082
9197,1.921,19950,1.684,3373,1.34,123.4,1.01
8939,1.791,19250,1.693,3588,1.409,125.2,0.9759
9963,1.987,19000,1.592,3338,1.625,113.7,0.9081
8975,1.951,19120,1.593,3735,1.327,145.8,0.9435
8867,1.996,20710,1.561,3731,1.417,123.1,1.001
9649,1.944,16340,1.39,3411,1.38,112,0.995
8507,1.908,18900,1.757,3600,1.685,99.82,1.054
9111,1.78,19160,1.746,3728,1.485,138,0.9261
6999,1.646,22510,1.768,3311,1.983,114.8,1.071
8352,1.736,21380,1.37,3568,1.428,114,1.085
9571,1.625,24340,1.291,3673,1.386,128.8,1.065
9637,1.591,15230,1.861,4374,1.389,121.3,1.041
9853,1.901,16230,1.951,3918,1.597,113,0.8711
10400,1.911,15850,1.689,3459,1.209,121.7,1.049
9830,1.837,22780,1.785,3587,1.583,139.3,1.028
10280,1.839,21770,1.551,3900,1.193,109.8,1.082
10010,1.869,18190,1.359,3833,1.207,131,0.9434
9071,1.997,11990,1.341,3297,1.514,139,1.116
9191,1.721,13560,1.047,3654,1.32,131.6,0.9438
10930,1.522,16210,1.615,3365,1.157,130.3,0.9503
7788,1.77,15640,1.953,4216,1.276,112,0.9426
8518,1.967,18430,1.31,3119,1.511,117.3,0.9379
8852,1.862,18550,1.051,3338,1.965,119.4,1.036
