ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
224600000,1.85,3822000,1.781,5934,1.272,4353,0.9638,515.4,1.631,2975,1.756,58.51,1.251
2550000,1.33,1465000,1.782,3.082e+09,1.202,3853,1.013,501.8,1.692,22580,1.542,62.05,1.644
50050000,1.646,54380,1.59,3.866e+09,1.08,15610,0.7735,520.2,1.827,90050,1.275,61.97,1.805
173600000,1.466,1390000,1.011,154300,1.27,5129,1.077,506.4,1.616,45230,1.056,64.56,1.454
32040000,0.6478,179500000,0.6193,46940,1.808,3433,1.016,453.9,1.866,6931000,1.832,74.84,1.408
1.102e+09,1.379,83280000,0.6242,7892,1.301,6169,0.9565,544,1.458,3.8e+08,0.852,75.46,1.471
126600000,1.602,8.77e+08,0.5339,206700,0.8861,4197,1.06,410,1.671,49600000,0.9609,71.34,1.533
980200000,1.625,21370,1.305,349100,1.118,26590000,1.144,736.1,1.245,9.601e+09,0.5871,55.48,1.543
188700,1.109,37830,1.05,445600000,1.533,117400000,1.944,396.3,1.929,94790,0.9278,64.46,1.237
14730000,0.8582,168900,1.25,1945,1.324,696500000,1.009,444.5,1.966,3540,0.8855,59.66,1.298
276600,0.5272,216100000,0.6424,379300,1.855,6573,1.969,493.5,1.493,37690000,0.9233,89.21,1.403
29170,1.069,13330000,1.843,521300000,1.556,1236000,1.3,483.3,1.692,12000,1.44,77.59,1.317
2620000,1.894,12530000,1.964,33400000,1.114,2674,1.241,604,1.346,5353,1.529,75.75,1.684
133900,1.189,3.36e+08,1.244,298200,1.542,1269,1.353,503.5,1.37,29160000,1.12,59.11,1.537
1009,1.913,8267000,1.074,799700,1.696,7052,1.072,444.9,1.691,1.669e+09,0.7516,48.82,1.207
2674000,0.53,6252,1.511,16520000,0.5882,67560,0.6888,515.1,1.26,382900000,0.6859,68.39,1.722
7.162e+09,1.674,2.377e+09,1.194,199900000,0.8807,3594,1.13,541.5,1.43,3410000,1.741,52.53,1.207
1.989e+09,1.138,563200000,1.236,168200000,0.9306,16640,0.7856,467.5,1.73,1693,1.541,62.37,1.454
9012000,1.604,411900000,1.483,8.146e+09,0.7537,4155,1.234,580.8,1.27,30870000,1.436,57.04,1.472
106500000,0.7511,479000,0.9707,137100000,1.937,331000,1.62,617,1.157,296200,1.471,49.02,1.295
63910,1.376,246700000,1.827,770.3,1.839,77530000,1.604,390.1,1.925,856600000,1.097,68.35,1.397
187200000,0.9624,3.674e+09,1.846,782400000,1.558,8421,0.862,484.3,1.482,120200000,0.685,57.46,1.234
36090,1.267,4549000,1.782,5.6e+09,1.296,21510,0.6317,465.1,1.704,1290000,1.05,69.99,1.722
8216000,1.09,1420000,1.808,1983000,0.8612,49490,0.5767,873.2,0.957,3185,1.032,66.98,1.379
516800,0.6486,423800,0.8015,11720,0.5764,16390,0.6798,696.8,1.2,5443,1.074,48.92,1.455
231700,0.9718,18220,1.562,5269000,1.768,26360,0.6046,442.6,1.67,3750,0.9743,67.31,1.585
1.224e+09,0.7854,1559000,1.241,1024,1.705,30140,0.6698,568.9,1.324,9.799e+09,1.975,57.45,1.425
120300000,1.34,2161000,1.369,2221,1.083,8773000,1.888,491.8,1.601,523400000,1.196,42.33,1.508
87560000,0.7556,90870,0.9741,218900,1.532,9841000,1.372,522.4,1.594,3.056e+09,0.7985,63.58,1.916
2152000,0.9449,2343,1.977,3.01e+08,1.042,1.741e+09,0.7267,491.6,1.721,381000,1.474,65.25,1.994
20950,0.7895,45710000,1.228,2.848e+09,1.244,589800000,1.272,480,1.359,23410000,1.17,57.63,1.435
187900,1.074,514100000,1.278,448100,0.8378,9.377e+09,1.475,629.8,1.618,8018000,0.6764,44.96,1.143
25390,1.721,2.08e+08,0.7981,2002,1.006,5837000,1.925,547.7,0.9914,2711,1.525,69.97,1.892
1850000,1.393,1875000,1.084,32550,0.8406,15240,0.5783,393.9,1.564,1362000,0.5327,66.11,1.767
12410000,0.9818,634200,0.9821,2693000,1.755,173900,0.5239,494.3,1.245,14690,1.805,71.36,1.707
10070,1.485,131600,1.505,40140,0.5098,16330,0.6395,493,1.345,13700000,1.505,70.3,1.542
1.971e+09,1.073,172500,1.671,147400,1.192,9617,0.8502,507.6,1.443,15750000,1.017,54.76,1.41
73730000,1.511,3998000,1.33,79190000,1.849,11880,0.9572,660.2,1.203,316500000,1.965,66.07,1.624
1.04e+08,1.185,44750000,1.087,94920000,1.799,6561,0.923,546.5,1.87,20570,1.691,55.44,1.801
146800000,1.147,5.389e+09,1.887,4.703e+09,0.9197,3719,1.022,520.5,1.863,397600000,1.503,52.08,1.368
37460000,1.118,21530000,1.112,594800000,0.5857,6861,0.8868,456.2,1.9,15210,1.22,53.55,1.572
1346000,1.886,26090,0.6238,27480,1.124,61260,0.5103,473.4,1.802,2511000,1.399,64.88,1.553
2821,1.814,69300,1.145,13870000,1.364,44660,0.5901,801.4,1.006,18870000,1.14,69.52,1.29
277600,1.977,98950,0.5679,1523000,1.393,47550,0.916,922.6,0.7927,54210,1.445,68.92,1.388
93260,1.595,84470,1.865,2545,1.904,719200000,1.755,442.7,1.922,176500000,1.674,57.67,1.791
59770,1.256,4691,1.152,8.136e+09,0.5745,856800,1.522,458,1.874,8706000,1.043,62.33,1.672
106400000,0.9544,1.549e+09,0.7431,801100000,0.8953,58970,1.9,539.4,1.454,543200000,1.939,66.15,1.322
26470,0.5498,2122000,1.428,2.623e+09,1.318,13190000,1.615,443.2,1.693,524400000,0.8692,65.86,1.548
5246000,0.7578,1.823e+09,0.7153,4832,1.513,144700,0.5514,447.5,1.974,126500000,1.158,69.98,1.643
3.856e+09,1.294,3433,0.634,2504,0.9902,144700,0.5514,463.4,1.789,82670000,0.6456,57.22,1.465
1584000,1.139,119800000,0.8424,4136,1.429,25910,0.5871,457.4,1.79,1577000,1.67,61.4,1.244
32720,1.107,9338,1.885,33770000,1.295,78590,0.7693,461.1,1.733,2416000,1.166,62.59,1.696
1260,1.569,187500000,1.001,13630,1.429,64360,0.5265,426.6,1.912,222300,1.086,67.46,1.79
1.4e+09,0.7975,181200000,1.191,3223000,1.287,294200,0.505,437.3,1.921,58710,0.7542,69.22,1.898
2.804e+09,1.671,5.209e+09,1.533,44950,0.5825,2614,1.129,514.4,1.517,4092000,1.259,69.03,1.639
3678000,0.5905,2.647e+09,1.982,146400,0.9027,1699,1.57,467.3,1.657,654200,0.6076,75.42,1.905
48430000,1.59,223200000,1.028,398800000,1.704,2609,1.569,420.7,1.832,8117000,0.5951,64,1.637
27530,1.466,183100,1.29,26690000,0.8497,1238,1.87,490.5,1.63,7.65e+08,1.176,73.89,1.902
28180,0.928,493100000,1.688,887700,1.835,1273,1.776,534,1.69,1942000,0.5049,57.29,1.383
139400,0.8078,235900000,1.532,7515000,0.6686,43270,0.637,441.2,1.894,341000,1.3,80.03,1.996
243600,1.234,13480000,1.806,2.164e+09,1.888,42900,0.6102,473.8,1.984,2272000,0.6195,58.57,1.362
414200,0.9511,3016000,1.365,100200000,1.188,89990,0.6249,481.4,1.556,2.392e+09,0.8695,64.14,1.11
