ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
3478,1.621,7414,1.805,2588,1.386,1056,1.565
3316,1.953,8164,1.279,2114,1.176,1024,1.646
3317,1.642,9265,1.704,2015,1.241,864,1.809
5033,1.303,8897,1.802,2374,1.367,963,1.874
1966,1.408,9306,1.882,1821,1.211,888,1.56
1445,0.8287,9664,1.632,2083,1.375,955.8,1.79
3668,1.468,8962,1.829,2152,1.553,1015,1.92
1706,1.957,9569,1.765,2107,1.421,1053,1.98
4378,1.478,8093,1.883,2328,1.404,1010,1.635
6082,1.976,8082,1.817,2437,1.166,929.4,1.757
5684,0.8739,10070,1.674,2005,1.269,1106,1.858
4153,1.588,9067,1.952,2263,1.334,1059,1.928
3519,1.668,10550,1.956,1960,1.192,1061,1.789
3498,1.76,10430,1.837,2060,1.328,912.4,1.694
4793,1.482,10050,1.586,2402,1.359,1034,1.41
4760,1.911,10060,1.59,2195,1.36,1124,1.755
3361,1.399,11160,1.479,2702,1.345,1036,1.754
5162,1.225,11750,1.57,2531,1.169,1091,1.804
1788,1.428,11570,1.564,3425,1.744,885.2,1.697
6526,1.954,10160,1.724,2311,1.88,947.1,1.654
3805,1.981,8924,1.9,2188,1.097,1185,1.818
4867,1.491,9524,1.636,1889,1.396,1011,1.851
4966,1.777,8134,1.584,1887,1.371,1059,1.765
4629,1.787,9862,1.498,1814,1.324,962.8,1.839
6255,1.875,10170,1.62,1969,1.448,1098,1.539
3564,1.946,9671,1.966,2008,1.21,1017,1.998
2523,1.712,9634,1.842,2551,1.227,996.6,1.963
3732,1.703,9336,1.755,2662,1.541,970.3,1.999
5491,1.941,10480,1.723,2369,1.274,1038,1.817
4898,0.8421,9688,1.842,1795,1.262,1028,1.925
3489,1.586,9286,1.647,1782,1.303,972.6,1.818
4441,1.631,8397,1.71,1920,1.385,930.4,1.684
3793,1.358,9335,1.883,2507,1.996,1027,1.837
8469,1.133,9324,1.825,2223,1.102,1020,1.798
5878,1.704,9241,1.672,2245,1.262,869.9,1.729
4466,1.913,8667,1.92,2068,1.325,964.3,1.779
4842,1.501,9933,1.698,2160,1.214,1013,1.697
3673,1.722,10880,1.781,2322,1.207,1014,1.676
5048,1.921,11100,1.893,2967,1.352,1123,1.529
3205,1.643,9154,1.852,2510,1.475,953.9,1.733
4100,1.04,10390,1.354,2357,1.477,982.9,1.802
6516,1.49,9462,1.474,2708,1.521,1059,1.568
8097,1.38,8799,1.928,2914,1.507,992.5,1.702
3809,1.47,8564,1.958,2117,1.445,1097,1.677
3569,1.708,9784,1.883,1566,1.59,1423,1.4
2901,1.694,8900,1.405,1585,1.163,1109,1.362
3704,1.11,8620,1.977,2161,1.247,1135,1.384
4085,1.539,9242,1.864,2425,1.642,938.4,1.883
4068,1.937,9085,1.908,2535,1.36,891.8,1.857
5597,1.519,8932,1.684,2307,1.602,1062,1.594
4339,1.778,9559,1.886,2399,1.286,1107,1.612
4381,1.682,8640,1.803,1989,1.444,992.5,1.983
4076,1.937,10070,1.803,2839,1.384,949.8,1.872
4140,1.817,9400,1.919,2411,1.227,1048,1.878
4147,1.9,9130,1.996,1957,1.309,1038,1.779
4813,1.995,9414,1.408,2170,1.353,958.9,1.881
5740,1.1,9000,1.484,2465,1.525,1007,1.874
7676,0.9923,8823,1.9,1908,1.469,920.9,1.636
4046,1.738,10220,1.377,2086,1.944,995.3,1.946
4591,1.786,9271,1.648,1624,1.718,1013,1.679
6217,1.932,10460,1.464,2035,1.441,1105,1.738
4363,1.552,10150,1.535,2101,1.293,992.9,1.777
7621,1.499,9229,1.494,2215,1.365,893.1,1.857
3729,1.603,11570,1.776,1931,1.43,997.3,1.934
6925,1.693,9633,1.435,2389,1.554,1097,1.44
4749,1.139,10470,1.62,2405,1.593,1023,1.512
2809,1.27,9499,1.848,2080,1.561,945.2,1.794
3861,1.252,10660,1.722,2368,1.498,988.5,1.931
4113,1.417,11180,1.318,2466,1.435,1007,1.937
4648,1.981,8649,1.854,2275,1.629,1044,1.604
4041,1.93,9100,1.584,2345,1.509,1212,1.309
4458,1.968,8267,1.695,2286,1.081,1158,1.566
5531,1.942,9222,1.421,2676,1.1,844.3,1.809
4347,1.618,9590,1.922,2038,1.366,1027,1.504
3202,1.48,8568,1.669,2165,1.279,985.1,1.928
3906,1.545,8956,1.805,2355,1.247,1132,1.745
6639,1.671,10250,1.791,2514,1.291,1041,1.816
2838,1.34,9732,1.503,2107,1.54,965.6,1.869
2254,1.437,10630,1.585,2412,1.295,1063,1.72
4320,1.574,8951,1.862,2441,1.397,1072,1.643
4709,1.614,9726,1.758,2157,1.701,1042,1.732
2973,1.222,9792,1.727,2762,1.646,1012,1.912
2894,1.683,10150,1.434,2077,1.382,1128,1.726
2566,1.837,9102,1.692,2545,1.278,1041,1.334
5541,1.894,10860,1.589,1872,0.9957,1039,1.984
3688,1.456,9448,1.802,2623,1.285,1103,1.639
2254,1.636,10990,1.568,2091,1.428,1084,1.622
3680,1.252,11550,1.496,2251,1.44,904.3,1.865
4255,1.789,8258,1.585,2122,1.4,1068,1.861
4104,1.877,9593,1.686,2145,1.649,1003,1.77
3976,1.992,10710,1.523,1988,1.402,975.2,1.579
4153,1.873,14320,1.484,2049,1.053,1031,1.915
4539,1.991,8856,1.925,2104,1.455,968.4,1.735
5387,1.325,9988,1.31,2011,1.166,1051,1.686
5456,1.774,12110,1.221,2273,1.34,944.1,1.657
2820,1.256,9073,1.825,2448,1.226,1060,1.666
3071,1.195,10130,1.707,2236,1.258,949.9,1.826
3092,1.026,9583,1.712,1998,1.291,1009,1.702
12380,1.075,10340,1.326,2285,1.51,1075,1.661
2272,0.913,9209,1.853,2355,1.23,1062,1.667
1862,1.359,9845,1.966,2440,1.305,927.3,1.81
2595,0.7112,8511,1.776,2481,1.289,993.3,1.739
3237,1.219,8698,1.912,2232,1.292,980.3,1.866
4648,1.417,10360,1.71,2298,1.125,1009,1.866
1932,1.493,8115,1.771,2157,1.365,1040,1.909
2447,1.151,10410,1.823,2788,1.778,1040,1.893
9157,1.769,10310,1.715,1816,1.749,1137,1.935
4116,1.447,11350,1.673,2348,1.375,892.5,1.985
4486,1.679,9570,1.676,2155,1.468,1161,1.644
4678,1.923,9838,1.716,2239,1.162,1170,1.672
3824,1.957,9125,1.905,2353,1.12,993.5,1.656
3507,1.883,10540,1.678,2402,1.317,1207,1.534
3879,1.898,10060,1.737,2443,1.187,965.2,1.69
3795,1.395,10360,1.642,1500,1.631,1109,1.407
3610,1.771,10330,1.589,2344,1.368,1115,1.785
9384,1.966,9095,1.615,2666,1.107,924.4,1.768
6047,1.566,9777,1.675,2142,1.296,1212,1.866
2130,1.682,10180,1.644,2742,1.396,957.6,1.682
3792,1.424,8944,2,2387,1.289,1001,1.697
5644,1.671,8878,1.959,2393,1.542,1042,1.898
4732,1.975,10500,1.848,2763,1.559,950.9,1.847
4435,1.964,10040,1.867,2193,1.403,976.4,1.936
4180,1.861,9610,1.355,2620,1.422,1004,1.954
4415,1.558,8774,1.665,2169,1.345,1056,1.909
4638,1.805,10550,1.964,2266,1.099,915.2,1.394
4950,1.8,11540,1.403,2504,1.272,862.2,1.456
4294,1.86,8514,1.996,2022,1.421,977.3,1.256
2872,1.607,10570,1.617,1963,1.157,1145,1.764
3599,1.526,9834,1.601,2496,1.147,1192,1.612
3670,1.75,8941,1.63,2200,1.753,1039,1.868
3560,1.284,9202,1.836,1693,1.219,1126,1.915
4013,1.356,9070,1.758,2035,1.401,1271,1.454
3629,1.657,8891,1.658,2146,1.455,1006,1.839
5749,1.992,9031,1.675,2457,1.578,1104,1.624
4826,1.598,9653,1.723,2473,1.351,1072,1.293
7980,1.268,9419,1.762,2323,1.404,977.1,1.656
3647,1.822,9747,1.703,2241,1.116,1067,1.816
3352,1.481,11150,1.528,2567,1.411,957.4,1.984
7116,0.8782,9729,1.848,1926,1.455,978.3,1.92
8476,1.543,9604,1.726,1890,1.6,1133,1.878
4132,1.916,9818,1.513,2968,1.33,1144,1.7
4076,1.912,9174,1.391,2233,1.166,1160,1.526
7189,1.344,9582,1.62,2108,1.372,965.9,1.875
5597,1.821,8759,1.876,2138,1.189,892.3,1.879
5229,1.763,9894,1.782,2498,1.324,999.8,1.939
