ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
352500000,0.6611,208100,0.8778,10110000,1.017,2053,1.883,99390000,1.753,96470000,0.758,12.01,1.236
3860000,1.367,1388000,1.79,629.2,1.631,2566,1.499,3.518e+09,0.6969,52390000,0.819,16.61,1.87
2437000,1.728,373200,1.353,359300000,1.332,44690000,1.211,3609000,1.448,740500000,1.118,18.25,1.017
658100000,1.34,4.192e+09,1.577,48310,1.32,2.949e+09,0.803,914100,1.965,6018000,1.313,15.32,1.377
7515000,1.937,5.305e+09,1.812,17150,1.72,2.01e+08,0.6495,1.368e+09,1.649,1213,1.655,16.95,1.8
4963000,1.884,632900000,1.189,3.28e+09,1.564,189100,1.872,4.612e+09,1.843,2359000,1.39,15.75,1.339
15560000,1.907,3233000,1.448,450700,0.8251,1.966e+09,1.84,19250,0.5682,8675000,1.101,15.63,1.582
1.799e+09,1.675,6231,1.745,2789,1.311,228100000,0.9489,44060,0.568,1027000,0.6584,15.63,1.261
323800000,0.9259,3220000,1.049,402700,1.118,276900,0.6097,7583,0.6551,3128000,1.481,32.3,1.079
145200,1.764,920700,1.492,50700000,0.5748,70590,1.907,89880000,1.272,13940,1.709,16.48,1.369
14890,1.659,146200,0.5162,157900000,1.211,55420000,1.695,4416,0.6315,1149000,1.039,22.07,1.628
29280,0.918,1153000,1.173,8249,1.94,171100,0.7322,156600,1.936,130500000,0.9033,13.97,1.044
60680000,1.063,422700000,0.9606,3941000,1.807,13640,0.9243,45310000,1.621,8549000,0.7538,12.35,1.221
4866000,0.6882,39520000,1.055,4770000,1.989,831200,0.8423,10290000,1.384,8701000,0.543,11.97,1.911
14020000,0.7291,11030,0.8726,29800000,1.105,369700,1.639,94210000,1.039,60890000,1.991,14.72,1.455
1.116e+09,0.523,11860,1.167,175600000,1.724,45750000,0.8643,84980000,1.272,7320,0.9525,12.99,1.265
317700,0.6244,878.7,0.6592,2290000,1.866,749100000,0.9037,146400,1.253,3003000,1.858,13.21,1.063
1581000,0.8462,143800,0.5749,8357,1.368,2.551e+09,1.966,616900,1.016,5987000,1.782,12.72,1.206
5786000,0.7879,4051000,0.8827,1338,1.724,27250,1.831,786400,0.7464,406200000,1.15,14.24,1.314
1.275e+09,0.9514,328.9,1.332,1.86e+09,1.293,6929000,0.9052,29000,0.504,549300000,1.354,11.61,1.745
2.782e+09,1.891,5.014e+09,1.242,196500,1.571,192300,1.722,35560000,1.24,755900000,1.556,18.01,1.224
339600,1.344,708200,1.274,107900,1.069,49560,0.6126,2491000,1.36,35160000,0.8012,18.99,1.739
3351,1.484,2992,0.9088,291000,1.786,771900000,1.693,391600000,0.7373,241700,1.569,15.43,1.465
8092,1.244,12930,1.425,737.9,1.967,24400,1.393,1.056e+09,0.5102,9258,1.229,14.43,1.257
11860,1.31,4618,1.727,2781000,1.106,90530000,1.123,796.7,1.437,1.605e+09,0.5704,11.85,1.26
944000,0.769,20350000,1.745,9601000,0.6259,182700000,0.7627,420.1,1.386,144800000,0.6462,14.32,1.098
102800000,1.278,27320000,1.831,118900,1.8,637000,1.21,1946,1.924,2930000,1.366,10.1,1.225
11330000,1.124,5.713e+09,1.713,2170000,1.484,41860,1.313,10850,0.7868,518800000,1.798,10.35,1.456
165500,1.847,5.282e+09,1.235,151100,1.178,814200,0.9018,37190,0.9995,62680,0.6592,9.171,1.194
15010,1.966,12750,1.869,910,1.42,2.731e+09,1.245,163400,0.5806,78120,0.6399,10.94,1.358
2.736e+09,0.6231,9535,0.5212,2048000,0.9698,36490,0.9838,776.7,1.972,2.95e+08,1.542,14.22,1.229
450700,1.702,351300,1.131,795100,1.051,88070000,1.265,4280000,1.248,25700000,1.43,13.05,1.217
135500,1.151,26850,1.108,559900,0.857,9936,1.624,11500000,0.604,6.953e+09,1.656,13.74,1.247
34670,1.537,172100,1.842,33830000,0.739,17580,1.196,1.447e+09,0.7551,11140000,1.432,14.98,1.331
323400,1.36,782700000,1.32,1.392e+09,1.316,3970,1.092,127900000,1.876,1803000,0.9151,13.85,1.099
216300,0.9366,11010,1.127,4.93e+08,1.862,6.083e+09,1.383,1993,1.791,5425000,1.792,12.31,1.081
8.92e+08,1.568,202200,0.8985,4.901e+09,0.5219,3366000,1.063,951.6,1.385,2003000,1.166,13.36,1.383
24990000,1.44,1.528e+09,1.346,866500000,1.665,4.407e+09,1.077,104800,1.212,3577,1.302,18.56,1.193
2848000,1.553,2510000,1.236,257,1.729,792900000,0.5828,25500000,1.618,22900,1.57,15.88,1.915
1326000,1.531,13290000,1.014,3360000,1.43,27640000,0.823,2037,1.063,6190000,1.564,14.51,1.427
798100000,1.052,1.91e+08,1.291,74010,1.104,2322,1.626,113800000,1.621,14810000,1.849,13.82,1.128
5611000,0.88,86860,1.086,122800000,0.853,433100000,1.136,31460,0.5567,1597,1.723,12.29,1.48
471.4,1.881,85820,1.59,797300000,0.7297,2799000,1.087,3698,0.7639,305100000,0.7502,14.02,1.204
37300000,1.234,7227000,1.888,8096,0.9362,3253000,0.6994,43500000,1.748,741600,0.8643,11.26,1.233
923400,1.802,191700000,0.9803,3126000,1.821,28870000,0.9083,5220000,1.171,1070000,1.592,13.35,0.8621
16010,0.9725,2.92e+09,0.5655,209100,1.017,1149,1.976,155500,0.5091,2183,1.528,11.16,1.186
474300,1.001,392800,0.766,550200000,0.765,226200,1.018,2586,0.8701,1.813e+09,1.466,13.54,1.506
5.163e+09,1.266,3441000,1.293,125800000,1.252,62010000,0.5137,2585,0.9389,528500000,1.045,11.85,1.653
16280000,0.9417,227100,1.809,66800000,0.7144,14630,0.9115,16110,0.898,1449000,1.291,13.88,1.624
63790,0.6987,14160,1.159,235900000,1.538,1882,1.547,5990,0.727,2.653e+09,1.008,8.615,1.19
3347000,0.5526,7309,1.294,603.5,1.323,11730,1.712,3104,0.9043,185600000,0.8419,11.98,0.9517
4387,1.093,4263,0.904,9.253e+09,1.662,1866,1.188,2485,0.9181,447700,1.929,13.76,0.9728
256200,1.933,4804,1.224,5426000,1.252,300600,1.013,386,1.679,1353000,1.685,10.98,1.685
25730000,0.7737,135500000,1.651,87150000,1.573,589100000,1.768,1053,1.954,2154000,1.21,10.28,1.357
3718000,1.508,488300,1.235,7.68e+08,1.32,36980000,1.593,1737000,0.5626,201500,0.8243,11.63,1.093
7.121e+09,1.017,5.159e+09,1.909,74490,1.189,401100,1.489,1.205e+09,1.217,161000,1.836,18.58,1.31
15620000,0.6951,3.732e+09,1.193,967,1.074,3493000,1.459,1252,1.4,1134000,1.242,15.3,1.645
3313000,1.76,13650000,1.752,31510,0.8023,48250,1.278,741700000,1.925,3.825e+09,1.942,11.92,1.769
1.83e+08,1.483,531900000,1.574,7134000,0.961,982.8,1.387,6305,1.885,10700000,1.473,14.82,1.634
7e+09,0.9259,1688,1.548,47910000,0.9304,3588,1.617,4649000,1.247,17330,1.721,19.61,1.455
21880000,0.909,14550,1.779,4835000,0.7886,9797000,1.083,98520000,0.9316,150700000,1.634,10.36,1.479
238600000,1.997,1323,1.589,10890,0.9405,6513000,0.791,8040,1.917,18120000,1.288,15.4,1.489
1.593e+09,1.049,1352,1.828,8.325e+09,1.247,80740000,1.688,6987,1.956,150500,1.884,15.27,1.217
882300000,0.5119,1029,1.431,674900,1.934,22890,1.802,1195,1.783,2628,0.971,12.86,1.116
533100,1.253,485900000,0.5388,2062000,1.416,4179000,0.5329,1604,1.46,62360000,0.5209,19.3,1.489
456600000,1.921,15760,0.7557,2.316e+09,1.062,981100000,1.942,50860000,1.676,102200,1.065,12.84,1.814
4250000,0.7656,6794,0.7417,378200,1.183,14150,1.53,112300,1.154,37430,1.864,14.02,1.558
3585,1.674,10850000,1.308,485500,1.052,1938000,1.797,14810000,1.665,18800000,0.5385,15,1.668
27300000,1.591,669.7,1.191,93590000,1.678,50720000,1.531,521800,0.7674,4439,1.167,12.1,1.732
3.07e+08,1.553,8491000,0.8287,5820000,1.691,49910,0.7801,414100000,1.07,5297000,1.668,16.67,1.367
168200,1.883,1.529e+09,1.044,4241,1.702,37080,1.079,1414,0.8881,24340,1.82,12.36,1.335
2240000,1.383,634000,1.194,2.223e+09,1.799,758.7,1.924,29960000,1.454,454700,1.898,9.019,1.243
697900000,0.9574,52650,1.608,164100000,1.017,1.395e+09,1.219,74120000,0.5766,18080000,1.045,13.55,1.115
287900,1.463,2221000,1.801,18590,1.852,57950000,0.5196,4906,1.291,21970000,0.5682,11.72,1.103
54790,0.5438,662.3,1.429,2501,1.83,1675,1.011,1952,0.9681,10310,1.129,12.79,1.079
42620,0.8943,4.8e+08,1.698,216800,0.7478,14760,1.229,7.505e+09,0.6953,12200000,0.755,12.54,1.226
159300,1.755,62480000,1.083,5871,1.258,3367000,1.702,3713,1.085,43920,0.8115,15.93,0.9584
6.293e+09,1.839,657,1.054,3933,1.938,49920000,0.6139,2924,1.399,705600,0.6375,12.55,0.981
1.73e+08,1.435,167500,1.111,402600000,1.425,8001,1.444,433300000,0.801,162300000,0.5757,15.79,1.36
1523000,1.128,3717,0.9407,50200,1.571,1688000,0.6535,2450000,1.038,9031000,0.6799,13.38,1.176
7113000,0.9014,46260000,0.5568,312800,1.139,139100000,1.269,26180,1.05,2930000,1.869,14.52,1.064
11720,1.008,8395,1.545,9928000,0.6516,33400,0.7851,16260000,0.5928,5.65e+09,1.982,12.57,1.556
7.775e+09,1.722,1217,1.573,51400000,1.12,3.916e+09,1.402,665300000,1.429,18650000,1.989,14.21,1.42
2.424e+09,0.9053,332.4,1.672,1288000,1.403,1064000,1.353,13500000,0.8446,470200000,1.416,11.59,1.386
388300000,1.098,1117,1.697,3836000,0.6731,635100,1.31,1.252e+09,1.082,188800000,1.705,15.01,1.839
55990000,0.6284,3864,1.331,108200000,1.026,10050,1.879,1894,1.233,4.535e+09,0.5759,10.44,1.586
16250000,1.296,1924,1.524,50130000,1.78,610500,1.609,5812000,1.437,97480,1.758,13.5,1.565
11390000,1.143,2039000,1.843,716400,0.9992,460.4,1.896,441600000,1.32,8774000,0.6675,9.01,1.427
255900,0.8878,11400,1.329,1.25e+09,1.989,3087000,0.8805,34470,1.038,2548000,1.421,14.93,1.505
16300,1.56,517600000,1.33,392600,1.579,40310000,1.729,52770,1.022,404200,1.402,21.63,1.745
735200,1.532,5.71e+09,1.493,216700,1.217,1.456e+09,1.749,12750,0.7107,123100,1.405,15.08,1.678
2835,1.756,1564000,1.145,714700000,1.386,13060,1.855,111200,0.9712,1.419e+09,1.089,14.2,1.456
