ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
24010,0.7146,6785,0.7449,746.6,0.9871,5.275e-07,0.5707
3417000,1.564,4273,0.7496,800.6,0.8012,1.881e-09,0.9697
101500,1.057,5962,0.8116,813.3,0.9098,6.911e-05,0.5608
73410,1.018,9032,0.7216,812,0.9889,0.09203,0.6957
472500,1.529,3359,0.8061,801.2,0.93,0.05039,0.7584
1235000,1.726,9920,1.318,914.6,1.007,1.194e-09,1.236
3095000,0.5618,6863,1.266,664.2,0.8458,0.005603,0.5585
330400,0.7069,8175,1.928,636.9,1.052,0.03326,0.725
516100,0.5293,8854,1.869,783.9,0.8664,0.2473,0.8513
110600,0.6715,5634,1.318,768.3,0.9652,0.188,0.9631
43080,1.111,5201,1.105,709.7,0.9874,0.3276,1.108
23480,1.354,8035,0.9365,895.3,1.055,9.799e-07,1.356
126100,0.7459,4406,0.5863,827.1,0.8676,2.775e-07,0.7158
129900,0.5487,8600,0.624,806.3,0.8706,6.007e-06,1.628
67430,0.7735,8497,0.582,893.7,0.8945,7.358e-09,1.428
119800,0.5335,10020,0.8511,975.4,0.8389,2.473e-08,1.243
133100,0.5069,5943,0.6326,999.7,0.8428,6.491e-06,1.66
26770,1.078,8556,0.881,848.2,0.9885,1.003e-05,0.6007
88950,1.533,7580,0.8438,922.1,0.8348,1.098,1.639
21130,0.8674,3634,0.9866,914.1,0.9776,1.136,1.814
24790,0.9304,6093,0.9141,657,0.8233,0.03876,1.087
27620,1.717,5983,0.8327,656.9,0.897,0.251,0.9241
148900,0.7766,4104,1.078,830.4,0.9459,0.7599,1.355
24110,1.098,3516,0.8959,751.4,0.8202,1.074,1.426
21340,1.295,4313,1.071,861.8,0.9309,0.9933,1.652
23370,0.9877,3320,0.8696,842,0.8226,0.3135,1.829
34010,1.015,5954,0.9029,881.4,0.9934,2.12,1.903
19230,1.369,4062,0.6745,800.7,0.9374,1.199,1.801
25250,1.968,3876,0.6582,716.7,1.054,1.679,1.645
25790,1.479,20500,0.5397,753.7,0.9083,1.904,1.878
18710,1.861,6209,1.018,706.1,0.9883,1.889,1.982
26720,1.179,6346,1.659,785.7,0.8321,1.889,1.982
43170,0.7239,5496,0.9096,759.1,0.7957,1.889,1.982
20140,0.7326,2958,0.83,773,0.9544,1.889,1.982
16190,1.588,9502,1.118,846.1,0.9935,1.889,1.982
38500,0.7,7177,0.6545,824.2,0.873,0.0001894,1.201
48640,0.7658,6560,0.7077,938.2,1.294,3.279e-07,1.833
20260,1.013,2989,1.418,784.4,0.9669,1.476,1.707
39620,1.087,2882,0.6174,845.3,0.8507,0.9878,1.541
63570,0.8917,12170,0.5662,825.7,1.055,0.08334,1.724
24800,1.363,19240,0.5011,759.9,0.8277,1.575e-09,1.993
31720,1.429,18770,0.5324,848.5,1.197,3.745e-09,1.808
18270,1.385,13660,0.743,853.1,0.9407,0.597,1.794
38830,0.9455,5874,0.5475,672.1,1.133,1.395,1.915
34380,1.229,5177,0.9065,828.9,1.283,1.481,1.795
47970,0.999,4807,0.8376,808.7,1.051,0.0001423,1.807
63770,0.7183,13160,0.5915,679.6,0.8519,0.2563,1.688
21650,0.7731,9797,0.6179,906.9,0.858,7.436e-07,1.494
29180,1.107,9835,0.6003,873.9,1.101,0.6767,1.741
47600,0.6744,6722,0.8243,843.9,0.9123,0.0237,0.6527
94040,0.5141,4742,0.9088,732.9,0.9812,1.081,1.918
270900,0.5015,4721,0.8695,852.4,0.9478,1.885e-05,1.589
182100,0.6738,4610,0.5754,792.8,0.8155,1.336e-06,1.313
107000,0.6694,4147,0.9509,847.9,1.113,2.046e-05,1.095
642900,0.6561,3920,0.7727,832.1,1.023,9.891e-08,1.265
582500,0.5072,13250,0.5713,597.9,0.8149,5.923e-05,1.669
17410,1.876,5341,1.104,678.7,0.8998,9.942e-06,1.78
19020,1.619,17950,0.6954,745.3,0.9245,0.1671,1.03
18580,1.558,5118,0.828,794.5,1.022,0.08577,0.6428
43010,0.6019,7553,0.8667,702.6,0.9755,0.02865,1.615
21180,1.649,5074,0.6651,889.7,0.8576,1.272e-07,1.815
50420,0.8695,10080,0.6948,791.6,0.9157,3.737e-09,1.85
50560,0.6983,7744,0.6788,834.6,0.9186,4.786e-10,1.782
25050,1.31,7611,0.7597,741.3,0.9933,6.615e-06,1.628
44680,0.7868,7531,1.054,787.4,1.095,5.833e-09,0.9419
36090,0.8566,4854,1.048,805.3,0.929,0.00348,1.915
37000,1.028,15820,0.7666,745.8,0.9707,0.01759,0.6709
18920,1.234,12450,0.5873,976.2,1.194,0.04397,0.7512
17870,1.542,7453,0.7266,854.7,0.9993,0.09101,0.6834
31880,0.7911,5431,0.6677,911.5,0.8946,6.526e-08,0.5771
20410,1.464,9116,1.091,870.6,1.156,4.72e-05,0.7397
28320,1.206,6809,1.767,809.7,0.9765,7.737e-08,1.095
36170,1.404,5507,0.837,867.2,1.019,3.744e-05,1.239
160700,1.995,5193,0.6773,974.5,0.9192,0.6006,1.456
841100,1.38,3589,0.8887,794.5,1.027,0.6572,1.367
3363000,0.8456,14240,0.7229,760.9,0.6995,0.6642,1.433
1211000,1.651,7729,0.6916,650.3,0.9335,0.6642,1.433
797200,0.9325,5574,0.9938,789.6,0.8625,1.402,1.538
134100,0.9105,8269,0.9127,824.3,0.8688,1.66,1.592
281800,0.602,8222,0.7771,892.9,1.025,0.2511,1.05
39280,0.9013,6302,0.6035,690.1,0.8234,1.473,1.564
117600,0.5941,6287,0.8497,1033,0.7838,1.325,1.405
32150,0.8843,6367,0.9068,684.4,0.9767,1.577,1.697
27510,1.579,7094,0.8475,795.6,1.193,1.235,1.638
81090,0.7839,7462,1.687,899.2,1.034,2.479,1.897
12890,1.816,10430,0.8252,887,1.025,1.723,1.87
18220,1.855,9099,0.7928,847.1,1.012,1.732,1.818
169700,0.9646,9484,0.5832,739.8,0.9021,1.732,1.818
26030,1.234,6086,0.9896,752.5,0.9557,1.732,1.818
24150,1.291,6980,0.7162,866.9,0.983,1.557,1.606
52710,0.7999,5094,0.7636,990.7,1.239,1.517,1.614
32550,1.102,7982,0.9314,1111,1.188,0.97,1.706
38090,1.096,6829,0.9191,806.5,0.9328,1.861,1.893
23310,0.9034,10210,1.124,919.3,1.095,1.911,1.86
21010,1.438,9773,0.9713,793.2,0.8765,1.382,1.682
19960,1.219,7052,0.8091,717.1,0.8246,0.7746,1.602
22870,1.071,11370,1.199,850.5,1.219,1.067,1.684
28130,0.8566,21420,0.5434,799.5,1.205,0.1292,0.8647
33540,1.439,8009,1.172,832.8,0.8926,0.02523,1.078
52530,0.9653,8437,0.6787,788.5,0.9543,0.4477,0.963
139000,0.5634,9649,1.135,898,0.9738,0.06707,0.7528
75640,0.6023,5668,0.6093,875.1,0.8968,0.03545,0.6892
46810,0.6409,15890,1.012,753.2,0.9753,0.0009279,0.6544
46270,1.141,7210,0.5092,663.8,0.944,0.4731,0.9275
20920,1.835,4075,0.7495,611.3,1.176,0.00173,0.8664
23380,1.373,7083,0.8838,649.2,0.9533,1.265e-06,0.5417
18730,1.846,6389,0.8543,791.1,0.9304,0.656,1.357
17510,1.875,7504,1.755,824.6,0.8714,1.219,1.45
22090,1.938,6740,0.9122,832.7,0.955,1.426,1.862
24580,1.421,3650,1.364,738.1,0.8324,2.159,1.906
53290,0.7087,7047,1.012,892.1,1.017,2.159,1.906
14180,1.595,3729,1.009,774.9,0.8131,2.159,1.906
75540,0.7563,10040,1.778,716.9,1.133,2.484,1.887
18060,1.054,9079,1.481,695.7,0.8809,0.9119,1.62
21420,1.006,12750,0.7509,732.4,0.9971,0.4963,1.263
24030,1.411,9061,1.23,948.2,0.8153,0.9059,1.414
118800,0.727,5796,0.9175,619.2,0.9644,2.1e-07,1.16
108500,0.6171,4412,0.7527,770.2,1.171,0.0001061,1.691
20640,0.6694,5623,1.081,913,1.271,6.277e-05,1.384
37280,1.236,1688,0.6861,905.8,1.11,0.001768,1.5
21120,1.414,12900,1.49,800.2,0.8579,8.768e-08,0.672
23660,0.9791,7330,0.7101,773.6,0.8507,2.968e-09,0.6736
19650,1.382,6411,1.518,835.2,1.029,2.012e-08,1.511
52030,0.7656,6171,0.9398,1280,1.084,0.02196,0.9467
19680,1.292,3989,1.98,1121,0.8976,0.0001672,1.409
34100,1.342,4886,1.596,562.1,1.023,1.931e-05,1.67
84150,0.6425,5405,1.542,802.9,1.042,2.316e-06,0.9128
52930,0.6752,6476,1.247,756.4,1.101,1.222e-09,1.406
20660,1.218,16730,0.9685,786.8,0.9414,7.66e-07,0.8583
18620,1.844,7342,0.5877,829.9,0.8512,1.109e-05,1.659
17440,1.706,5882,0.8299,783.1,1.139,5.419e-05,0.7696
25490,1.293,11280,0.7974,844.6,1.078,8.207e-07,1.533
38130,0.6978,6861,0.6912,948.4,0.9669,0.8107,1.991
28970,1.471,8260,0.8675,830.7,0.8686,1.725,1.621
46620,0.8507,6528,0.8967,966,0.8905,1.444,1.751
18360,1.545,8906,0.5012,752.9,0.9253,0.002614,1.578
30950,1.325,8818,0.6197,801.7,0.9257,0.3567,1.156
11970,1.515,8153,0.6531,896.2,0.8256,0.8299,1.194
18330,1.279,9221,1.238,919.8,1.13,0.2388,0.8209
59250,0.6823,8813,0.5467,774.4,0.9509,0.01247,0.5627
23090,1.679,5597,0.9143,877.8,0.9195,0.3148,0.9812
87950,0.6207,8432,0.6401,875,0.9706,0.01973,1.68
26380,1.718,7463,0.6936,836.9,0.9857,0.0152,0.6344
28270,1.23,9520,0.506,855.4,0.9996,4.937e-10,1.651
39810,0.9452,9018,0.8257,886.3,1.149,0.7745,1.172
24970,1.362,8143,1.691,792.3,0.92,0.7745,1.172
27500,1.019,9613,1.446,866.9,0.8792,0.9837,1.359
27220,1.087,6047,1.869,724.4,0.9065,0.08667,0.8057
81100,0.7829,10210,1.361,831.3,0.8416,0.02864,1.121
28300,0.9872,5166,0.9401,735.7,0.8796,0.2576,0.9413
24390,0.8327,10390,1.475,671.6,0.9422,0.6108,1.338
28990,0.8663,4944,1.543,872.3,0.9439,1.06,1.216
32470,0.7885,11930,1.585,830.4,0.9142,0.7525,1.272
32850,0.8719,13740,1.11,887.5,0.9504,0.3455,1.104
58590,0.8247,6617,0.8552,856.2,0.8663,0.4247,1.118
