ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
30.95,0.9361,40890,0.9383,745,0.638,29900,1.096
23.76,1.351,48340,1.494,934.2,0.86,24400,1.235
48.54,1.048,28730,1.022,921.1,0.8055,32470,1.226
34.5,0.9598,35480,0.9686,572,0.7778,27210,1.221
53.37,0.8802,38780,1.683,434,1.125,25650,1.071
32.37,0.8224,43890,1.764,1292,0.9227,24660,0.8743
40.34,0.5592,38050,1.155,599.5,0.947,27190,0.869
41.31,1.149,44070,1.923,628.3,0.9484,27480,1.189
38.58,0.6734,42130,1.652,784.6,0.8819,28300,1.063
23.83,0.7207,48580,1.581,483.7,0.8896,27120,1.011
32.01,0.9611,42600,0.9637,461.9,0.7444,33510,1.039
28.63,0.516,33890,0.9859,840.4,0.7646,39640,0.8341
27.02,1.043,27460,1.115,932.7,0.763,23960,0.8248
46.86,0.9145,24870,0.8269,725.4,0.8802,28460,1.294
32.12,0.8902,37500,1.24,760.3,0.802,31310,1.149
37.37,0.7997,60290,1.021,766.3,0.8305,33400,1.037
25.82,1.115,44130,1.251,850.6,0.7963,29930,1.028
33.92,1.624,34040,1.23,1325,0.9585,33730,1.052
49.5,0.7794,49760,1.217,592.5,1.028,24680,0.7763
36.37,0.8751,43160,1.738,1072,1.101,29640,1.575
31.92,0.8485,52020,1.709,772.9,0.788,25940,1.448
31.8,0.6467,56410,1.185,830.8,0.8956,30770,1.595
40.67,1.032,49950,1.552,915.1,0.7093,28830,1.277
54.02,1.148,49300,0.8277,1429,0.7973,27090,1.279
53.99,0.9208,35430,1.015,1093,0.6986,25510,1.197
33.8,1.394,34300,1.077,862.5,0.7618,21770,1.151
36.72,1.471,42540,1.285,1343,0.5829,28610,1.365
72.56,1.964,41780,1.221,897.7,0.6953,29350,1.588
46.92,1.494,53950,1.609,670,0.7403,23620,1.163
32.96,1.168,50790,1.239,687.1,0.8736,35010,1.166
32.12,1.02,37410,1.305,618.5,0.8836,26830,1.027
28.74,0.8609,33920,0.8534,943,0.701,25470,1.099
36.51,0.9521,55100,1.655,1057,0.7815,31650,1.142
40.6,0.7575,45270,1.425,859,0.9567,32060,1.353
34.28,1.089,44590,1.658,589,0.9308,31420,1.108
35.38,1.149,30010,0.9014,1072,0.8036,26900,0.9972
26.41,0.8933,38330,0.8406,863.7,0.7414,33040,1.418
32.32,0.9426,41240,1.668,724.7,0.806,25660,1.063
29.79,0.9615,40670,1.402,728.6,0.7728,25310,0.9393
44.7,0.8823,38060,1.342,655.8,0.8362,33850,1.407
29.15,0.8737,37480,1.965,893.2,0.8478,28810,0.7802
33.58,1.044,36150,1.462,747.9,0.8731,27620,1.13
60.3,0.8296,47250,1.03,494.1,0.8785,27890,1.176
41.11,1.303,37880,1.554,838.6,0.8011,19090,1.254
39.07,1.244,36960,1.468,928.6,0.7932,31260,1.15
31.28,0.8178,31310,0.7782,916.7,0.8568,24050,0.8703
