ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
1633,1.901,14450,1.054,568.1,0.9668,13870,1.962
1693,1.014,20110,1.331,534.6,0.9676,8340,1.619
2561,1.94,12800,1.452,399.2,0.8521,10120,1.162
2039,1.653,15020,1.643,440.8,0.8761,8417,1.412
1289,0.8813,19580,1.91,388,0.9636,9327,1.061
288,0.5307,8410,1.69,380.5,0.9048,12000,1.052
1430,1.106,9951,0.9867,353.5,0.9154,10530,1.461
1061,1.008,11520,1.023,297.1,0.9474,9273,1.246
1819,1.439,8799,1.156,362.8,0.9919,11300,1.608
2546,1.633,11850,1.5,302.3,0.9992,10420,1.247
915.9,0.5968,12860,1.244,322.6,0.8652,10910,1.37
1305,0.8087,7281,1.182,485,0.9026,12090,1.19
1331,0.7985,18050,1.284,472.8,0.8557,12100,1.312
1522,0.7762,5459,1.51,420.6,0.8509,10330,1.789
757,0.8665,7280,1.642,327.7,0.9039,13790,1.86
1399,0.8136,7218,1.12,267.3,0.9436,8259,1.211
980.4,0.9353,6622,0.722,386.4,0.9292,14120,1.445
745.4,0.6194,6027,1.07,323.1,0.9435,11170,1.374
883,0.5914,18780,1.985,322.6,0.8643,8684,1.589
347.2,1.076,11560,1.407,280.9,0.7853,8224,1.722
329,0.8849,13680,1.586,370.8,1.006,13600,1.501
741.9,1.049,9450,1.467,344.3,0.95,12130,1.335
583.3,0.6902,12530,1.279,363.3,0.8782,10180,1.221
468.4,0.6076,8577,1.24,375.1,0.9486,11500,1.697
456.6,0.7174,10020,1.609,381.1,0.8693,9662,1.518
1022,1.419,10690,1.104,371.1,0.9092,12050,1.377
171.6,0.6498,6721,1.134,312.6,0.8393,11160,1.571
1282,0.7402,15500,1.211,312.3,0.8844,10190,1.408
1037,0.6689,10050,0.7306,276.9,0.9039,10360,1.489
987.4,0.9681,7465,1.609,433.8,0.9446,10320,1.677
1092,0.8443,12830,1.479,376.5,0.9125,11620,1.338
427.3,0.8073,8787,0.9972,375.6,0.8342,12690,1.712
322,0.6372,9750,1.31,356.2,0.8883,10240,1.689
390.2,0.5686,7690,1.445,337.4,0.8499,12510,1.708
515.7,0.6101,8552,1.363,310.4,0.8922,11130,1.603
301.9,0.6742,9415,1.099,359.1,1.074,12360,1.794
626,0.6191,9681,0.7822,313.2,0.8345,11490,1.65
142.2,1.277,11840,1.456,397.3,0.8462,10320,1.396
352,1.134,12810,1.088,312.8,0.8475,10520,1.707
245.8,0.6678,9739,1.053,397.3,0.8286,13510,1.454
252.2,0.7687,9410,1.288,352.5,0.9035,14830,1.397
422.8,0.5661,8496,1.312,291,0.8015,12300,1.508
506.6,0.5551,7079,0.9178,459.9,0.8672,14850,1.842
1726,1.61,12540,0.9273,465.1,0.9175,16270,1.735
196.4,0.7159,11550,0.9021,366.9,0.7548,9422,1.521
1100,0.7721,14700,1.324,461.9,0.8886,10220,1.344
469.4,0.5965,12920,1.598,275.8,0.9318,12500,1.847
1052,0.9729,13210,0.8908,322.8,0.8668,10260,1.471
584.9,0.679,8983,0.9103,437,1.105,11870,1.116
