ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
165.4,0.9543,207000,1.679,1382,1.544,39.45,1.254
125.5,0.7974,499100,1.916,1404,1.528,47.74,1.378
324.6,1.071,516100,1.443,817.9,1.769,48.83,1.109
449.7,1.03,1.726e+09,1.472,1126,1.65,51.57,1.778
400.9,1.862,1821000,1.028,1329,1.364,54.33,1.827
511.2,1.021,38210000,1.394,1395,1.459,46.68,1.571
557.2,1.289,8.263e+09,1.732,1792,1.318,48.19,1.585
300.5,0.7891,24860,1.596,2343,0.7494,51.04,1.502
665.5,1.207,824800,1.269,786.6,1.496,45.76,1.563
622.8,1.368,187500,1.972,1440,1.284,46.21,1.457
519.3,0.7199,4.61e+09,1.472,949.9,1.944,47.29,1.514
400.8,1.446,1121000,0.8543,1199,1.675,64.55,1.41
489.2,0.6085,4467000,0.7203,4748,0.6388,43.02,1.695
800.3,0.9049,100900,1.196,3225,0.6423,54.11,1.451
487.1,1.011,128500000,1.118,2370,1.101,50.66,1.736
592.3,1.177,58570000,1.92,1331,1.041,44.87,1.603
424.8,0.7172,26330,1.638,5546,0.5568,50.77,1.562
350.8,1.064,36430000,0.7064,5366,0.7665,47.62,1.958
478.9,1.192,3201000,1.01,8837,0.515,50.04,1.945
604,1.278,4.831e+09,1.913,998.5,1.544,48.01,1.917
400.3,1.344,6.666e+09,1.811,1471,1.218,49.33,1.853
464.6,1.131,365500000,1.172,990.6,1.464,46.93,1.478
1184,0.666,369800,0.9455,1290,1.388,56.57,1.758
389.9,1.145,94280,0.9829,2008,0.8753,46.98,1.562
1000,0.6996,8.33e+08,1.069,1028,1.288,47.47,1.642
556.5,1.498,597200,1.494,6611,0.5717,45.23,1.61
434.6,1.433,2854,1.989,7213,0.5338,60.67,1.603
411.3,1.748,21680,1.729,12690,0.524,42.9,1.779
662.6,1.252,9.153e+09,0.7986,8649,0.5281,42.11,1.771
828.3,0.7626,4.96e+09,1.274,7087,0.5715,48.52,1.544
204.8,0.763,363000,1.803,8247,0.5427,46.97,1.377
540,0.7189,21500000,1.84,9001,0.5396,55.96,1.341
220.6,1.065,61920,1.485,1114,1.398,50.93,1.362
306.8,0.8054,165200000,1.725,975.2,1.579,47.95,1.856
300.4,1.922,178400000,1.382,759.5,1.579,51.31,1.963
474.6,1.09,20190,1.13,1453,1.804,47.88,1.384
453.3,1.506,38900,1.12,4682,1.35,48.09,1.337
579.2,0.7695,316500,1.094,3439,1.228,42.68,1.301
555.6,1.415,2.634e+09,1.244,1688,1.203,48.87,1.626
261.3,1.424,355200000,0.7343,1278,1.284,46.33,1.583
425.1,0.7789,700600000,1.553,1112,1.205,46.86,1.914
736.4,0.6539,182300000,0.7026,999,1.8,50.71,1.874
609.7,0.6792,8.289e+09,0.9654,1647,1.434,47.92,1.881
490.8,1.954,6337,1.914,973.4,1.497,44.1,1.531
449.1,1.27,3022000,1.918,1603,1.038,47.63,1.724
338.7,1.016,2423,1.876,1686,0.8755,42.97,1.641
621,1.579,8.412e+09,1.638,2732,1.042,43.78,1.549
505.7,1.719,79630,1.966,1239,1.456,56.27,1.423
359.5,1.977,14870,1.316,1250,0.8217,45.1,1.356
518.2,1.161,25410,1.936,1006,1.343,47.27,1.712
721.6,0.8712,13910000,1.824,1264,1.422,44.71,1.984
373,1.721,10220000,1.994,714.3,1.738,45.14,1.378
577.3,0.7813,476500,1.114,1263,1.482,39.63,1.825
418.2,1.85,933500,1.622,8615,0.5191,42.54,1.765
351.6,0.9482,64420,1.892,2731,0.6782,48.32,1.73
263.2,1.362,3792000,1.799,2406,0.7801,48.77,1.709
294.9,0.783,202500000,1.59,1208,1.136,43.74,1.751
