ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
174800,1.157,28920000,1.565,5.054e+09,1.672,66920,1.207,6171,0.9594,415200,0.6377,2993,0.8428
17280000,1.662,298400000,1.219,36700000,1.38,105300,1.081,6230,1.019,424300,0.6652,3301,1.328
4564000,1.994,228900000,1.317,3.541e+09,1.326,81200,1.245,5831,1.007,343700,0.6887,4376,1.376
193500,0.9364,192400,1.665,474100000,1.915,73070,0.9478,6183,0.9764,679700,0.5673,3602,1.271
3759000,0.6017,25730000,1.985,773500000,1.28,95280,0.974,6271,1.141,608500,0.5455,2948,1.07
5912000,0.7034,242700,1.223,1.182e+09,1.115,99910,1.241,6495,0.9752,862200,0.5162,3439,1.215
376600,0.7822,86580000,1.671,6.407e+09,0.9744,80040,0.9981,5921,0.9685,567500,0.5853,3595,1.61
329000,1.075,6468000,0.5492,5.38e+09,0.9832,77330,1.186,5717,0.9632,548500,0.5843,2977,0.9738
2722000,0.5471,27150000,0.7448,14600000,1.042,116100,0.7616,5795,0.9372,261700,0.8869,3744,1.222
11490000,0.793,64300000,0.8513,50670000,0.8451,74660,1.313,5686,0.9812,1022000,0.5167,3402,1.079
1188000,0.6762,1760000,0.7387,1492000,0.9919,68760,1.333,5937,0.8999,339200,0.7653,3056,0.9767
21760000,0.9483,1124000,1.025,919800000,0.9236,144400,0.8714,5673,1.002,426700,0.7505,3592,0.8804
390400,0.7229,106200000,1.26,16040000,1.368,84110,1.32,5846,0.9484,332600,0.7573,3127,1.119
759900,0.7215,2384000,1.382,39330000,1.202,71560,1.768,5445,0.9527,720000,0.5029,3964,1.183
257000,1.434,303800,1.602,5687000,1.942,95480,0.9453,5692,1.013,647300,0.6205,4070,1.227
566200,1.537,125300,1.574,3769000,1.122,71240,1.084,6047,0.9835,565000,0.5811,2671,0.9555
4408000,1.92,98790000,0.9988,13760000,1.121,85110,1.109,5765,1.002,401700,0.5812,3240,1.149
398400,1.112,3.523e+09,1.389,10040000,1.134,67230,1.065,5747,0.9596,552300,0.5736,3479,1.023
503000,0.729,27590000,1.627,35940000,1.301,62150,1.271,6166,1.048,793000,0.5019,3522,1.5
417000,0.8787,233500,1.738,81670000,1.22,54390,1.075,5665,0.8334,950300,0.5428,3659,1.368
1265000,0.5557,251800,1.888,257100000,1.177,116100,0.679,5638,0.8483,802600,0.5372,3766,1.026
1522000,1.67,239000,1.723,485300000,1.671,95550,1.002,5922,1.056,620900,0.575,4791,1.319
237500,1.972,133700000,0.7311,585800000,1.725,83730,0.9723,6089,0.9876,583100,0.5783,3317,0.9282
127400000,1.361,4.298e+09,1.04,7.122e+09,1.57,88090,0.8203,5437,0.8797,425100,0.7132,2807,1.096
2.66e+09,1.613,49760000,0.7599,4.81e+09,1.959,105000,0.9819,6285,1.047,654100,0.5652,3210,0.9622
3.584e+09,0.7351,387400,1.361,867900000,0.8436,81360,0.8437,5285,0.9721,800900,0.5217,3843,1.151
58340000,1.021,453200,1.623,65290000,0.8492,73790,1.165,5432,0.91,623400,0.5821,3912,1.279
284300,1.838,283400,1.632,2416000,1.732,70690,0.738,6277,1.04,757000,0.5068,3622,1.259
220600,1.45,2.943e+09,1.257,9142000,1.633,100400,0.8195,7125,1.118,1017000,0.5113,3154,1.159
223300,1.868,7405000,1.164,5.396e+09,1.462,60930,1.149,6306,1.04,306100,0.8203,3653,1.322
155500,1.907,244300,1.623,1.778e+09,1.588,130700,0.8496,6009,0.9563,316300,0.7412,3308,0.9918
542700,1.854,287900,1.561,17550000,1.596,76080,1.18,5770,0.9357,536700,0.6066,2538,0.8951
109100000,0.8169,355400,0.8399,62220000,1.716,64610,1.015,6060,0.9388,451000,0.6343,2877,1.031
293500,1.665,3803000,0.5113,7.731e+09,1.085,78890,1.071,5749,0.9833,614400,0.563,3517,0.9215
160800,1.619,1529000,1.693,117100000,1.009,75900,1.232,5884,0.972,707100,0.5334,3543,1.042
2.25e+08,1.253,10860000,0.585,1790000,1.248,92460,0.973,6243,1.022,388800,0.6344,3354,1.111
223600,1.864,2953000,1.793,25970000,1.042,89280,0.9857,5587,0.9308,404700,0.6134,2941,0.9961
189300,1.829,627200,0.837,1.653e+09,1.799,92860,0.7478,6525,1.032,641500,0.5629,2804,0.9834
192000,1.395,1469000,1.145,5.488e+09,1.264,112000,0.7854,6223,1.03,578300,0.5788,3139,1.099
186500,1.965,419300,1.372,8347000,1.119,68710,1.074,6298,1.083,469500,0.6315,3866,1.122
745700000,1.837,868800,0.8696,77570000,1.091,92380,0.8636,5554,0.9652,389600,0.6931,3550,1.222
1134000,0.7198,2034000,1.639,6315000,0.9224,74980,1.221,6379,1.166,635000,0.5406,3323,1.154
1.065e+09,0.7014,331200,1.939,37690000,1.231,76010,1.046,5847,1.053,498000,0.598,3732,1.158
1120000,1.506,367300,1.397,9046000,0.7463,103800,1.077,6144,1.025,354400,0.6986,3917,1.415
11570000,0.986,2966000,1.816,2811000,1.038,127600,1.013,5932,1.018,493400,0.6044,3366,1.153
887700,1.21,1598000,0.9515,41820000,1.299,97920,0.8082,5089,0.9105,739000,0.5378,3893,1.386
150900,1.197,7978000,0.6807,2.65e+08,1.871,72290,0.9131,5957,0.982,433600,0.6733,3267,1.162
2189000,0.8931,2590000,0.7306,520900000,1.831,108100,1.411,6759,1.028,509100,0.6468,3291,0.9875
16170000,0.5474,772800,0.8676,3042000,0.9866,122900,0.6472,5625,0.9744,555900,0.5915,3830,1.282
249700,1.113,2.028e+09,1.312,719900,1.134,61750,1.187,6630,0.9375,837000,0.5085,3068,1.103
176400,1.7,1.118e+09,0.7011,5949000,1.178,85350,1.075,5950,1.027,709000,0.534,2917,0.9087
