ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
1.452e+09,0.9368,4248000,1.881,4178,0.9726,61.44,0.917
20210,1.603,33880000,1.814,2844,1.82,64.54,0.9649
14900000,1.676,4.338e+09,1.789,5550,0.9768,56.54,1.042
27720,1.573,1.446e+09,1.803,4745,1.36,69.21,1.353
1.104e+09,1.875,7.849e+09,1.712,3279,1.817,71.96,1.221
2677000,0.7132,26570,1.509,3615,1.771,78.49,1.215
56850000,0.6282,145500,1.283,4225,1.429,83.15,1.293
7999000,0.5923,743800000,0.8378,14710,0.6024,80.9,1.11
1092000,0.6624,2.107e+09,1.106,3311,1.702,71.25,0.9464
5.035e+09,1.228,43580000,0.8199,6371,0.8579,86.84,1.099
126700000,1.415,65220000,1.363,3844,1.283,87.8,1.047
49470,1.231,74990,1.417,4525,1.789,75.65,1.17
58540000,1.545,17310000,0.9447,9324,0.9782,67.77,1.118
9.954e+09,1.813,614400000,0.8834,4229,1.21,85.72,1.533
21620,1.438,2711000,0.886,4023,1.403,104.4,1.031
193900,1.586,4473000,1.781,3568,1.578,77.14,1.216
2301000,0.9087,11860000,0.6632,3904,1.418,84.97,1.223
3062000,0.5684,3.696e+09,1.573,15710,1.073,79.43,1.074
40740000,1.867,550200,1.249,50670,0.5369,84.68,1.333
44840,0.7352,1.305e+09,1.601,30070,0.8998,76.15,1.001
26060,0.5945,2.228e+09,1.519,3738,1.98,90.04,1.111
16890000,0.5737,34260000,1.549,3514,1.906,84.93,1.049
12420000,1.984,352300,1.639,2982,1.926,81.59,1.297
1.235e+09,1.841,1.38e+08,0.6114,3878,1.975,81.38,0.9294
9135000,1.85,4578000,1.004,3260,1.486,69.22,0.9999
824200000,1.662,2255000,1.797,9863,0.9793,71.18,0.9943
612700,1.886,22390000,1.328,4260,1.286,75.55,0.9789
2.148e+09,0.6998,3.025e+09,0.5065,3641,1.22,89.4,1.227
727300,0.5252,18360000,1.491,4486,1.19,78.62,1.224
1.176e+09,1.352,995800,0.7749,16410,0.6703,86.63,1.207
4321000,1.103,22580000,1.44,20470,0.5418,82.84,0.9341
675900,0.6467,310100000,1.286,4724,1.222,75.83,1.248
56730,0.601,3670000,1.435,4064,1.227,62.37,1.132
54540,1.868,1.501e+09,1.883,5036,1.149,75.29,1.326
16170,1.837,2.381e+09,1.617,3468,1.628,77.44,1.395
81000,1.806,1.9e+09,0.9695,7892,0.9499,76.47,1.089
7.44e+08,0.595,1.92e+08,0.6774,5438,1.18,82.17,1.04
326200,0.5668,34180000,1.151,7001,1.238,74.98,1.109
15090,1.341,42950,1.189,34650,0.6155,84.23,1.137
1.198e+09,1.563,1.126e+09,1.906,4723,1.847,88.93,1.05
164800000,0.7764,207800,1.228,11460,0.7453,79.96,1.266
362500000,1.445,38550000,0.9848,4767,1.229,86.56,1.168
8.817e+09,0.9239,3377000,1.912,5307,1.041,100.7,1.344
24790,1.42,13540000,1.577,10490,0.876,102.5,1.317
112600,1.779,129900,1.198,16710,0.6758,97.73,1.223
495000,1.631,7.925e+09,1.656,3102,1.566,75.46,1.093
154500,0.6573,474700000,1.443,3043,1.379,90.02,1.045
501400000,1.864,1840000,1.106,9412,0.7713,79.38,1.167
4.634e+09,1.926,100900000,1.688,7205,1.007,74.95,1.073
2.665e+09,1.512,62170000,1.358,9097,1.165,74.05,1.052
9.476e+09,1.097,76860000,0.5682,4220,1.3,73.56,1.128
3.063e+09,0.5403,6.885e+09,1.11,9809,0.6621,69.63,1.229
29100000,0.749,17470000,1.443,4254,1.657,77.78,0.9461
159700000,1.095,251300,1.268,4185,1.206,98.77,1.132
35130,1.193,323600000,0.9093,15130,0.7099,79.16,1.041
18230,1.781,15660000,0.5849,3231,1.99,77.52,1.167
67910000,1.835,55060,1.494,2669,1.984,74.69,1.293
21790,1.655,59700,1.795,22020,0.5777,80.04,0.979
28750,1.964,2820000,1.377,3821,1.191,92.09,1.056
18370,1.58,4.864e+09,1.417,5001,1.106,83.61,1.054
3.25e+08,1.683,605800000,1.845,6429,1.079,88.35,1.186
54740000,1.591,9678000,1.608,7099,0.7831,83.8,1.157
319600,0.5268,1.795e+09,0.6185,7880,0.8234,79.28,1.056
1563000,1.818,16180000,0.7651,5709,1.2,70.94,0.9018
219100,1.038,7.649e+09,1.086,3920,1.145,100.6,1.083
69400,0.8872,141800,1.092,3462,1.239,89.35,0.9783
66910,0.5792,2121000,1.268,12770,0.5596,84.01,1.142
2967000,0.553,35310000,0.9245,4342,1.551,97.57,1.28
14470000,1.094,215300,0.7809,16230,0.8033,76.81,1.063
807100000,1.29,104200000,0.6005,10080,0.7492,86.84,1.112
31480000,0.6792,9.55e+08,1.098,3469,1.832,81.97,0.9741
46980000,0.6722,942600,1.845,2926,1.941,62.33,1.034
2316000,1.722,4.302e+09,0.9153,3832,1.833,57.4,1.079
143300000,1.214,9.061e+09,0.9749,3444,1.735,70.31,1.301
441500000,1.971,5.399e+09,0.8209,5502,1.221,70.13,1.03
6012000,1.619,8.456e+09,0.5141,4354,1.285,95.42,0.9414
3.34e+08,1.15,403000,1.12,4852,1.089,95.93,1.095
2571000,0.6606,164000,1.536,4035,1.094,89.08,1.212
47610,1.112,44100000,1.24,14430,0.9297,78.7,0.9559
54560,1.101,253600,1.181,3810,1.749,75.86,1.151
391400000,0.741,2835000,1.235,3474,1.795,86.27,1.1
1037000,1.369,323300000,0.8519,3983,1.791,69.15,1.028
3883000,1.804,44020000,1.202,4849,1.325,83.48,1.043
1299000,0.7502,1.031e+09,1.742,3778,1.566,76.51,1.181
1.109e+09,1.777,7650000,0.6473,9441,1.621,70.4,1.187
406800000,1.742,568300000,1.227,6743,0.7385,71.04,1.249
5.042e+09,1.627,9.292e+09,1.318,3843,1.271,63.12,1.127
885500000,1.09,1534000,1.966,4316,1.405,67.86,1.076
71490000,0.7686,1.639e+09,1.146,3784,1.668,64.55,1.12
1146000,0.8803,7230000,1.677,7043,0.8353,67.01,1.148
62690000,1.105,1272000,0.5806,5795,1.821,68.94,1.03
4.472e+09,1.252,916300,0.7619,5453,1.392,61.52,0.9847
1.135e+09,0.9692,192400000,1.604,4706,1.063,78.72,1.235
165300,1.074,144200,1.834,3551,1.192,75.37,1.396
61580000,1.82,214500,1.865,3404,1.201,95.89,1.244
23010000,1.246,30990000,1.106,4330,1.46,92.71,1.099
3.962e+09,1.499,155100,1.588,3484,1.996,75.69,1.283
25560000,0.9471,36550,1.602,3569,1.953,73.82,1.163
524700000,1.693,4105000,1.823,10940,0.7355,95.14,1.211
1593000,0.8398,27430000,1.347,4068,1.476,84.06,1.004
4.276e+09,0.7783,339800,0.9385,4904,0.9758,80.9,1.062
71890000,1.432,249900000,0.6671,3915,1.488,59.78,0.969
5.001e+09,0.8632,882500000,1.553,4735,1.581,86.17,1.325
7.87e+08,1.122,247300000,0.825,7838,1.078,90.45,1.168
72050,1.683,46970000,0.7273,4369,1.363,70.34,1.102
791900,1.809,294100,1.17,4632,1.568,74.59,1.109
1557000,1.231,28710000,1.743,4316,1.578,83.15,1.034
151200,1.111,352700000,1.309,4692,1.247,65.17,1.159
1806000,1.481,3.6e+07,1.306,3170,1.394,84.52,1.156
55490000,1.654,5500000,1.277,3621,1.644,76.75,1.062
1625000,0.7829,9201000,0.8305,4409,1.209,69.44,1.064
460100000,0.967,300600000,0.9127,3506,1.308,69.14,1.051
9237,0.7879,170100000,1.062,3931,1.849,84.73,1.19
298600,1.798,25330000,0.9732,6852,1.05,76.6,1.175
6232,1.417,537300,1.821,6275,1.028,87.73,1.268
189900,1.615,92450,1.733,3254,1.254,80.85,1.098
43440,1.165,82580000,1.563,3155,1.621,86.49,1.066
380000,1.467,938800,1.197,5066,1.072,68.78,1.258
8274000,1.007,5.877e+09,0.6676,3671,1.254,96.62,1.124
50100,1.186,15040000,1.521,6907,1.021,86.2,1.141
1123000,0.7264,1938000,1.72,5819,1.263,76.6,1.008
1.548e+09,1.684,1.485e+09,1.467,3668,1.085,76.87,1.034
1.069e+09,1.273,134800000,1.938,3778,1.21,72.13,1.104
46860000,1.473,15540000,1.785,4430,1.123,90.66,1.15
1.98e+09,0.7214,63790000,1.843,4217,1.12,91.59,1.11
15200,1.49,32210000,1.665,6531,0.7847,88.51,1.256
83900,1.63,1949000,1.404,5724,1.164,66.37,1.187
203800,0.6734,55570,0.7389,3318,1.999,81.08,1.2
76700,0.8091,178700000,0.7529,2782,1.981,97.46,1.279
325100,1.481,254100000,0.6355,6050,1.15,64.53,1.145
