ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
6.097e+09,1.777,2.055e+09,1.052,411400000,0.6915,217500000,0.7581,7.217e+09,1.916,1.463e+09,1.502,267500,1.215
28050000,1.88,5.771e+09,1.028,2.821e+09,0.6793,93760000,1.2,4.881e+09,1.391,10690000,1.481,237800,1.552
8.345e+09,0.778,1.451e+09,0.65,668600000,0.8678,422800000,0.5959,241700000,1.525,11360000,1.9,299600,1.08
1695000,1.282,1.458e+09,1.865,1e+09,1.049,5450000,0.7873,69010000,1.853,16790000,1.254,293000,0.8203
1058000,1.941,76450000,0.7785,341700000,0.6333,12950000,1.42,123100000,1.965,5.163e+09,1.03,251600,0.9423
4.974e+09,1.066,1094000,1.937,68840000,1.889,32340000,1.637,5.133e+09,1.251,4.067e+09,1.774,221000,1.127
1.792e+09,1.901,6772000,1.987,25640000,1.961,3875000,1.193,40600000,1.32,47040000,1.171,228000,0.9993
85870000,1.6,559300000,1.933,2.338e+09,0.9274,1.749e+09,1.95,2458000,1.309,13460000,1.673,299000,1.155
8419000,0.7521,6.875e+09,1.424,136600000,1.093,1.258e+09,1.988,268900000,1.946,17990000,1.752,275600,1.145
61250000,0.8519,937300000,1.325,171800000,1.993,40750000,0.62,1.078e+09,1.29,689900000,1.076,399300,0.9401
253500000,0.6855,6.9e+09,1.797,1.833e+09,1.98,33390000,0.8054,561300000,0.5969,35770000,0.9692,280800,1.427
127500000,1.256,217700000,1.478,7.381e+09,1.913,97720000,0.6979,4.488e+09,1.248,28560000,1.887,341700,1.401
35840000,1.934,1.59e+08,1.507,2.442e+09,1.901,10750000,1.069,39280000,1.758,401300000,1.413,303100,0.8394
650100000,1.192,8.476e+09,1.167,247900000,1.899,152900000,0.63,44070000,1.51,4.892e+09,1.809,257700,1.42
202500000,1.94,5330000,1.726,8535000,0.9638,7.546e+09,0.6547,1.797e+09,1.005,272700000,1.385,263300,1.182
2614000,1.272,3645000,0.864,924300,1.869,2.039e+09,1.411,4.056e+09,1.902,889600000,0.9323,311800,0.9344
34970000,0.6918,11350000,1.234,2.882e+09,0.6779,1.393e+09,1.918,772700000,1.798,1.988e+09,1.157,307600,1.059
73180000,0.956,3.579e+09,1.577,2.86e+08,0.6957,300500000,0.7183,1.121e+09,0.6454,2.651e+09,1.256,336100,1.356
105100000,1.609,909100000,0.8914,71140000,1.41,14160000,0.7137,358100000,0.9331,1.656e+09,0.9362,257000,1.206
635800000,1.987,4968000,1.993,1.107e+09,1.537,9237000,1.064,643300000,1.123,8.348e+09,0.8827,263300,1.176
18330000,1.642,2.596e+09,1.59,1016000,1.88,111800000,0.5885,1.241e+09,1.745,4.43e+09,1.609,321400,1.58
1.809e+09,0.8889,33010000,0.8332,2.6e+08,1.885,117800000,0.7355,279300000,0.9424,130900000,1.842,287000,1.055
4.382e+09,1.719,2.828e+09,1.666,3297000,1.481,65330000,0.8959,50590000,1.665,3262000,1.967,325100,1.097
4.504e+09,1.676,235800000,1.909,2.314e+09,0.5472,4044000,1.438,506900000,1.626,46410000,1,340600,1.084
3.023e+09,0.9705,2.3e+08,1.241,3.296e+09,0.8757,147900000,0.5666,13170000,1.809,5.01e+09,1.056,304200,1.009
47740000,0.5043,852300000,1.391,3558000,1.246,158100000,0.7386,562200000,1.905,54660000,1.901,289500,1.055
14810000,0.8191,4.13e+09,1.986,2523000,1.914,15440000,0.7804,5.062e+09,1.362,5907000,1.214,292700,1.277
2.09e+09,0.8929,123800000,1.775,35790000,1.775,16950000,1.649,654900000,0.8696,115700000,1.408,297200,1.049
4.06e+09,0.7145,4.3e+07,0.5472,15730000,1.245,6002000,1.089,112700000,1.689,527100000,1.267,270200,0.9154
23070000,1.25,3527000,0.8772,9202000,0.9798,8940000,1.81,43670000,1.435,4.614e+09,1.189,330200,1.32
2918000,1.871,1.224e+09,1.387,80190000,0.5017,92940000,1.706,38580000,0.7362,3.723e+09,0.6489,228900,1.537
202900000,0.6981,296100000,0.9182,1.954e+09,1.164,8342000,1.958,19460000,1.616,698900000,0.9237,290000,1.172
1.897e+09,0.8139,357300000,0.5405,31530000,1.654,39690000,1.379,4518000,1.703,2.89e+08,1.945,280000,1.119
2.322e+09,1.648,729800000,1.471,1.31e+08,1.418,1354000,1.588,90980000,0.7737,5.629e+09,0.9594,305300,1.284
14100000,1.525,67790000,1.322,14890000,1.653,31730000,1.94,77520000,0.7482,38230000,1.39,256400,1.863
14290000,0.707,11180000,1.552,59440000,1.402,6889000,0.9485,3409000,1.992,16310000,1.789,264800,0.7978
4972000,1.151,203100000,1.617,163500000,0.6514,6806000,0.9853,14040000,1.849,1.963e+09,1.525,264300,1.109
27900000,1.26,681700000,1.431,2.011e+09,1.78,77790000,0.8499,17680000,1.433,6.854e+09,1.512,221000,1.453
1086000,1.591,3306000,1.649,36350000,1.69,9628000,0.6666,2.014e+09,1.294,9.076e+09,1.808,257100,1.233
1145000,1.958,6035000,1.35,2757000,1.555,123800000,1.044,146400000,1.285,4892000,1.657,283800,1.144
32360000,1.486,1.243e+09,0.9725,135300000,0.8323,54840000,0.5546,44410000,0.776,1.995e+09,0.9184,289400,0.934
951500000,1.946,58830000,1.994,6825000,1.211,8231000,1.038,7672000,1.234,31460000,1.085,356400,0.911
325400000,1.883,9.78e+08,1.102,88530000,1.024,104200000,0.5088,96950000,0.7081,1.792e+09,1.041,302500,1.04
106200000,0.7241,5033000,1.958,29460000,0.5315,33200000,0.7279,6388000,1.374,2.382e+09,0.9505,246900,1.404
3413000,1.027,4.947e+09,1.569,3088000,1.233,85240000,0.6355,76680000,0.6401,206600000,1.349,307600,0.8398
