ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
3747,1.967,9597,1.959,4747,1.944,2133,1.913
4031,1.801,9429,1.791,3540,1.532,1844,1.986
3250,1.835,8767,1.962,4270,1.542,2108,1.998
6351,1.91,9710,1.903,3226,1.93,1824,1.873
4073,1.459,8806,1.912,4134,1.356,2033,1.538
3482,1.826,10910,1.749,4268,1.928,1891,1.499
4460,1.763,9880,1.767,3665,1.969,1917,1.523
4016,1.947,10430,1.946,4304,1.966,2283,1.884
4052,1.978,10160,1.763,4184,1.856,2045,1.94
4583,1.705,10700,1.532,4338,1.816,2089,1.86
3213,1.94,9805,1.483,4250,1.816,1900,1.861
4193,1.976,8601,1.886,4407,1.649,2103,1.947
4881,1.952,8088,1.744,3482,1.663,2072,1.99
3198,1.832,8317,1.592,4414,1.875,2179,1.886
2891,1.851,9376,1.71,5082,1.723,2024,1.854
3797,1.736,8806,1.964,4366,1.845,1981,1.846
3724,1.723,9134,1.822,4335,1.998,1990,1.74
4021,1.962,9828,1.728,5253,1.959,2186,1.811
4195,1.988,8603,1.806,4104,1.947,2066,1.902
3584,1.943,8878,1.949,4367,1.828,1991,1.963
5020,1.965,9584,1.89,3684,1.938,2342,1.849
4782,1.951,9386,1.921,4089,1.982,2115,1.759
4691,1.963,9265,1.966,4240,1.966,2033,1.972
4185,1.65,8914,1.7,4272,1.936,2177,1.824
7639,1.728,8891,1.924,3808,1.868,1883,1.92
3719,1.947,9302,1.815,4070,1.97,2169,1.992
3183,1.726,9440,1.845,4805,1.877,2047,1.984
3846,1.791,8721,1.845,5324,1.713,2048,1.838
4103,1.878,9529,1.83,4105,1.79,2027,1.814
4030,1.995,10220,1.929,3903,1.958,2238,1.846
2742,1.612,9830,1.746,4804,1.966,2355,1.926
2979,1.987,9497,1.809,3572,1.566,2036,1.993
4162,1.98,8756,1.909,5137,1.744,2334,1.973
4441,1.755,9291,1.896,4195,1.818,2193,1.909
5134,1.625,9474,1.768,4742,1.833,1901,1.957
3542,1.471,9919,1.655,4552,1.961,1981,1.97
3757,1.656,9582,1.887,2803,1.699,1895,1.706
3492,1.795,9267,1.997,4613,1.539,2125,1.45
4425,1.636,9358,1.75,4250,1.911,2279,1.485
3798,1.673,9383,1.72,4375,1.87,2166,1.481
