ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
3511,1.734,8034,1.885,3159,1.587,356.9,1.96
2952,1.135,7163,1.786,3823,1.808,253.4,1.608
3323,1.607,6389,1.999,4737,1.83,317.2,1.999
3395,1.536,7626,1.775,5165,1.635,477.5,0.8134
3261,1.336,6740,1.895,4370,1.289,807.7,0.8189
3979,1.548,7155,1.768,4993,1.976,965.1,0.882
3687,1.774,6106,1.942,5580,1.477,292.8,1.779
4293,1.964,6238,1.723,5952,1.641,309.8,1.112
4000,1.609,5642,1.948,5367,1.832,210,0.6403
3418,1.648,5790,1.983,6144,1.491,279.3,0.9723
3277,1.889,6134,1.969,4480,1.343,401.7,0.6304
2792,1.957,6862,1.968,4848,1.523,566.1,1.249
5410,1.984,6437,1.939,5242,1.833,605.3,0.9225
3644,1.788,5413,1.827,5113,1.333,391.3,0.8529
3523,1.91,6509,1.548,4300,1.554,586.3,1.506
3948,1.997,4933,1.946,4936,1.771,580.1,1.222
4692,1.976,5609,1.993,4512,1.553,1553,0.595
3854,1.835,6279,1.87,6118,1.643,1033,0.6645
3763,1.712,7261,1.751,3675,1.46,1137,0.8439
3855,1.916,6888,1.861,4155,1.824,505.3,0.9564
3555,1.596,6083,1.963,4297,1.761,760.9,0.8245
3892,1.489,5358,1.974,3030,1.444,414.4,0.7541
3280,1.36,5409,1.885,5691,1.88,606.5,0.7898
3437,1.602,5237,1.556,5726,1.635,1104,0.8121
4573,1.612,6853,1.933,4461,1.332,541.7,0.721
3911,1.896,5823,1.75,4568,1.679,575.9,0.9827
3936,1.935,7877,1.893,4112,1.183,583,0.8043
4522,1.894,5182,1.695,3744,1.704,297.1,0.9679
3707,1.873,7509,1.677,4733,1.931,615.2,0.6977
3435,1.982,5387,1.905,5226,1.698,323.8,0.8699
3399,1.928,6780,1.91,5824,1.541,365.2,0.7762
3099,1.756,6557,1.785,4889,1.769,138.4,0.9908
3585,1.807,5126,1.519,5095,1.655,592,0.7973
4218,1.876,4806,1.89,4715,1.617,477.2,1.577
3581,1.917,5845,1.952,5068,1.879,278.2,0.7116
3557,1.776,5159,1.793,4727,1.708,489.5,0.8863
4476,1.555,5251,1.855,4409,1.656,748.8,0.5524
2731,1.787,6092,1.71,5020,1.821,303.3,0.6489
4353,1.866,6527,1.685,4161,1.777,484.6,0.8257
3854,1.933,6589,1.877,5013,1.513,352.3,1.243
4244,1.944,7345,1.807,4446,1.897,482.2,1.209
3656,1.776,5484,1.975,4908,1.715,517,0.7447
3258,1.687,6354,1.843,4730,1.635,439.7,1.895
4372,1.547,5822,1.732,4498,1.64,1184,1.269
3940,1.515,6969,1.877,5121,1.429,595.4,0.8444
2756,1.509,5271,1.735,5628,1.104,450.8,0.7216
4527,1.304,5868,1.997,5512,1.913,245.8,0.5805
