hERG_IC50,hERG_h,hERG_Bmax
6.602,0.7511,99
6.046,0.8052,99
8.126,0.7281,99
6.797,0.8434,99
5.465,0.7614,99
5.431,0.821,97.96
6.86,0.6952,99
4.912,0.711,99
6.732,0.8379,99
5.403,0.6728,99
7.184,0.8419,99
4.568,0.7896,97.04
6.037,0.781,99
6.599,0.7664,99
8.403,0.6421,99
9.777,0.7731,99
7.204,0.662,99
6.512,0.8723,99
6.344,0.5429,99
7.451,0.7197,99
8.731,0.8559,99
6.347,0.8292,99
7.644,0.6783,99
4.388,0.726,90.05
6.125,0.7524,99
9.782,0.6938,99
8.486,0.8383,99
6.331,0.6515,99
9.062,0.6974,99
5.958,0.7271,99
7.641,0.8766,99
7.696,0.7704,99
6.336,0.8269,99
7.617,0.5824,99
7.139,0.8138,99
6.794,0.7835,99
5.874,0.7962,99
7.678,0.86,99
8.536,0.6188,99
6.407,0.7299,99
7.979,0.6733,99
7.985,0.9097,99
6.435,0.6948,93.39
7.77,0.8205,99
6.791,0.7715,99
7.719,0.631,99
7.007,0.7714,99
7.577,0.849,99
6.499,0.8143,99
6.201,0.7767,99
6.344,0.7578,99
5.453,0.6232,99
4.374,0.6518,99
4.542,0.6729,99
6.311,0.6954,99
4.661,0.7138,99
4.47,0.7678,79.96
5.558,0.6157,99
5.764,0.6559,99
6.327,0.8919,92.85
7.436,0.9572,99
3.336,1.226,71.01
6.544,0.7407,99
7.612,0.8722,99
8.891,0.7049,99
6.514,0.7121,99
2.833,0.705,79.79
4.681,0.6411,99
6.259,0.6567,99
5.739,0.7268,99
6.665,0.56,99
7.369,0.6986,99
6.688,0.7489,99
4.882,0.7085,99
6.582,0.8786,99
3.716,0.8631,85.19
3.328,0.8078,72.64
5.932,0.6878,99
7.066,0.8842,99
7.699,0.8496,99
3.418,0.7707,82.37
2.906,0.8807,76.61
7.48,0.7786,99
3.117,0.9603,76.76
6.601,0.7926,99
5.78,0.6029,99
1.825,1.599,70.7
7.801,0.762,99
8.417,0.7407,99
6.201,0.787,99
6.367,0.847,99
4.929,0.6966,99
6.881,0.7411,99
7.148,0.8197,99
4.918,0.816,86.99
6.888,0.6509,99
5.891,0.6407,99
5.574,0.6341,99
6.106,0.6725,99
6.392,0.727,99
6.774,0.6249,99
6.403,0.8019,99
5.969,0.7383,99
3.404,0.8319,80.37
6.2,0.7319,99
5.442,0.7935,99
6.101,0.7291,99
6.748,0.8806,99
6.175,0.8106,99
6.759,0.7081,99
6.299,0.6929,99
6.448,0.7389,99
5.137,0.6667,99
6.507,0.6695,99
7.472,0.8302,99
6.384,0.5859,99
6.579,0.813,99
6.854,0.7783,99
4.055,0.9606,84.4
8.45,0.8608,99
5.409,0.7404,99
