hERG_IC50,hERG_h,hERG_Bmax
94.32,0.8529,89.25
184.3,0.5767,98.22
227.1,0.718,98.86
128.2,0.6137,98.5
199.6,0.6651,98.45
153.9,0.6317,98.44
179.9,0.6658,98.53
146.8,0.6061,98.36
112.5,0.5951,98.45
101.3,0.8901,87.69
239.7,0.6147,98.94
86,0.8897,88.02
122,0.7082,94.95
130.1,0.6249,98.5
134,0.6413,98.5
169.9,0.6087,98.52
118.8,0.6399,98.59
109.3,0.8712,86.61
161.1,0.6637,98.51
114.6,0.5557,98.39
150.8,0.6078,98.44
145.5,0.837,92.23
120.9,0.5544,96.75
233.4,0.7831,97.59
161,0.6638,98.51
162.6,0.5965,98.38
207,0.7053,98.65
231.2,0.7288,98.74
102.6,0.9517,87.56
151.6,0.6695,98.58
136.7,0.7372,94.93
105.4,0.5784,98.48
171.3,0.6031,98.29
96.92,0.969,86.2
185.7,0.7257,98.8
223,0.6998,98.69
228.3,0.7279,98.83
124.5,0.6041,98.37
125.2,0.609,98.42
180.4,0.6936,98.66
182.2,0.6209,98.39
130.3,0.599,98.53
233,0.7165,98.66
178,0.6046,98.23
126.4,0.5972,98.38
109.2,0.5607,98.35
164.5,0.6183,98.39
188.3,0.6711,98.47
354.3,0.9632,99
80,0.8111,86.26
142.1,0.8842,91.65
161.7,0.6596,98.52
188.8,0.6775,98.64
212.8,0.7048,98.66
109.2,0.556,98.38
166,0.6705,98.54
106.3,0.7992,91.26
214.9,0.7349,98.78
118.8,0.7845,92.93
174.3,0.636,98.48
261.7,0.7705,98.86
91.56,1.008,85.83
141.3,0.6311,98.46
149.3,0.599,98.37
135.5,0.568,98.34
163.6,0.664,98.53
156.8,0.6064,98.51
180.7,0.6096,98.4
186.9,0.7023,98.62
225.4,0.663,98.48
178.9,0.6985,98.67
177.6,0.6461,98.45
141.5,0.5577,98.28
243.1,0.7283,98.73
134.2,0.543,98.63
268.2,0.7179,98.83
165.9,0.6335,98.35
86.84,0.8551,87.6
135.9,0.88,91.45
182.4,0.6831,98.64
168.4,0.9699,91.77
116.1,0.6802,91.91
137.9,0.6192,98.39
104,1.2,84.02
108.3,0.6133,98.52
181.4,0.6288,98.31
183.7,0.6985,98.67
154.8,0.5898,98.45
134.8,0.5699,98.42
224.7,0.6579,98.64
182.8,0.7182,98.71
187.4,0.8024,95.56
136.8,0.6892,95.36
92.22,0.8222,89.71
140.6,0.616,98.52
188.9,0.7751,96.42
161.5,0.6511,98.5
143.1,0.5605,98.28
120.4,0.749,88.26
200.9,0.7036,98.62
251.8,0.82,99
126.9,0.7506,94.62
155.4,0.64,98.53
157.5,0.6194,98.34
224.8,0.7494,98.81
187.3,0.6984,98.73
103.4,0.9668,87.63
197.5,0.6844,98.57
74.04,0.9822,86.41
154.8,0.8446,92.81
157.7,0.5898,98.4
189.3,0.6465,98.49
157.8,0.8249,93.22
147.5,1.075,88.97
181.7,0.6136,98.36
114.4,0.7806,92.11
167.9,0.5752,98.32
143.7,0.8886,92.6
131.3,0.8118,90.13
164.3,0.6654,98.5
185.4,0.6548,98.41
198.3,0.5943,98.35
163.7,0.6307,98.47
192.4,0.6309,98.5
157.7,0.542,98.59
153.3,0.6378,98.57
233.1,0.7162,98.66
128.8,0.5625,98.34
135.1,0.8904,90.92
89.51,0.8545,89.06
94.17,0.5693,94.2
138.2,0.6094,98.34
170.9,0.7984,95.44
198.1,0.664,98.64
120.1,0.5851,98.44
164.2,0.5988,98.33
196.1,0.7166,98.7
108.8,0.5656,98.47
119.5,0.601,98.52
114.4,0.7134,93.08
175.1,0.6495,98.47
186.9,0.6257,98.53
219.1,0.681,98.54
207.5,0.6984,98.68
117.6,0.6013,98.48
91.56,0.8536,88.89
238.6,0.73,98.74
98.32,0.8245,88.66
121,0.6446,98.66
145.9,0.6325,98.49
100.2,0.9027,86.29
220.4,0.7026,98.63
184.4,0.6862,98.65
143.4,0.6176,98.4
151.6,0.6452,98.51
142.7,0.6437,98.54
116,0.7804,92.78
200,0.6447,98.5
225.5,0.7341,98.81
175.5,0.6417,98.37
208.9,0.7505,98.87
183.9,0.8023,95.52
173,0.7172,95.67
114.1,0.7995,92.12
116.6,0.8729,88.65
174,0.7175,98.74
185,0.6578,98.54
90.72,0.6934,92.62
150.3,0.5988,98.13
131,0.6023,98.54
179.3,0.6356,98.51
307.3,0.7678,98.8
169.3,0.684,98.56
180.7,0.6947,98.59
130.6,0.6635,98.64
187.3,0.6251,98.28
199.2,0.6263,98.57
72.57,1.019,85.17
160.3,0.6429,98.41
163.7,0.6096,98.46
223.1,0.6884,98.54
89.67,1.032,85.53
127,0.616,98.42
82.43,0.6665,92.41
198.8,0.6667,98.43
142.3,0.6529,98.51
100.2,0.8716,86.2
156.4,0.6367,98.51
139.9,0.6833,98.66
191.8,0.6679,98.67
213.1,0.7354,98.76
226,0.7235,98.78
208.4,0.631,98.25
213.8,0.6221,98.3
136.9,0.8975,90.32
212.8,0.6311,98.56
136.5,0.5863,98.39
139.6,0.5974,98.39
161,0.8149,93.59
135.2,0.9663,86.1
230.7,0.6888,98.75
137.9,0.6198,98.41
178,0.6452,98.44
92.76,0.6168,92.78
130.6,0.573,98.35
153.2,0.6239,98.52
265.1,0.7809,98.92
170.4,0.6581,98.65
109.8,1.008,88.39
177.9,0.8536,94.83
128.6,0.6213,98.47
133.7,0.6595,95.29
166.1,0.5983,98.37
158,0.6483,98.55
191.8,0.656,98.48
168,0.7794,94.56
203.2,0.6127,98.48
172.7,0.6568,98.43
262.3,0.784,98.9
227.4,0.6835,98.71
147.8,0.6913,97.18
180.7,0.6947,98.59
171.9,0.5936,98.39
207.8,0.7332,98.83
206,0.672,98.55
141.4,0.5831,98.35
168.5,0.6884,98.6
167.7,0.7463,95.94
136.2,0.6037,98.49
114.9,0.7531,93.11
143.5,0.611,98.41
139.5,0.8322,90.09
161.5,0.6593,98.51
108.5,0.5558,98.39
92.78,0.8221,89.28
263.8,0.7193,98.7
154.6,0.6718,98.62
132.5,0.5915,98.43
133.8,0.562,98.31
