hERG_IC50,hERG_h,hERG_Bmax
88.58,1.065,99
67.76,0.9431,99
68.37,1.135,99
87.96,1.109,99
68.12,0.9736,99
75.78,1.055,99
80.92,0.9639,99
74.25,1.175,99
72.93,1.217,99
80.49,1.096,99
83.92,1.064,99
69.07,1.121,96.04
75.25,1.091,99
72.79,1.118,99
74.38,0.9715,99
74.37,1.109,99
64.36,1.056,99
66.83,1.018,99
67.18,1.076,99
64.43,1.071,99
80.22,0.9876,99
65.87,0.9239,99
77.93,1.027,99
77.02,1.091,99
70.36,1.056,99
69.95,0.9315,99
78.14,1.051,99
75.7,0.9906,99
80.38,1.086,99
69.03,0.9828,99
71.31,0.9242,99
73.82,1.02,99
76.02,1.093,99
69.49,1.115,99
71.16,0.9728,99
79.24,1.186,99
76.82,1.01,99
73.67,1.127,99
68.74,0.9894,99
77.85,0.9989,99
71.01,1.122,99
83.67,1.078,99
81.47,0.9799,99
79.42,0.9547,99
72.39,1.139,99
81.81,1.007,99
82.98,1.11,99
63.41,1.052,99
79.55,1.16,99
72.75,1.025,99
82.05,1.069,99
78.15,1.049,99
80.33,1.015,99
64.7,1.279,99
83,1.11,99
65.87,0.9942,99
73.32,1.132,99
71.45,1.064,99
73.57,1.031,99
82.12,1.007,99
84.88,1.144,99
63.25,1.086,99
81.22,1.095,99
62.88,1.282,91.65
78.98,1.042,99
66.33,0.933,99
72.13,1.264,99
75.93,0.945,99
78.36,1.213,99
84.13,1.042,99
77.44,0.9855,99
75.24,0.9637,99
69.71,1.114,99
68.13,1.108,99
81.02,0.9797,99
84.29,1.065,99
69.44,1.099,99
86.07,1.007,99
74.72,1.192,99
72,1.18,99
78.87,1.039,99
66.97,0.992,99
79.24,1.08,99
70.22,0.9975,99
81.84,1.102,99
61.52,1.005,99
69.98,1.081,99
72.42,1.041,99
77.27,0.9849,99
75.92,1.083,99
82.32,1.047,99
71.36,1.016,99
73.37,1.163,99
74.58,1.098,99
66.48,1.002,99
78.81,1.078,99
72.57,1.134,99
62.33,1.225,92.5
77.86,1.149,99
69.98,1.086,99
83.72,1.154,99
75.17,1.002,99
77.59,0.9569,99
74.47,1.047,99
79.23,1.098,99
85.42,1.057,99
65.04,0.9899,99
80.51,0.9567,99
74.93,0.9126,99
80.97,1.031,99
67.59,1.083,99
67.06,1.013,99
82.34,1.085,99
81.96,1.002,99
74.66,0.999,99
76.89,1.096,99
83.25,1.136,99
78.37,1.141,99
66.75,1.016,99
74.29,1.012,99
72.13,1.073,99
76.72,0.9801,99
73.42,1.113,99
65.19,1.02,99
76.36,1.01,99
69.2,1.04,99
76.39,1.052,99
74.11,1.059,99
65.33,1.045,99
77.2,1.142,99
71.43,1.058,99
84.74,1.145,99
78.67,0.9986,99
86.81,1.16,99
64.74,1.116,99
74.96,1.136,99
76.48,1.091,99
82.02,1.091,99
76.34,0.9875,99
64.46,1.031,99
73.49,1.121,99
82.73,1.055,99
92.49,1.249,99
72.9,1.114,99
74.86,1.051,99
75.27,1.107,99
73.93,1.094,99
70.93,1.3,99
80.03,1.12,99
69.71,0.9459,99
67.74,1.004,99
78.84,1.2,99
84.35,1.204,99
57.01,1.165,90.69
