hERG_IC50,hERG_h,hERG_Bmax
613.7,0.9603,99
658.5,1.014,99
667.9,0.945,99
642.9,0.9896,99
671.8,0.9748,99
667.1,1.074,99
590,0.892,99
651.5,0.9495,99
728.7,1.043,99
788,0.9632,99
648.1,1.048,99
615.5,1.033,99
582,1.029,99
635.2,1.046,99
654.6,0.9794,99
615.8,0.9697,99
623,0.914,99
638.3,0.8859,99
634.2,0.9459,99
689.2,1.019,99
634.8,0.9917,99
666.2,0.9577,99
607.3,1.039,99
644.7,0.9701,99
642,0.9969,99
610.2,0.9764,99
706.2,0.8948,99
630.1,0.9206,99
660.2,0.964,99
733.1,0.9342,99
643.4,1.02,99
704.4,0.9375,99
618.2,0.9519,99
614.5,0.9595,99
670.3,0.8994,99
598.8,1.004,99
685.5,0.9215,99
633.6,0.9241,99
650.7,0.9904,99
662,0.9617,99
806.9,0.9312,99
735.8,0.964,99
647.7,0.9362,99
649.8,0.887,99
655.2,0.9514,99
650.3,0.9849,99
659.6,0.8792,99
618,0.8826,99
630.2,0.9868,99
711.7,0.8894,99
607.5,0.9846,99
664.8,1.005,99
681.7,1.015,99
653.7,1.131,99
608.9,1.028,99
637.4,0.9784,99
638.3,0.9333,99
668.6,0.9242,99
608.9,0.94,99
658.3,1.014,99
653.4,0.944,99
592.3,0.9062,99
725.1,1.05,99
669.3,0.9227,99
705.7,1.091,99
605.5,0.9066,99
692.1,0.9588,99
643.1,0.9384,99
601,0.9744,99
664.8,1.014,99
587,0.8788,99
718.4,1.011,99
589.8,0.9725,99
617.9,0.9189,99
670.9,0.9398,99
646,1.035,99
624.5,0.9295,99
636.3,0.9476,99
653.6,1.043,99
637.9,0.8632,99
658.6,0.9894,99
638.3,1.022,99
608.7,0.9771,99
639.4,0.9007,99
648.2,0.9624,99
715,0.969,99
648,0.9779,99
719,1.04,99
650.2,1.045,99
673.5,0.9853,99
607.4,0.9758,99
647.7,0.9225,99
626.6,1.03,99
619.5,0.9656,99
662.1,0.9805,99
679.4,0.972,99
672.7,1.016,99
621,0.9887,99
684.8,0.9444,99
648.1,0.9325,99
674.5,1.01,99
597.3,0.9092,99
710.7,0.9303,99
667.2,1.017,99
645.8,0.9201,99
591.4,1.032,99
647.8,1.002,99
646.4,0.9025,99
679.6,1.054,99
664.7,1.025,99
572.9,0.9597,99
641.6,1.009,99
662,1.003,99
629.5,1.084,99
604.2,0.8992,99
636.8,1.039,99
649,0.945,99
697.7,0.9167,99
628.7,1.006,99
707.1,0.968,99
652.2,1.057,99
652,1.04,99
623.7,0.9745,99
656.8,0.944,99
717.3,1.088,99
663.8,0.9911,99
726.6,1.055,99
664.9,0.8944,99
565.5,0.9936,99
707.7,0.9273,99
663.5,1.12,99
614.9,0.9284,99
644.3,0.9812,99
608,1.037,99
641.8,0.9296,99
654.3,1.027,99
624.9,0.9573,99
642.4,0.9654,99
688.7,0.9552,99
685.3,0.9517,99
710.3,0.9558,99
609.9,1.006,99
726.2,0.9626,99
645.6,0.9501,99
607.1,0.9322,99
671.7,0.9666,99
618.8,0.9386,99
679.3,0.9255,99
603.6,0.9312,99
610.8,0.9818,99
767.3,0.9105,99
712.4,1.026,99
586.1,0.9557,99
621.8,0.9363,99
