hERG_IC50,hERG_h,hERG_Bmax
9.635,1.173,76.72
15.54,0.8445,83.23
15.99,0.8987,86.54
11.05,1.141,82.19
13.73,0.9545,81.38
11.98,0.9605,79.54
11.06,1.051,85.35
10.83,1.081,82.11
13.15,0.9083,83.53
10.51,1.026,82.72
13.37,0.8275,82.25
12.21,0.9944,79.38
14.32,0.8077,79.14
13.87,1.07,83.41
12.07,0.9709,83.12
8.523,1.236,74.3
10.89,1.041,84.46
11.96,0.9107,83.83
10.26,1.157,79.93
10.68,1.161,78.18
9.887,1.319,79.74
11.09,1.052,85.09
16.84,0.9521,82.83
9.154,1.095,76.76
9.111,1.372,76.99
15,0.9156,83.17
10.81,1.089,80.12
9.814,1.031,82.8
11.18,1.221,78
11.23,0.9765,81.25
11.18,0.9383,78.93
11.68,1.054,79.15
12.29,1.031,80.12
9.419,1.143,76.8
8.621,1.212,81.58
13.1,0.8451,80.08
8.412,1.153,77.53
10.29,1.113,77.5
8.233,1.047,76.74
11.71,0.9648,77.33
11,0.9326,78.73
8.713,0.9705,76.73
21.84,0.6107,92.12
13.9,1.094,86.54
26.48,0.723,95.67
14.78,0.8698,87.09
13.26,0.9385,86.53
13.17,0.8595,83.14
8.923,1.236,79.23
10.57,1.177,76.64
23.38,0.7558,91.77
9.198,1.185,81.71
9.428,1.192,77.22
10.1,1.001,76.36
8.534,1.102,73.27
11.07,1.137,80.52
10.57,0.9181,77.36
8.255,1.091,71.92
13.69,1.156,84.28
13,1.013,83.56
17.61,0.7631,84.96
13.26,0.7945,79.51
9.616,1.198,81.81
8.239,1.352,72.98
10,1.104,78.38
24.64,0.7689,85.87
8.877,1.088,75.97
10.47,0.8795,75.24
13.82,1.077,83.48
9.838,1.153,80.09
26.79,0.675,92.59
13.55,1.023,83.16
29.03,0.6203,91.02
12.19,0.9801,80.37
14.2,0.9287,85.97
8.132,1.179,73.33
8.729,1.289,79.82
13.6,0.9006,83.28
9.3,1.588,73.66
8.339,1.485,73.77
9.419,1.106,81.19
9.652,1.172,79.81
26.37,0.7075,92.3
11.99,1.03,81.89
37.03,0.6558,96.96
15.01,0.8636,81.97
10.14,1.283,80.02
9.906,0.9457,79.42
10.8,1.184,83
12.6,1.109,80.62
7.177,1.012,71.14
11.03,0.8692,81.95
7.873,1.162,74.72
13.04,0.8238,81.74
10.16,1.315,83.63
9.474,0.9345,76.35
8.01,1.275,75.67
9.784,1.063,73.52
11.68,0.9811,78.25
15.39,0.7914,84.44
10.14,1.335,78.77
9.586,1.144,77.78
21.46,0.6826,91.74
10.02,0.9645,74.88
12.01,0.9349,78.63
13.33,1.015,83.48
10.58,1.143,78.16
9.711,1.141,78.37
10.39,1.05,80.15
17.93,0.7305,82.5
8.388,1.317,75.63
9.031,1.301,78.24
31.88,0.6271,94.18
18.07,0.7964,86.97
37.5,0.6344,99
14.12,0.7565,79.67
8.695,1.196,75.31
33.75,0.635,93.03
11.97,0.9093,79.25
20.69,0.7767,86.56
8.585,1.574,76.44
10.69,1.131,78.04
9.182,1.077,71.95
10.93,1.159,82.89
24.3,0.6607,92.41
11.79,1.256,82.25
9.31,1.096,79.53
9.926,0.9928,75.33
15.52,0.9375,79.68
12.19,0.9233,79.93
8.022,1.157,73.4
9.341,1.321,75.92
8.422,1.037,74.15
12.06,1.086,83.02
10.29,1.064,79.91
11.82,0.922,78.78
40.91,0.6752,99
10.17,1.303,81.2
12.73,0.8136,75.94
11.25,1.078,79.92
10.47,0.9623,79.33
16.33,0.8095,86.72
11.92,1.147,83.1
25.04,0.7347,88.77
11.87,0.9258,85.73
7.697,1.183,74.7
11.31,1.095,80.06
9.967,1.116,73.9
9.264,1.346,76.7
8.748,1.128,77.45
8.761,1.029,74.04
10.51,1.134,77.92
16.63,0.8521,84.85
10.02,1.169,79.07
14.83,0.9054,81.02
8.899,1.053,77.75
12.11,0.9692,79.73
11,1.105,76.07
9.711,1.113,76.08
10.42,1.377,77.34
8.487,1.376,73.88
23.55,0.7502,88.02
10.9,1.167,79.4
8.163,1.289,75.24
10.39,1.332,79.94
9.073,1.158,78.93
10.86,1.437,77.85
12.4,0.9699,81.6
9.615,1.139,77.8
8.074,1.14,74.31
14.42,0.7571,82.85
9.785,1.104,84.75
12.19,0.8585,83.24
11.43,1.187,83.27
10.4,1.367,82.21
9.021,1.166,74.73
22.07,0.7892,89.33
14,0.7443,81.64
16.5,0.9528,87.57
10.21,0.8723,78.79
9.706,1.355,82.39
12.57,0.814,79.07
12.98,0.9936,82.93
13.53,0.905,86.24
13.24,0.9954,81.96
11.55,0.9102,80.54
13.92,0.9328,83.04
16.14,0.7664,80.5
10.11,1.072,80.27
9.622,1.475,83.01
20.03,0.7103,86.16
8.843,1.363,77.6
