hERG_IC50,hERG_h,hERG_Bmax
16470,0.6868,98.38
18030,0.7296,99
11810,0.9469,87.56
15690,0.728,99
8476,1.242,75.03
14640,0.8874,99
16240,0.7879,99
11930,0.8339,90.88
14010,0.7897,99
19460,0.9355,99
15650,0.7874,99
10380,0.6857,90.73
14600,0.9965,93.79
7574,1.256,79.23
12150,0.9555,84.28
16380,0.7454,99
6477,1.336,70.7
17890,0.7689,99
15510,0.7979,99
7143,1.424,75.92
13770,0.7205,99
9000,1.212,81.69
19440,0.8015,99
10070,1.054,85.69
8830,0.9145,83.52
16950,0.749,99
11090,0.7853,85.78
15850,0.7227,99
8878,0.8722,86.1
18990,0.7035,99
10500,1.021,85.73
15260,0.9046,99
8986,0.9877,87.5
9733,0.9918,85.5
14270,0.6056,99
17920,0.8264,99
18790,0.6962,99
17290,0.6104,98.86
19330,0.7508,99
18630,0.8356,99
13470,0.7281,99
16780,0.7002,99
17780,0.7538,97.44
13090,0.9251,87.01
9715,0.8378,84.24
11060,0.8318,88.01
11460,0.9605,87.81
8947,0.9267,85.37
8122,0.9138,84.38
13730,0.8056,93.97
15160,0.7185,99
16120,0.8038,99
9020,1.068,85.3
7883,0.9049,84.7
15150,0.7105,99
18990,0.7201,99
8973,0.9171,87.69
10530,0.801,87
16850,0.8756,99
9596,0.7059,88.78
9875,0.7449,93.52
17230,0.7389,99
9249,0.998,84.76
7627,1.072,80.24
11880,0.7953,91.44
13900,0.7598,99
12670,0.828,93.62
15190,0.7842,91.38
14160,0.7976,92.73
15260,0.6441,96.75
9942,1.014,82.45
16220,0.7314,99
15550,0.7294,99
15790,0.6748,99
14930,0.7627,99
17570,0.7361,99
12170,0.8629,90.04
14700,0.7823,92.39
14200,0.7176,99
6751,0.9597,79.91
14500,0.7568,99
14670,0.7398,99
18120,0.7445,99
13240,0.8667,93.17
15160,0.9288,91
13110,0.7282,94.67
14150,0.7226,99
7590,1.226,77.41
12340,1.017,89.48
18620,0.7462,99
15210,0.7616,99
16380,0.7848,99
7845,0.8959,81.89
11020,0.8337,87.91
18280,0.7647,99
16290,0.8545,99
5316,1.371,71.62
13300,0.9645,87.44
7830,1.166,79.49
15970,0.6833,99
15390,0.7664,99
15000,0.6382,99
11110,0.9711,84.84
7924,0.9226,78.98
16050,0.7494,99
14130,0.8272,99
20350,0.7119,99
17730,0.6716,99
19870,0.8568,99
9204,0.8621,87.13
11870,0.7319,90.4
8855,1.111,85.4
10500,0.9811,86.89
15650,0.6601,99
13310,0.774,93.39
13610,0.7631,99
11550,0.9188,91.41
13400,0.8615,92.84
10410,1.063,82.33
