hERG_IC50,hERG_h,hERG_Bmax
602.7,1.969,83.02
669.7,1.503,83.93
850,1.367,91.64
948.4,1.441,85.78
707.8,1.55,84.57
568.4,1.222,89.59
985.2,1.279,92.04
820.5,1.012,91.3
761.7,1.097,94.3
693,0.9994,93.83
589.4,1.98,76.68
605.5,1.347,86.73
817.4,1.223,92.32
742.8,1.347,89.2
499.9,1.591,77.29
732.9,1.44,82.24
622.6,1.143,88.01
819.2,1.397,90.24
726.4,1.241,91.74
792.6,1.186,88.31
839.6,1.423,89.29
518.5,1.816,78.72
588.9,1.506,78.41
514.1,1.421,86.22
523.7,1.527,83.38
617.8,1.98,82.98
894.5,1.525,90.36
751.3,1.83,79.06
733.8,1.543,83.62
841,1.603,84.4
517.5,1.217,84.97
640.9,1.056,90.91
593.1,1.604,76.56
780.6,1.185,90.5
516.1,1.348,81.22
684,1.385,86.18
752.3,1.076,93.6
711.3,1.264,88.35
784.4,1.613,85.3
698.9,1.121,91.35
863.3,0.9758,97.19
735.2,1.682,82.1
894.5,1.154,93.43
791,1.239,90.66
805.2,1.728,88.09
640.1,1.192,87.44
734.7,1.64,84.97
633.1,1.601,76.82
864.4,1.275,90.8
568.4,1.358,81.54
849.9,1.7,87.25
646.3,1.407,84.27
658.2,1.203,91.26
552.7,1.132,87.52
829,1.57,85.89
515,1.44,82.53
637.6,1.101,93.31
711.3,1.216,92.19
938,1.36,88.35
555.1,1.263,86.06
664.9,1.98,76.71
585.3,1.17,83.97
695.6,1.353,91.72
696.2,1.411,78.34
697.1,1.09,91.54
903.2,1.19,93.04
880.6,1.53,90.84
692.6,1.384,85.97
609.4,1.137,84.28
772.1,1.376,87.29
480.1,1.608,81
728.9,1.436,86.07
810.7,1.189,92.12
876.8,1.128,90.83
540.4,1.678,80.79
743.7,1.484,83.55
677.4,1.697,84.98
674.5,1.467,86.38
654.8,0.9787,90.43
545,1.467,81.3
557.9,1.533,84.69
832.7,1.259,90.95
653.5,1.492,82.11
583.7,1.041,89.49
728.1,1.391,86.6
744.8,0.9179,96.34
780.5,1.287,93.09
493.4,1.347,79.77
886.2,1.284,87.04
980.6,0.9995,98.63
661.7,1.752,83.65
564.3,1.285,76.67
596.6,1.391,80.76
784.4,1.253,90.35
722.8,1.453,87.75
550,1.679,82.66
865,1.146,95.3
605.3,1.365,84.62
718.8,1.099,89.11
676.4,1.175,88.19
478.8,1.53,79.4
867,1.376,90.27
696,1.221,86.68
458.8,1.693,75.26
539,1.717,80.52
660.5,1.59,85.43
955.1,1.89,83.2
689.2,1.385,86.06
646.5,1.845,81.88
798.2,1.545,90.02
