hERG_IC50,hERG_h,hERG_Bmax
9073,0.9397,99
9441,0.8956,99
8566,0.8891,99
9174,0.9129,99
8930,0.9478,99
9405,0.9258,99
9342,0.9467,99
9391,0.9044,99
9521,0.8979,99
9629,0.9063,99
8621,0.97,98.06
8813,0.8714,99
9359,0.9783,98.23
9354,0.9051,99
9279,1.056,96.41
8491,0.861,99
8974,0.889,99
9675,0.9595,99
8156,1.176,93.66
8006,0.8527,99
8639,0.931,99
8987,0.979,99
9429,0.9498,99
8543,0.8985,99
10160,0.9293,99
9490,0.8899,99
8996,0.941,98.26
8274,0.9253,99
9259,0.9306,99
9105,0.9444,99
9262,0.9888,97.97
9360,0.9138,99
8972,0.9,99
8332,0.8948,99
9015,0.9421,99
10080,0.9273,99
9747,0.9088,99
8391,1.003,97.21
8483,0.8941,99
8492,0.9353,99
9600,0.9451,99
9088,0.9307,99
9458,0.975,99
8932,0.9065,99
9103,0.8693,99
8646,0.9901,96.99
8180,0.9121,99
10130,0.9356,99
9876,0.9656,99
10040,1.012,99
8671,0.8684,99
9005,0.9051,99
10000,0.8938,99
9381,0.9274,99
10020,0.9114,99
8529,1.065,96.2
9314,0.9132,99
9453,0.9433,99
8691,0.8612,99
9001,0.9038,99
9813,0.9858,97.56
9553,0.9024,99
8524,0.9161,99
8951,0.9459,99
9414,0.9634,99
9011,0.9129,99
9656,1.064,96.01
9461,0.9509,99
9332,0.8809,99
9477,0.9344,99
9132,1.046,96.44
9139,0.8893,99
9915,0.9407,99
8801,0.9041,99
8656,0.9058,99
8110,0.9153,99
8949,1.013,95.72
9099,0.9974,99
8335,0.8647,99
9910,0.9726,99
9847,0.9165,99
9348,0.9215,99
9025,0.9243,99
9355,0.9505,99
9229,0.992,97.4
8675,0.9541,99
8873,0.8417,99
9371,0.9635,99
9512,1.018,99
8495,0.9287,99
8808,0.9078,99
9135,0.9214,99
7643,0.8793,99
9235,0.8753,99
9737,1.01,99
8688,1.044,97.01
8954,0.907,99
9276,0.881,99
9510,0.9601,98.64
9097,0.9827,99
8708,0.9452,99
8463,1.002,98.45
9108,0.9234,99
9212,0.9964,99
9734,0.914,99
9276,1.032,99
9210,0.902,99
9259,0.9152,99
9807,0.9331,99
8990,1.028,96.35
8096,1.181,94.14
9558,0.908,99
9398,0.8966,99
8717,0.9409,99
9006,1,99
9620,1.02,97.62
9123,0.9614,99
9190,0.9033,99
8926,0.9196,99
8442,0.8786,99
8152,0.8736,99
9170,0.9053,99
8424,0.8493,99
8671,0.948,99
9354,0.9605,99
9418,0.977,99
8498,0.8365,99
8537,0.834,99
8701,1.048,96.46
9258,0.9918,97.49
8762,0.893,99
9234,1.022,96.74
8669,1.118,96.33
8929,0.87,99
8414,0.8473,99
9090,0.9246,99
