hERG_IC50,hERG_h,hERG_Bmax
1664,0.712,70.7
1458,0.8114,70.7
1238,0.8536,70.7
1427,1.001,70.7
1162,1.184,70.7
1623,0.6649,70.7
1349,0.9127,70.7
2934,0.505,70.7
1295,0.9033,70.7
1292,0.9385,70.7
1967,0.6048,70.7
1300,1.129,70.7
1625,0.8506,70.7
1283,0.9564,70.7
2051,0.6429,70.7
2776,0.5237,94.66
1518,0.9151,70.7
1461,0.815,70.7
1070,1.072,70.7
1286,0.9561,70.7
965.1,0.6871,70.7
1269,1.017,70.7
1180,1.102,70.7
1344,0.7864,70.7
1281,0.8825,70.7
1307,1.047,70.7
1211,0.9121,70.7
1614,0.6443,70.7
3309,0.5477,96.36
1656,0.809,70.7
1631,0.7357,70.7
762.1,0.7195,71.95
1079,0.8395,71.89
1262,0.9756,70.7
3080,0.5245,96.16
2199,0.5182,88.32
2351,0.5193,70.7
1610,0.6622,70.7
1277,0.9564,70.7
544.3,0.553,70.7
2431,0.549,70.7
1683,0.5921,85.11
2068,0.6187,70.7
2001,0.5429,90.64
1526,0.9094,70.7
1550,0.7869,70.7
1327,0.9618,70.7
1546,0.8875,70.7
1681,0.6409,83.57
1314,0.9388,70.7
844.5,0.5609,73.98
1435,0.8567,70.7
1095,1.108,70.7
1081,1.076,70.7
1324,0.7833,70.7
1671,0.6892,70.7
1237,0.7114,77.17
2445,0.5121,70.7
1906,0.5403,88.88
3546,0.5496,98.41
1999,0.5502,70.7
1509,0.9027,70.7
1550,0.8208,70.7
2571,0.505,70.7
1056,1.217,70.7
1783,0.6137,85.96
1276,0.7378,70.7
1210,1.087,70.7
3168,0.6093,95.86
1906,0.6164,70.7
1774,0.7322,70.7
1328,1.054,70.7
1677,0.8023,70.7
1270,0.9528,70.7
2040,0.6326,70.7
2216,0.6074,70.7
2445,0.5121,70.7
1217,0.9885,70.7
890,1.415,70.7
1221,0.7652,70.7
2771,0.505,70.7
1419,0.7808,70.7
1289,1.132,70.7
936.8,0.9804,70.7
985.3,0.9613,70.7
2496,0.5505,70.7
