hERG_IC50,hERG_h,hERG_Bmax
12.6,1.325,98.18
12.09,1.358,96.08
11.12,1.447,89.73
13.99,1.42,99
13.99,1.225,99
12.6,1.283,95.33
12.73,1.391,99
13.62,1.303,99
12.3,1.368,99
13.11,1.279,98.02
13.49,1.377,99
13.93,1.316,99
10.99,1.359,93.5
13.08,1.337,99
13.58,1.247,99
13.49,1.365,99
11.52,1.322,94.42
13.96,1.36,99
13.03,1.402,99
11.37,1.359,96.26
8.678,1.664,84.4
7.648,1.969,78.89
11.09,1.277,92.8
7.045,1.98,79.95
11.72,1.408,92.45
14.05,1.264,98.41
11.35,1.319,99
11.18,1.468,90.41
11.05,1.473,90.48
10.31,1.398,92.41
7.486,1.98,77.45
10.15,1.259,91.05
12.1,1.329,99
12.45,1.254,99
10.42,1.43,89.42
14.25,1.173,99
14.51,1.297,99
10.18,1.452,89.74
10.97,1.468,92.67
12.84,1.275,99
13.87,1.259,98.7
11.31,1.368,96.72
9.76,1.515,87.46
12.59,1.269,99
9.965,1.48,89.05
14,1.333,99
8.407,1.646,84.93
13.29,1.299,99
11.14,1.413,94.46
9.776,1.589,85.75
8.365,1.626,83.44
11.91,1.299,99
11.59,1.365,91.45
8.817,1.538,83.86
9.826,1.658,88.73
7.607,1.98,79.08
12.86,1.251,99
12.96,1.388,96.79
11.54,1.218,93.91
10.18,1.463,90.04
13.96,1.416,99
13.43,1.301,99
10.99,1.369,91.3
13.53,1.285,99
10.98,1.548,91.49
11.57,1.301,93.28
13.28,1.32,99
9.252,1.603,85.2
15.94,1.211,99
8.742,1.721,83.6
9.878,1.501,87.09
12.8,1.322,98.83
14.08,1.24,99
11.62,1.332,92.69
9.453,1.429,87.22
10.42,1.412,90.09
9.007,1.637,84.4
13.81,1.221,99
13.31,1.326,99
9.457,1.596,87.09
11.7,1.446,92.61
9.75,1.636,85.92
14.05,1.348,99
8.935,1.438,88.68
9.392,1.578,82.55
11.61,1.349,93.9
10.5,1.468,89.38
9.105,1.565,85.31
10.42,1.552,86.32
13.18,1.354,96.83
13.32,1.48,99
12.67,1.384,99
13.17,1.399,99
11.3,1.376,93.76
13.22,1.216,99
13.35,1.209,98.98
13.04,1.246,99
11.87,1.367,93.42
13.9,1.184,99
10.24,1.451,86.16
