hERG_IC50,hERG_h,hERG_Bmax
46.44,0.664,99
48.4,0.6644,99
48.22,0.7228,99
49.37,0.7483,99
44.99,0.708,99
47.65,0.7081,99
47.76,0.6712,99
55.21,0.7265,99
47.09,0.7265,99
50.07,0.7616,99
51.67,0.6332,99
50.42,0.7203,99
49.69,0.6748,99
46.83,0.7851,99
48.39,0.6916,99
48.12,0.6808,99
48.16,0.7051,99
51.37,0.7491,99
51.43,0.7099,99
45.91,0.6213,99
56.18,0.7486,99
45.75,0.6968,99
52.56,0.7524,99
51.2,0.7097,99
44.24,0.7471,99
46.42,0.709,99
46.11,0.7111,99
51.81,0.6695,99
48.81,0.6747,99
48.08,0.677,99
53.39,0.7386,99
47.69,0.6926,99
43.12,0.6481,99
45.67,0.7407,99
48.41,0.7125,99
47.67,0.7778,99
47.54,0.6728,99
46.26,0.6558,99
47.69,0.7333,99
47.02,0.683,99
44.56,0.7354,99
42.96,0.7289,99
45.11,0.6736,99
52.66,0.6902,99
51.4,0.7179,99
46.93,0.6633,99
52.44,0.7468,99
48.79,0.6799,99
48.94,0.6828,99
45.35,0.6804,99
51.91,0.7403,99
47.73,0.6965,99
50.58,0.79,99
49.08,0.7322,99
50.04,0.734,99
43.66,0.6597,99
44.31,0.6311,99
44.06,0.6501,99
43.42,0.6775,99
47.69,0.6977,99
48.75,0.7308,99
46.72,0.6776,99
41.99,0.6896,99
48.17,0.7871,99
48.6,0.6837,99
46.78,0.6679,99
50.94,0.7285,99
47.25,0.6618,99
45.34,0.7276,99
49.44,0.7868,99
45.21,0.7289,99
45.63,0.6954,99
50.49,0.6847,99
54.38,0.7538,99
45.99,0.6802,99
45.27,0.6544,99
48.69,0.7082,99
49.03,0.7601,99
49.09,0.7258,99
47.55,0.7682,99
44.04,0.6931,99
45.08,0.7165,99
46.74,0.6906,99
46.78,0.732,99
50.61,0.719,99
42.32,0.6728,99
49.08,0.6547,99
45.26,0.6913,99
54.52,0.6771,99
50.19,0.7607,99
47.49,0.6366,99
46.6,0.718,99
50.62,0.7416,99
44.44,0.6881,99
50.61,0.6779,99
38.84,0.6599,99
47.97,0.715,99
46.35,0.6605,99
45.35,0.7199,99
45.42,0.6552,99
48.44,0.6751,99
45.81,0.6568,99
47.22,0.6842,99
43.84,0.6565,99
46.46,0.6947,99
42.74,0.6399,99
45.01,0.7177,99
42.39,0.6673,99
51.01,0.7282,99
49.07,0.8149,99
45.04,0.6532,99
45.18,0.7618,99
46.97,0.7401,99
46.4,0.6806,99
46.55,0.6725,99
45.66,0.708,99
44.27,0.723,99
44.09,0.7007,99
47.38,0.7034,99
52.75,0.7531,99
44.3,0.6409,99
43.7,0.6411,99
46.04,0.7361,99
44.18,0.6396,99
45.06,0.6431,99
51.64,0.7154,99
49.64,0.6934,99
44.43,0.7152,99
47.31,0.6932,99
45.02,0.6486,99
42.73,0.6673,99
46.97,0.7178,99
50.91,0.6743,99
46.79,0.7625,99
43.44,0.6533,99
49.93,0.7314,99
50.43,0.7256,99
49.52,0.7159,99
45.02,0.6438,99
47.95,0.7689,99
49.32,0.7005,99
44.71,0.6383,99
47.6,0.6356,99
48.74,0.7837,99
51.12,0.7021,99
46.54,0.7565,99
50.85,0.7074,99
46.22,0.6894,99
47.61,0.6432,99
47.98,0.7002,99
24.45,0.7695,84.32
45.7,0.7623,99
45.6,0.6813,99
46.11,0.6969,99
51.86,0.627,99
42.25,0.6439,99
44.62,0.6732,99
54.28,0.725,99
54.48,0.6904,99
47.91,0.7005,99
46.84,0.7055,99
45.46,0.68,99
44.57,0.6576,99
43.37,0.7179,99
45.26,0.6975,99
45.39,0.7294,99
43.58,0.6579,99
47.39,0.7088,99
52.55,0.7378,99
45.58,0.7148,99
45.2,0.6883,99
46.64,0.7183,99
45.35,0.7433,99
48.28,0.6705,99
61.05,0.6774,99
47.78,0.7017,99
43.32,0.6615,99
40.78,0.6436,99
46.5,0.6469,99
43.07,0.6884,99
47.41,0.768,99
48.97,0.6785,99
45.13,0.6541,99
54.95,0.7262,99
44.7,0.7542,99
45.9,0.724,99
45.92,0.6916,99
43.94,0.6756,99
52.4,0.7193,99
41.84,0.6657,99
48.18,0.699,99
46.38,0.725,99
