hERG_IC50,hERG_h,hERG_Bmax
109.9,0.5983,99
52.89,0.5499,91.3
128.6,0.5588,98.91
103.4,0.5946,99
84.48,0.5517,91.01
159.9,0.5686,98.86
114.3,0.6519,99
47.76,0.8601,75.58
76,0.8265,78.63
66.48,0.7804,83.65
50.02,0.6426,82.85
68.93,0.5457,87.03
57.16,0.659,86.74
111.7,0.7664,99
100,0.544,88.18
127.7,0.5602,98.82
120.7,0.6922,99
33.84,1.051,70.7
87.11,0.5877,92.69
105.5,0.6149,99
86.13,0.6241,96.24
108,0.6091,98.8
50.63,0.7622,80.1
117.1,0.6492,99
87.61,0.5513,92.12
34.99,0.89,75.24
48.05,0.7498,91.35
54.67,0.7451,82.89
154.5,0.555,98.66
78.5,0.5689,96.43
138.5,0.6259,95.83
58.09,0.8097,77
32.92,0.6419,85.03
67.61,0.5995,86.34
32.5,0.762,73.16
81.1,0.5561,92.2
46.93,1.037,77.13
59.27,0.6644,81.88
45.47,0.7782,75.2
110.2,0.562,99
145.5,0.5557,98.21
45.48,0.9517,79.54
108.1,0.6548,99
66.96,0.6451,83.63
68.28,0.5464,81.37
89.87,0.5519,91.04
84.25,0.5765,91.95
136.7,0.6126,95.83
83.27,0.6754,94.91
56.98,0.6642,82.01
87.67,0.6054,86.66
30.42,1,70.7
125.8,0.5597,98.94
40.58,0.7393,74.78
35.28,0.7856,76.86
124.8,0.6812,99
73.82,0.6676,85.75
31.88,0.8765,70.7
100.7,0.6475,91.44
65.96,0.5473,88.81
110.3,0.5711,98.96
25.8,1.086,70.7
75.34,0.7562,90.51
116.4,0.6187,97.88
95.04,0.6147,99
110.6,0.5682,99
83.35,0.6243,90.34
120.2,0.5701,98.93
61.24,0.5896,89.63
65.9,0.6609,83.07
123.4,0.5949,99
26.78,0.8262,74.5
50.7,0.5474,87.79
59.29,0.695,88.85
44.78,1.028,74.23
74.92,0.5604,98.07
63.7,0.6655,90.84
115.7,0.5884,99
24.75,0.8776,72.03
72.88,0.6747,89.01
54.79,0.7763,85.47
50.28,0.6328,79.6
113.5,0.5609,95.3
58.5,0.55,90.99
35.85,0.8448,76.74
66.5,0.5487,82.46
123.3,0.5616,97.33
115.4,0.5728,99
43.69,0.5459,84.83
60.65,0.6736,84.22
22.99,0.6874,70.7
60.14,0.5707,78.48
82.39,0.5644,99
51.84,0.5417,81.63
125.4,0.559,96.82
60.52,0.7977,81.98
78.61,0.5723,90.31
