hERG_IC50,hERG_h,hERG_Bmax
4.719,1.151,84.68
5.721,0.9519,89.88
5.296,1.024,87.1
5.526,0.9732,86.95
6.752,0.9537,93.76
5.353,1.262,84.8
5.423,0.8962,89.69
4.961,1.058,84.8
6.922,0.7632,98.84
6.615,1.002,97.95
5.74,0.9598,91.58
6.008,1.065,89.99
5.386,1.109,87.87
5.528,0.9603,90.52
5.889,0.8327,92.72
4.671,1.234,82.66
4.952,1.073,86.47
5.506,0.985,89.45
7.097,0.7457,99
6.643,1.08,92.84
5.497,1.019,92.79
5.32,1.097,86.64
5.544,0.9239,90.53
5.031,1.174,83.63
6.157,0.7541,92.79
7.434,0.7897,99
5.679,1.166,88.92
4.488,1.064,82.12
4.778,1.105,85.05
5.265,1.332,85.74
6.309,0.8191,94.47
4.99,1.103,86.16
4.969,1.186,85.01
5.856,0.9918,91.25
5.331,0.9822,88.82
5.721,1.284,86.21
6.544,0.8504,97.77
5.331,0.9822,88.82
4.365,1.075,82.82
4.492,1.116,82.32
6.512,1.144,90.6
4.703,1.2,83.74
5.565,1.041,87.28
6.183,0.9808,90.74
5.09,1.089,88.61
6.816,0.7314,98.4
4.889,1.109,86.84
5.18,0.9835,91.24
5.694,1.081,90.7
5.979,0.8754,93.92
7.037,0.8885,97.52
5.901,0.9608,89.9
4.943,1.056,84.88
5.648,1.038,89.23
5.953,0.833,93.82
5.646,0.8778,89.27
4.919,1.056,84.65
5.34,1.315,83.94
6.151,0.989,93.06
4.804,1.174,85.35
6.051,0.8961,93.33
6.085,0.9502,93.81
5.66,1.212,88.68
7.414,0.9908,96.08
4.76,1.191,83.36
5.443,1.223,86.69
6.219,0.7322,95.85
6.434,1.087,90.58
4.721,1.305,83.23
6.475,0.8569,93.79
6.163,1.028,92.43
4.09,1.118,80.94
5.012,1.061,86.45
5.68,0.868,93.54
5.575,0.8687,92.53
5.189,1.254,84.9
6.96,0.7957,99
6.809,0.7928,97.73
6.122,1.118,89.54
6.389,1.215,91.29
6.894,0.9583,96.36
5.645,0.994,91.39
5.192,1.289,85.89
6.215,1.055,91.31
6.642,0.7081,99
6.868,0.7404,97.12
5.571,1.145,87.41
5.635,1.209,86.47
6.333,0.9927,94.69
4.62,1.006,87.17
6.111,1.23,88.62
4.891,1.245,84.03
5.917,1.026,91.57
6.491,0.8982,94.29
4.744,0.8639,88.33
5.723,0.8291,92.27
5.163,1.279,84.5
4.838,1.106,82.96
4.662,1.22,83.82
4.388,1.107,83.81
5.026,1.198,85.46
6.983,0.792,97.9
4.853,1.097,85.07
5.571,1.024,88.84
5.501,1.128,87.45
4.455,0.8863,84.19
6.233,1.003,93.7
4.46,1.206,81.01
5.411,1.135,89.08
7.411,0.7488,99
5.892,0.6157,99
4.928,1.061,82.13
5.019,1.05,87.94
4.523,1.296,83.1
6.129,0.8318,94.07
6.526,0.8431,97.43
4.95,0.9098,87.87
4.686,1.207,84.83
5.904,1.136,89.56
5.569,1.141,90.35
4.568,1.171,82.7
5.585,1.182,87.74
5.334,1.153,85.82
5.515,0.7615,93.99
4.971,0.8379,86.61
6.775,0.7551,99
