hERG_IC50,hERG_h,hERG_Bmax
4202,0.8463,99
4101,0.8816,99
4029,0.9165,99
4507,0.9395,99
5863,0.9986,99
4235,0.9442,99
4038,0.9827,99
4337,0.8857,99
4063,0.858,99
4424,0.9698,99
5061,0.9125,98.91
4848,0.9791,99
3922,0.8331,98.99
4017,0.929,99
5940,0.9044,98.92
9935,0.8065,99
4864,0.8839,98.9
4383,0.8775,98.97
3764,1.082,99
3368,0.9278,99
4624,0.9489,99
4266,0.9198,99
4699,1.004,99
4027,0.956,99
4787,0.9585,99
4700,0.8725,98.99
4392,0.8411,98.91
5326,0.8435,98.79
5901,0.9281,98.97
4792,1.007,99
4858,1.129,99
4558,1.023,99
4430,0.91,99
5525,0.9366,98.99
4806,1.068,99
4449,0.9676,99
4517,1.129,99
4265,0.8138,98.87
4276,0.9751,99
5261,0.9017,98.94
4044,0.9938,99
5351,0.985,99
5366,1.068,99
4693,0.985,99
3737,0.9779,99
4796,1.104,99
4250,0.9878,99
3783,0.8083,99
5083,0.8858,98.89
4663,1.005,99
3983,0.9582,99
4371,0.9375,99
4439,0.8944,98.99
4516,0.9012,98.98
5024,0.9999,99
4540,0.9788,99
4178,0.8982,99
5306,1.004,99
3948,1.099,99
3815,0.8864,99
4793,0.9174,99
4667,0.8803,99
5683,0.8965,98.9
4529,0.9043,99
4532,0.903,98.94
5116,1.103,99
4343,0.8957,99
4304,0.9787,99
4545,0.972,99
4774,1.047,99
4042,0.934,99
4034,0.8479,99
4398,0.867,98.96
4347,0.8957,99
4362,1.125,99
4869,1.008,99
4948,0.9364,98.96
4689,0.9404,99
4926,1.001,99
4675,0.9402,99
4698,0.9985,99
4358,0.954,99
4192,0.7792,98.94
4881,0.8539,98.85
4068,0.8576,99
5170,1.044,99
4520,0.9802,99
5265,0.9755,99
9559,0.8483,99
4415,0.9591,99
4725,1.033,99
4797,1.021,99
4717,0.8755,98.89
5604,0.9031,98.92
4248,1.014,99
3987,0.8668,99
4277,0.8791,98.98
4225,0.8221,98.91
5741,0.8955,98.91
4327,0.9462,99
3833,0.895,99
4455,1.038,99
4608,0.9104,99
4566,1.054,99
4480,0.9256,99
4491,0.9257,98.98
4399,0.8743,98.97
4149,0.8898,99
3901,0.863,99
3911,0.8813,99
4321,1.019,99
5020,1.034,99
4398,0.9773,99
4219,0.9,99
4086,0.9245,99
4788,1.044,99
8717,0.8686,99
3964,0.9574,99
5897,0.9441,99
5074,1.028,99
4156,0.9188,99
4578,1.117,99
5488,0.8373,98.76
4205,0.9876,99
4364,0.9426,99
4528,0.9727,99
4546,0.9664,99
4583,0.9864,99
4264,0.9795,99
4846,0.9398,99
4609,0.9174,99
4323,0.947,99
4017,0.9247,99
3754,0.8837,99
5036,0.9246,98.94
4534,0.9633,99
4718,1.076,99
4461,0.9169,99
3821,0.8188,99
4300,0.8017,98.85
4867,0.8577,98.91
4920,0.9392,99
4463,0.8385,98.91
4179,0.9327,99
4644,0.806,98.75
4434,0.8924,99
4372,1.02,99
4096,0.8357,99
4857,0.9843,99
8886,0.8935,99
4725,0.8525,98.91
4799,1.021,99
4855,0.8212,98.8
4299,0.9355,99
5578,1.006,99
4218,0.8625,99
4292,0.9797,99
4230,0.883,99
4402,0.8142,98.79
4222,0.9736,99
4176,0.8891,99
5252,0.9968,99
4689,1.04,99
4382,0.9499,99
4423,1.017,99
4493,0.9323,99
4684,1.095,99
4369,0.9204,99
4481,0.9019,99
4267,1.019,99
5207,0.9946,99
4757,0.9044,99
4439,0.9242,99
4294,0.9101,99
4190,0.8743,99
4749,0.8415,98.83
4220,0.907,99
3367,0.9389,99
