hERG_IC50,hERG_h,hERG_Bmax
18810,0.5915,99
18690,0.7407,95.31
22470,0.846,99
23130,0.5816,99
19170,0.7025,99
19760,0.6379,99
18350,0.8216,95.79
19070,0.576,99
17380,0.672,99
24110,0.7235,99
17860,0.7474,99
22480,0.8998,99
18520,0.8698,99
16920,0.8823,99
17920,0.5733,99
18410,0.7496,99
18620,0.5952,99
20890,0.7321,99
21230,0.7224,99
21700,0.5751,99
19440,0.7674,99
21950,0.829,99
22700,0.7088,99
27230,0.5849,99
22450,0.6728,99
16030,0.7012,99
14300,0.6817,99
18700,0.6903,92.37
22460,0.6351,99
19180,0.7551,99
14780,0.671,99
16590,0.8235,99
18430,0.7224,99
12510,0.5955,99
24040,0.5573,99
23990,0.7841,99
25100,0.6819,99
20340,0.6112,99
18460,0.7428,89.56
15310,0.7312,99
17960,0.5591,99
23960,0.9007,99
24270,0.8778,99
16940,0.6598,99
20440,0.5206,99
23650,0.7234,99
21800,0.93,99
16430,0.6442,99
19730,0.6675,99
21720,0.6192,99
15010,0.6852,99
19590,0.6168,99
22280,0.6436,99
23400,0.5805,99
19120,0.6041,99
19470,0.7115,99
22760,0.6745,99
17660,0.6811,99
16570,0.7178,99
20030,0.7314,99
16720,0.6911,99
18200,0.7075,99
16170,0.505,98.82
15450,0.6718,99
25240,0.7806,99
22240,0.6718,99
18780,0.6726,99
15770,0.7254,99
20210,0.6375,99
21930,0.6808,99
16500,0.6397,99
23080,0.729,99
23700,0.8773,99
10880,1.084,76.38
23200,0.5397,99
10990,0.9951,84.06
18090,0.6271,99
23140,0.6774,99
24840,0.6089,99
24680,0.7132,99
27960,0.6765,99
18990,0.6793,99
14240,0.6312,99
20680,0.8153,99
18700,0.8305,99
17740,0.644,99
21470,0.6181,99
17690,0.6666,99
21700,0.6161,99
23880,0.5179,99
20030,0.6103,99
18100,0.9096,94.08
18070,0.6278,97.98
20070,0.7069,99
14310,1.019,86.77
17770,0.7355,99
20730,0.6732,99
21240,0.5131,99
14490,0.6056,99
16460,0.5485,99
20520,0.6205,99
24890,0.7795,99
16810,0.948,95.47
17960,0.6284,99
19640,0.7204,99
13460,0.6222,99
20970,0.8163,99
18120,0.6553,99
25180,0.6004,99
16220,0.6745,99
12170,1.012,83.56
22270,0.696,99
20260,0.6915,99
16950,0.8218,99
17170,0.6272,99
22950,0.9257,99
19200,0.687,99
16520,0.587,99
16520,0.7883,99
14280,0.7771,99
22750,0.6076,99
16910,0.7069,99
21400,0.721,99
21460,0.6875,99
25050,0.5294,99
16960,0.5886,99
17600,0.505,98.56
22870,0.5409,99
24710,0.6596,99
16020,0.6946,99
16570,0.8393,99
19900,0.6843,99
26120,0.7224,99
17320,0.6611,99
19180,0.6197,99
22040,0.5761,99
21210,0.8172,99
21170,0.7046,99
18770,0.6882,99
23760,0.7051,99
20690,0.6037,99
19410,0.7396,99
26710,0.7616,99
31080,0.6561,99
15530,0.7125,99
17900,0.5407,99
12860,0.872,80.42
19500,0.672,99
19550,0.646,99
21900,0.7301,99
14550,0.8108,99
19880,0.5982,99
19530,0.7136,99
22140,0.8068,99
20340,0.575,99
20390,0.6385,99
21140,0.7699,99
19890,0.8644,99
18030,0.8478,99
16610,0.9256,99
34760,0.7496,99
18710,0.7021,99
18230,0.5453,99
14400,0.9458,88.04
16630,0.6176,99
21840,0.6035,99
17830,0.5682,99
19960,0.9639,93.12
20310,0.7631,99
11780,1.196,83.63
23150,0.6017,99
22160,0.8068,99
17970,0.7823,99
17190,0.6667,99
16180,0.5442,99
15490,0.629,92.11
17870,0.6559,99
25840,0.6233,99
21800,0.541,99
22740,0.7725,99
22330,0.8076,99
15240,0.6233,99
12350,0.8202,85.42
23570,0.6473,99
20420,0.6478,99
20790,0.7546,99
24310,0.6745,99
18830,0.8432,99
16310,0.5368,99
23240,0.5916,99
22230,0.8542,99
26430,0.8905,99
19900,0.7218,99
24200,0.6634,99
19570,0.7506,99
21150,0.9265,99
18380,0.7774,99
19130,0.5667,99
20660,0.9415,99
17160,0.5852,99
16090,0.7787,99
16410,0.9718,99
19810,0.8306,99
13390,1.055,86.66
18510,0.5987,99
23270,0.6674,99
17510,0.7004,99
22450,0.8274,99
24400,0.6722,99
22230,0.5833,99
18440,0.6911,99
22210,0.7343,99
27580,0.8059,98.94
21160,0.7467,99
22430,0.7715,99
20350,0.7503,99
18770,0.8086,99
19670,0.5089,99
22340,0.6133,99
18690,0.5478,99
19160,0.7708,99
23470,0.6463,99
19210,0.8907,99
16520,0.7883,99
20140,0.5091,99
11500,1.007,82.58
26870,0.8273,99
