hERG_IC50,hERG_h,hERG_Bmax
15320,1.093,90.09
13320,1.276,86.13
16570,1.155,90.6
15880,1.122,91.75
16980,0.9738,94.44
17190,1.143,90.79
16650,1.034,92.27
17480,1.126,92.35
14570,1.215,87.24
14170,1.104,86.79
13630,1.127,87.4
13980,1.141,88.89
16430,1.11,91.92
15460,1.286,90.71
14400,1.278,86.5
15620,1.127,91.1
15480,1.12,91.85
14810,1.061,88.53
17680,0.9491,93.71
15150,1.132,90.22
14640,1.196,90.06
15130,1.127,90.86
15460,1.143,89.76
14170,1.108,87.87
15900,1.23,90.19
15640,1.129,91.03
13600,1.053,89.98
15180,1.164,90.05
17080,1.087,90.04
14860,1.159,90.95
14630,1.148,90.47
14880,1.053,90.33
15520,1.12,88.98
14050,1.177,87.65
14520,1.054,87.94
17190,0.9814,92.58
14700,1.108,90.25
16270,1.109,90.83
14670,1.036,89.68
18860,1.015,94.14
18770,1.131,92.34
13670,1.273,86.96
17800,0.9008,96.64
16180,1.078,90.17
17890,1.059,92.64
13230,1.213,88.41
19260,0.9796,94.59
17210,1.239,90.23
15550,1.043,91.87
15320,1.25,89.32
13830,1.105,90.18
16450,0.996,91.73
15070,1.144,89.71
15340,0.9958,90.45
16480,1.305,87.91
15430,0.999,91.49
14740,1.204,89.25
16060,1.098,91.66
17080,0.9923,93.52
13400,1.126,87.9
18700,1.075,94.76
14360,1.186,87.86
16930,1.095,89.84
16240,1.218,91.12
16180,1.078,91.36
15290,1.012,92.3
19190,1.037,93.63
15660,1.258,87.55
15300,1.211,89.53
15040,1.098,92.36
16840,1.047,90.04
14710,1.267,86.69
15840,1.151,91.53
14240,1.317,87.49
15640,1.087,89.29
14690,1.35,86.32
15160,1.176,89.21
16660,1.248,91.08
14730,1.157,90.17
13780,1.37,87.18
15830,1.144,92.06
15550,1.06,92.66
13950,1.223,89.06
17090,1.267,90.25
15430,1.226,90.65
15810,1.079,89.46
16040,1.039,92.02
15370,1.19,89.53
16070,1.038,92.2
16080,1.07,89.63
13530,1.067,90.28
16710,0.9777,93.26
16600,1.047,92.51
18200,0.9914,93.18
15520,1.033,89.99
14830,1.249,90.11
14270,1.09,89.92
16200,1.001,93.97
13400,1.115,90.02
16220,1.055,89.86
15670,1.114,92.67
14790,1.29,87.19
15420,1.138,87.52
14540,1.28,88.24
12900,1.275,87.33
15230,1.215,91.32
16160,0.9674,92.95
15420,1.086,89.41
17180,1.171,92.41
16330,1.068,90.52
14340,1.054,88.76
18350,1.089,92.67
16660,1.017,90.96
14020,1.188,88.23
15720,1.04,91.72
14680,1.234,88.78
14120,1.007,89.67
15400,1.038,90.49
17000,1.025,93.94
20510,0.8666,98.4
14510,1.175,89.05
15990,1.179,91.12
13580,1.191,87.51
17630,1.149,90.85
15590,1.367,87.32
15250,1.134,91.39
14400,1.271,88.55
17200,1.057,90.5
15050,1.344,87.01
13770,1.177,85.76
16110,1.211,89.46
15000,1.18,89.93
14890,1.151,89.03
15120,1.157,90.33
15960,1.16,90.6
16890,1.092,94.16
15610,0.9768,91.99
15100,1.211,88.96
15390,1.022,92.99
16820,1.033,95.16
15740,1.166,89.39
16010,1.128,90.79
16640,1.119,89.96
13790,1.163,89.41
15340,1.024,89.87
14050,1.11,90.09
17530,1.251,89.6
14610,1.145,88.51
14190,1.292,88.15
15780,1.198,89.8
13870,1.294,86.68
15610,1.177,87.98
13950,1.231,88.32
20360,0.9669,92.52
15550,1.282,89.41
16570,1.136,90.4
13870,1.225,87.6
14450,1.206,88.35
16190,1.338,89.24
18020,1.02,91.56
15200,1.119,90.9
16260,1.019,92.75
14810,1.168,90.49
14650,1.402,88.15
14940,1.064,91.68
16040,0.9764,92.99
18370,1.02,92.52
17070,1.177,88.2
14740,1.243,89.51
15710,1.114,90.12
14330,1.101,90.72
15500,1.21,89.09
15230,1.028,90.95
15550,1.232,89.52
17290,0.9931,93.22
17220,1.068,89.45
16590,1.064,90.85
15420,1.098,91.45
17010,1.111,90.92
14030,1.234,87.45
17890,1.166,93.51
19110,1.08,92.56
15140,1.182,91.18
19390,0.9165,94.85
16300,0.9985,93.23
15440,1.049,92.05
14070,1.232,86.38
14500,1.158,89.81
13910,1.215,88.62
14360,1.134,89.86
16270,1.217,88.05
13700,1.297,87.43
18750,1.025,91.15
15350,1.215,90.93
15090,1.101,90.64
16720,1.17,91.87
15570,1.071,90.78
16780,1.221,91.56
15710,1.02,92.98
15910,1.078,91.6
16060,1.077,92.59
17250,0.9787,93.71
18170,0.941,93.96
15120,1.19,88.02
13470,1.185,89.77
16770,1.113,90.88
16540,1.122,92.39
16290,1.263,89.54
15590,1.184,90.14
