hERG_IC50,hERG_h,hERG_Bmax
1465000,0.5593,98.66
680100,0.8231,99
757800,0.6859,97.81
555200,0.5364,70.7
1582000,0.5479,96.26
2980000,0.505,70.7
3288000,0.505,70.7
763100,0.505,70.7
4952000,0.505,70.7
489300,1.047,99
1037000,0.505,70.7
821600,0.7394,99
627900,0.8688,99
883400,0.7557,99
1146000,0.6031,98.88
779100,0.505,70.7
49010000,0.505,70.7
538600,0.659,83.52
571100,0.505,70.7
513100,1.124,99
536100,0.9569,99
16260000,0.505,70.7
352900,0.7506,70.7
932100,0.7169,99
259900,1.066,70.7
688100,0.7816,99
554900,0.7816,89.26
663100,0.848,99
572500,1.096,99
3179000,0.505,70.7
9167000,0.505,70.7
615100,1.183,98.06
451400,1.204,98.92
769500,0.8366,99
1813000,0.505,70.7
13820000,0.505,70.7
3772000,0.505,70.7
994000,0.8147,99
777200,0.9675,99
535800,0.948,99
687100,0.7454,99
663000,0.505,70.7
693900,0.7078,99
780800,0.9061,99
1618000,0.5502,97.71
580600,0.9173,99
599500,0.8265,99
623100,0.9485,99
922200,0.505,70.7
436800,0.5205,70.7
4952000,0.505,70.7
684100,0.505,70.7
443500,0.9946,99
481400,1.058,99
453000,1,99
574600,1.099,99
673700,0.94,99
459700,0.5887,70.7
763800,0.7912,99
704600,0.8773,99
1621000,0.505,70.7
22020000,0.505,70.7
459500,1.254,97.1
1104000,0.686,99
2645000,0.505,70.7
762900,0.7583,99
408700,0.8409,79.15
382600,1.155,93.08
88530000,0.505,70.7
3838000,0.505,70.7
612000,0.8066,99
1507000,0.6142,98.92
1372000,0.5905,98.83
998500,0.6687,87.45
1004000,0.7583,99
549700,0.8471,99
395400,0.6295,70.7
612800,1.007,99
4575000,0.505,70.7
729800,0.505,70.7
1266000,0.7278,99
487600,0.5646,70.7
16840000,0.505,70.7
858700,0.8398,99
986300,0.841,99
734200,0.8289,99
592800,0.863,99
263300,0.9193,70.7
317900,0.942,70.7
542400,0.5349,70.7
617600,0.5144,70.7
1263000,0.505,70.7
361900,0.9796,87.32
2470000,0.505,70.7
3251000,0.505,70.7
447600,0.889,99
1025000,0.505,70.7
782500,0.505,70.7
601700,0.8495,94.52
686700,0.8351,99
518800,0.5707,70.7
566700,0.9332,99
1162000,0.505,70.7
11330000,0.505,70.7
344200,0.6205,70.7
602700,0.8114,99
554900,0.7816,89.26
4765000,0.505,70.7
513000,1.052,99
396700,0.5332,70.7
369400,0.7511,70.7
567500,0.9087,99
439400,0.9821,99
693600,0.7258,99
394300,0.6304,70.7
620600,0.9454,99
626300,0.7779,99
696900,0.947,99
3189000,0.505,70.7
1320000,0.5758,98.81
990000,0.6706,99
670300,0.505,70.7
1187000,0.505,70.7
450500,0.9745,99
715900,0.7123,97.81
3280000,0.505,70.7
433100,1.04,99
462400,0.5904,70.7
14850000,0.505,70.7
631800,0.855,99
781300,0.8189,99
2222000,0.505,70.7
3838000,0.505,70.7
867900,0.7864,99
1290000,0.505,70.7
2033000,0.505,70.7
1532000,0.6161,98.92
1807000,0.505,70.7
1408000,0.505,70.7
1094000,0.505,70.7
13080000,0.505,70.7
1612000,0.505,70.7
1459000,0.505,70.7
663000,0.505,70.7
1672000,0.505,70.7
4096000,0.505,70.7
858200,0.505,70.7
685400,0.7825,99
684200,0.7233,99
240500,1.086,70.7
580600,0.505,70.7
1061000,0.6427,99
702700,0.7178,97.02
848500,0.7744,99
645200,0.505,70.7
1560000,0.5225,98.52
1142000,0.6662,99
815200,0.8385,99
553900,1.088,99
564500,0.9471,99
644800,0.8115,99
948300,0.505,70.7
745400,0.8775,99
673000,0.505,70.7
3565000,0.505,70.7
629700,0.9312,99
671700,0.8772,99
1155000,0.505,70.7
762600,0.505,70.7
783100,0.811,99
521000,0.9996,99
2375000,0.5198,98.35
515600,1.21,97.88
912800,0.9198,99
2478000,0.505,70.7
382500,0.5784,70.7
3838000,0.505,70.7
2517000,0.5193,89
249600,0.9296,70.7
607200,0.505,70.7
1449000,0.5781,95.88
724800,0.505,70.7
645300,0.7493,96.14
1650000,0.5145,92.78
467300,0.9417,99
650700,1.158,98.42
473800,0.5434,70.7
566700,0.9332,99
391000,0.6955,70.7
1115000,0.505,70.7
450400,0.505,70.7
3188000,0.505,70.7
823400,0.8122,99
576000,0.505,70.7
10280000,0.505,70.7
282300,0.8229,70.7
256200,1.013,70.7
774500,0.9046,99
877100,0.7245,99
672500,0.7861,99
1054000,0.5227,81.22
475300,0.5314,70.7
755900,0.8279,99
842400,0.505,70.7
633300,0.505,70.7
1598000,0.5568,98.52
825500,0.7591,99
456400,0.9024,99
1076000,0.505,70.7
553400,0.505,70.7
484200,0.505,70.7
635600,0.9076,99
724400,0.505,70.7
1293000,0.505,70.7
1776000,0.5681,98.67
702100,0.8693,99
665200,0.7536,95.74
1022000,0.505,70.7
4765000,0.505,70.7
27960000,0.505,70.7
459100,1.304,95.22
519800,0.9377,99
918800,0.505,70.7
10030000,0.505,70.7
4228000,0.505,70.7
1433000,0.505,70.7
359700,0.7704,70.7
336200,0.9846,84.45
12580000,0.505,70.7
638900,0.9267,99
685200,0.7968,98.91
25540000,0.505,70.7
2564000,0.505,70.7
503300,1.334,93.02
552800,0.5501,70.7
663900,0.9888,99
699100,0.734,99
59370000,0.505,70.7
1965000,0.505,70.7
2319000,0.505,70.7
610400,0.505,70.7
250000,1.065,70.7
687300,0.7376,98.76
410800,1.248,97.55
1063000,0.505,70.7
4096000,0.505,70.7
3501000,0.505,70.7
256400,1.059,72.59
2381000,0.505,70.7
521200,0.5187,70.7
5973000,0.505,70.7
844800,0.6903,99
1441000,0.505,70.7
546500,0.8982,99
726600,0.7054,99
854500,0.505,70.7
834400,0.835,99
487200,1.068,99
781100,0.771,99
21270000,0.505,70.7
574300,0.9647,99
3056000,0.505,70.7
11220000,0.505,70.7
2794000,0.505,70.7
10340000,0.505,70.7
748400,0.9061,99
871300,0.8951,99
1092000,0.505,70.7
847700,0.505,70.7
3454000,0.505,70.7
1210000,0.505,70.7
374200,1.079,90.01
786700,0.505,70.7
575000,0.9727,99
599900,0.8259,99
1675000,0.5209,94.72
614100,0.9818,99
490200,1.074,99
1733000,0.505,70.7
509500,1.044,99
537900,0.7518,85.8
688400,0.7963,99
1117000,0.6818,99
7879000,0.505,70.7
556300,1.279,95.35
2663000,0.505,70.7
1300000,0.505,70.7
768400,0.7929,99
604600,0.8839,99
1608000,0.5431,98.57
611100,0.7805,92.97
640000,0.8486,99
1115000,0.505,70.7
1160000,0.5166,72.03
22380000,0.505,70.7
136600000,0.505,70.7
9016000,0.505,70.7
259800,1.125,70.7
726500,0.8442,99
790500,0.5104,70.7
603000,0.8419,99
1309000,0.505,70.7
5073000,0.505,70.7
3707000,0.505,70.7
502800,0.9772,99
1215000,0.505,70.7
320400,0.6843,70.7
597800,0.8686,99
741400,0.8439,99
1057000,0.505,70.7
4618000,0.505,70.7
6388000,0.505,70.7
781900,0.505,70.7
1830000,0.54,98.15
542000,1.202,97.93
525300,0.7799,86.43
2250000,0.505,70.7
710600,0.505,70.7
736200,0.8477,99
588900,0.8317,99
414200,1.083,99
1889000,0.505,70.7
1887000,0.505,70.7
708800,0.9059,99
447700,0.9375,99
1054000,0.505,70.7
898100,0.505,70.7
6169000,0.505,70.7
1012000,0.6599,99
454500,1.161,98.89
529100,0.9203,99
875100,0.6777,99
515700,0.9725,99
789100,0.8371,99
745100,0.7918,99
1097000,0.505,70.7
577600,0.9951,99
9460000,0.505,70.7
15740000,0.505,70.7
712000,0.8633,99
619300,0.7756,99
792400,0.7605,99
1479000,0.505,70.7
679500,0.774,99
454000,1.187,98.54
8604000,0.505,70.7
6384000,0.505,70.7
1689000,0.5324,97.41
3223000,0.505,70.7
682800,0.8641,99
4685000,0.505,70.7
5457000,0.505,70.7
713500,0.8753,99
1187000,0.6281,98.97
353500,0.9027,70.7
1985000,0.5202,98.45
1732000,0.505,70.7
7399000,0.505,70.7
611800,0.87,99
1285000,0.505,70.7
1727000,0.505,70.7
1037000,0.505,70.7
2025000,0.5318,93.93
2870000,0.505,70.7
972400,0.6442,99
7815000,0.505,70.7
831500,0.655,99
557100,1,99
1709000,0.5156,98.31
454700,1.186,98.55
1304000,0.505,70.7
1622000,0.505,70.7
952300,0.505,70.7
524100,1.162,98.71
638300,0.8228,99
491000,0.9877,99
811600,0.8287,99
1438000,0.505,70.7
659000,0.7924,99
1617000,0.5323,98.01
447600,0.6517,70.7
1425000,0.505,70.7
997000,0.7434,99
420100,0.564,70.7
538700,0.505,70.7
477500,1.154,99
1336000,0.505,70.7
521100,0.9794,99
622200,0.505,70.7
704400,0.8889,99
633600,0.856,99
803800,0.505,70.7
688300,0.505,70.7
614400,0.8124,99
370200,0.8598,73.22
649000,0.8409,99
8525000,0.505,70.7
481600,1.002,99
22260000,0.505,70.7
1071000,0.7016,99
519900,0.5693,70.7
2426000,0.505,70.7
593300,0.8211,99
922800,0.505,70.7
601000,1.043,99
384200,0.6773,70.7
576000,0.8482,99
679400,1.003,99
499900,1.289,95.4
746900,0.505,70.7
2674000,0.505,70.7
1294000,0.587,98.78
620100,0.9693,99
2112000,0.505,70.7
751300,0.505,70.7
437300,1.021,99
834500,0.8112,99
1374000,0.505,70.7
415400,1.345,93.83
1787000,0.505,70.7
807500,0.7691,99
2281000,0.505,70.7
718700,0.712,99
7824000,0.505,70.7
275300,0.7888,70.7
424400,0.5457,70.7
286500,0.9753,70.7
1250000,0.505,70.7
866200,0.7532,99
555400,0.5482,70.7
1076000,0.5292,78.99
1587000,0.505,70.7
359700,0.7985,70.7
502800,0.7995,86.1
1655000,0.505,70.7
1446000,0.505,70.7
4318000,0.505,70.7
3289000,0.505,70.7
602700,0.8114,99
831400,0.505,70.7
602700,1.049,99
594000,0.8749,99
682300,0.7673,99
1513000,0.5856,98.45
588900,0.8317,99
459600,0.5633,70.7
163900000,0.505,70.7
4325000,0.505,70.7
1311000,0.5909,98.85
5072000,0.505,70.7
667800,0.7801,98.54
1320000,0.6602,98.68
1245000,0.505,70.7
538700,1.109,99
446200,1.261,96.96
851400,0.505,70.7
1213000,0.5979,99
679400,0.7895,99
2383000,0.5273,95.06
1321000,0.5973,98.8
868000,0.778,99
4942000,0.505,70.7
726000,0.8934,99
1158000,0.6835,99
17940000,0.505,70.7
761400,0.505,70.7
695600,0.7305,97.07
800200,0.505,70.7
1159000,0.505,70.7
3594000,0.505,70.7
6346000,0.505,70.7
684400,0.942,99
391500,1.314,95.43
469000,0.505,70.7
713000,0.8694,99
459500,1.297,95.49
524300,1.146,99
728600,0.505,70.7
535200,1.298,94.64
678300,0.505,70.7
463800,0.5672,70.7
628300,0.9634,99
1252000,0.5628,98.88
3182000,0.505,70.7
1092000,0.6251,99
1271000,0.6337,99
1006000,0.505,70.7
11560000,0.505,70.7
1238000,0.6186,98.93
1228000,0.505,70.7
582000,0.8737,99
977000,0.505,70.7
14570000,0.505,70.7
274800,0.8263,70.7
577000,0.8641,99
578400,0.505,70.7
732600,0.505,70.7
622500,0.8338,99
707200,0.8058,99
355100,0.8268,70.7
537600,0.9197,91.34
672600,0.505,70.7
3485000,0.505,70.7
845900,0.505,70.7
1030000,0.505,70.7
409700,0.8472,78.3
20890000,0.505,70.7
1362000,0.6178,98.9
869200,0.505,70.7
7193000,0.505,70.7
996600,0.8245,99
560800,0.505,70.7
670900,0.9013,99
684400,0.942,99
85440000,0.505,70.7
725700,0.8873,99
666600,0.8104,99
474000,1.195,98.38
2290000,0.505,70.7
1189000,0.6567,99
597500,1.05,99
1067000,0.505,70.7
1178000,0.505,70.7
472500,0.505,70.7
1234000,0.6184,98.98
373400,1.235,98.04
1055000,0.505,70.7
953300,0.505,70.7
695600,0.7305,97.07
1360000,0.505,70.7
502200,1.117,99
8794000,0.505,70.7
723400,0.735,99
133400000,0.505,70.7
278100,1.211,75.36
3944000,0.505,70.7
632300,0.9025,99
381100,0.6041,70.7
1480000,0.5594,94.2
529000,0.9946,99
2503000,0.505,70.7
5348000,0.505,70.7
1468000,0.505,70.7
446800,0.6196,70.7
252300,1.115,70.7
1061000,0.6289,99
355400,0.7743,72.41
497900,0.8649,85.67
865100,0.505,70.7
272000,1.035,70.7
1252000,0.505,70.7
1007000,0.505,70.7
355300,0.8008,72.7
666100,0.7805,99
581200,0.5348,70.7
2021000,0.505,70.7
937500,0.8074,99
5396000,0.505,70.7
372500,1.099,91.57
16480000,0.505,70.7
621500,0.9705,99
639100,0.8201,99
614500,0.9789,99
23880000,0.505,70.7
1455000,0.505,70.7
1429000,0.541,98.64
690900,0.926,99
1056000,0.505,70.7
1521000,0.505,70.7
499500,0.9903,99
3223000,0.505,70.7
631800,0.855,99
603000,0.897,99
1935000,0.505,70.7
494000,0.505,70.7
982100,0.505,70.7
713800,0.8879,99
49920000,0.505,70.7
2247000,0.505,70.7
516900,0.505,70.7
676000,0.7901,99
817400,0.8677,99
3863000,0.505,70.7
269500,1.079,70.7
6751000,0.505,70.7
1271000,0.505,70.7
591100,0.8317,99
15280000,0.505,70.7
1749000,0.5257,97.7
586500,0.505,70.7
850500,0.7579,99
495000,1.192,98.34
763000,0.6808,99
843800,0.8116,99
719100,0.8487,99
250600,1.113,70.7
1739000,0.505,70.7
541700,1.056,99
3376000,0.505,70.7
1594000,0.5269,95.84
668300,0.8206,99
1411000,0.505,70.7
654200,0.8046,99
430900,0.5244,70.7
1007000,0.505,70.7
733300,0.7354,98.99
662500,0.505,70.7
1266000,0.7278,99
2064000,0.505,70.7
1697000,0.505,70.7
1727000,0.505,70.7
700500,0.6956,99
1038000,0.7003,99
574600,0.7122,86.44
689700,0.6906,92.61
646700,1.07,99
249600,1.088,70.7
2745000,0.505,70.7
701000,0.505,70.7
300600,0.7956,70.7
676600,0.7679,99
1092000,0.6499,99
664200,0.7964,99
1058000,0.6474,99
1579000,0.5248,98.51
601000,0.8299,99
574100,0.5121,70.7
1176000,0.6514,99
10340000,0.505,70.7
4374000,0.505,70.7
742200,0.505,70.7
438100,0.6649,70.7
579900,0.8912,99
1105000,0.505,70.7
798100,0.7759,99
589800,0.9796,99
1015000,0.6609,99
644700,1.117,99
481800,0.6021,70.7
298800,0.9742,70.7
3028000,0.505,70.7
792400,0.7605,99
716200,0.7312,99
441800,0.8826,80.38
1180000,0.6398,99
1303000,0.505,70.7
227400000,0.505,70.7
757800,0.6859,97.81
703100,0.7978,99
2926000,0.505,70.7
594000,0.8749,99
957300,0.505,70.7
386200,0.6338,70.7
5974000,0.505,70.7
261900,1.061,70.7
302100,0.7728,70.7
12660000,0.505,70.7
762700,0.7897,99
459300,1.029,99
1006000,0.7909,99
601200,0.9277,99
968700,0.505,70.7
664500,0.7974,99
450200,0.5296,70.7
1046000,0.505,70.7
1197000,0.505,70.7
726600,0.7048,99
374000,0.7872,70.7
20990000,0.505,70.7
1223000,0.505,70.7
9469000,0.505,70.7
1252000,0.5628,98.88
6101000,0.505,70.7
834800,0.7095,99
658800,0.505,70.7
2801000,0.505,70.7
693200,0.8904,99
606300,1.03,99
803400,0.8526,99
873700,0.79,99
1436000,0.505,70.7
567600,0.8377,99
446200,0.7031,77.54
4255000,0.505,70.7
1178000,0.505,70.7
866300,0.7739,99
589500,0.9936,99
500300,0.7053,82.14
503100,0.9922,99
425800,0.9911,99
493800,1.076,99
2225000,0.505,70.7
1783000,0.505,70.7
773700,0.7643,99
849300,0.8323,99
3451000,0.505,70.7
906500,0.736,99
616900,1.027,99
713900,0.6962,99
1436000,0.5417,98.64
905000,0.7573,99
459700,0.7953,80.86
699900,0.8663,99
969600,0.505,70.7
2086000,0.505,70.7
545600,0.9026,99
428800,0.5344,70.7
735700,0.8531,99
253200,1.161,70.7
676900,0.7784,99
1256000,0.7147,99
737500,0.5194,71.88
1759000,0.6032,98.79
334900,0.9789,83.88
1192000,0.6504,99
744600,1.043,99
1105000,0.6252,99
1768000,0.5276,98.08
1146000,0.505,70.7
9738000,0.505,70.7
452500,0.7277,78.9
812300,0.505,70.7
432300,1.187,98.64
492000,1.005,99
933000,0.7242,99
769500,0.505,70.7
1065000,0.505,70.7
249600,0.9296,70.7
2546000,0.505,70.7
1305000,0.5699,98.91
1372000,0.505,70.7
14010000,0.505,70.7
6140000,0.505,70.7
454300,0.8768,99
337300,1.201,86.38
663400,0.8998,99
297800,1.033,80.33
21530000,0.505,70.7
1909000,0.505,70.7
985600,0.6618,99
466600,0.8121,83.73
907500,0.7364,99
711700,0.7626,99
486100,0.8426,82.6
685400,0.9022,99
1348000,0.505,70.7
1409000,0.6458,98.99
399800,0.9009,78.04
948000,0.8375,99
576800,0.9532,99
871300,0.9309,99
1448000,0.5411,98.64
847800,0.8288,99
623100,1.005,99
306300,0.8032,70.7
890500,0.7651,99
601800,0.797,99
873600,0.7769,99
769400,0.505,70.7
233000,1.059,70.7
381900,1.078,91.91
656200,0.8096,98.23
906300,0.7427,99
1355000,0.505,70.7
2024000,0.505,70.7
486700,1.302,94.93
295300,0.6957,70.7
566300,0.505,70.7
571000,1.069,99
618900,0.7843,99
2389000,0.505,70.7
2225000,0.505,70.7
1604000,0.505,70.7
693200,0.8832,99
886500,0.505,70.7
1234000,0.505,70.7
141500000,0.505,70.7
723900,1.017,99
7653000,0.505,70.7
781300,0.8189,99
588000,0.8953,99
714300,0.7279,99
273000,1.027,70.7
501700,0.981,99
693200,0.8832,99
526300,1.016,99
1075000,0.6583,99
880200,0.505,70.7
9860000,0.505,70.7
1105000,0.7112,99
913400,0.505,70.7
923200,0.505,70.7
22710000,0.505,70.7
777500,0.505,70.7
648000,0.8399,99
611600,0.8122,99
681200,0.8178,99
3437000,0.505,70.7
8891000,0.505,70.7
779600,0.505,70.7
643200,0.7857,99
754400,0.8433,99
482600,1.294,95.38
2822000,0.505,70.7
353700,0.7593,70.7
574100,1.042,99
684600,0.9437,99
655000,0.8077,99
320000,1.094,71.01
627700,0.7893,99
1098000,0.5224,84.85
13330000,0.505,70.7
511500,0.505,70.7
1260000,0.505,70.7
3290000,0.505,70.7
425700,1.236,97.75
10080000,0.505,70.7
552100,1.062,99
1562000,0.505,70.7
906300,0.505,70.7
677900,0.9825,99
