hERG_IC50,hERG_h,hERG_Bmax
46210,0.6325,70.7
47140,0.6495,70.7
41290,0.8858,70.7
42240,0.9447,70.7
64890,0.5662,70.7
41520,1.079,75.07
77450,0.505,70.7
36120,0.9137,70.7
49040,1.082,80.3
39240,1.411,70.7
39870,0.9996,70.7
36390,1.457,72.79
42830,0.9405,70.7
42240,0.7905,70.7
35820,1.351,70.7
41860,1.085,70.7
40050,0.9104,70.7
72220,1.109,93.93
53200,0.9349,70.7
45840,1.14,81.31
52780,0.6335,70.7
36150,1.462,70.7
31680,1.443,70.7
32510,1.063,70.7
33940,1.026,70.7
36410,1.018,78.31
48270,0.9407,77.56
61360,1.11,92.11
48550,0.6574,70.7
34660,1.409,70.7
36430,1.429,70.7
42880,0.9128,70.7
42980,0.7508,70.7
73220,0.8788,99
37610,0.8801,70.7
51220,0.6739,70.7
40740,0.8727,70.7
43910,0.9015,70.7
111100,0.505,70.7
116300,0.505,70.7
47320,0.6287,70.7
33430,1.404,70.7
38660,0.8094,70.7
79040,0.505,70.7
35780,1.431,70.7
46970,0.8057,70.7
67590,0.505,70.7
45070,0.8666,70.7
52990,0.6561,70.7
30680,1.217,70.7
56780,0.6551,70.7
36260,1.071,72.43
137700,0.505,70.7
38150,0.8334,70.7
47190,0.9765,85.57
42880,0.7536,70.7
35330,1.133,75.91
32170,1.29,70.7
36480,1.47,70.7
40740,0.7631,70.7
58530,0.9417,92.37
45310,0.7732,70.7
116500,0.505,70.7
38710,1.159,70.7
68440,0.9188,99
33050,1.274,70.7
94160,0.505,70.7
42410,0.842,70.7
49010,0.717,70.7
38410,0.9667,70.7
62410,0.505,70.7
39310,1.516,70.7
57670,0.6767,70.7
70750,0.5209,70.7
50960,0.7355,70.7
42910,0.8674,70.7
32030,1.336,70.7
147500,0.505,70.7
46950,0.7286,70.7
36640,1.284,70.7
37400,0.8547,70.7
43360,1.164,80.69
43060,1.046,70.7
142900,0.505,70.7
36220,1.547,70.7
35110,1.119,70.7
46840,1.211,80.22
43020,0.8328,70.7
48280,0.6584,70.7
99410,0.9174,96.24
36610,1.07,70.7
34710,1.51,70.7
92530,0.505,70.7
38870,0.9909,80.66
86220,0.505,70.7
46410,1.075,82.94
31900,1.366,70.7
44350,0.8869,70.7
33970,1.175,70.7
32570,1.155,70.7
35430,1.102,70.7
37690,1.383,70.7
94700,0.505,70.7
36610,0.8219,70.7
36320,0.8487,70.7
39260,0.7324,70.7
67620,0.5117,70.7
44810,0.7447,70.7
33590,1.418,70.7
66930,0.5245,70.7
39190,1.226,70.7
65840,0.505,70.7
65590,0.5492,70.7
78310,1.24,99
46750,0.7826,70.7
34970,1.369,70.7
85850,0.505,70.7
86160,0.505,70.7
32710,1.39,70.7
41940,1.25,70.7
75480,0.505,70.7
38070,0.9685,70.7
43630,1.151,77.49
34500,1.16,70.7
31810,1.284,70.7
33900,1.242,70.7
66200,0.5279,70.7
34960,1.365,73.82
33970,1.373,72.41
36240,0.8719,70.7
47130,0.6973,70.7
78940,0.9084,99
40480,1.282,70.7
41040,0.7849,70.7
91410,0.505,70.7
39060,1.312,75.06
33370,1.252,70.7
110900,0.505,70.7
39020,0.8676,70.7
70400,0.505,70.7
90270,0.505,70.7
37460,1.406,70.7
31310,1.293,70.7
47870,1.378,73.95
40970,0.7463,70.7
45230,1.411,77.96
111200,0.505,70.7
35230,0.9702,70.7
32950,1.261,70.7
73130,0.5572,70.7
35620,1.04,70.7
40950,1.049,70.7
36660,1.044,70.7
43850,1.072,80.93
31690,1.361,70.7
36120,1.103,70.7
34280,1.564,70.7
82090,0.505,70.7
80010,0.8418,99
33870,1.32,70.7
38630,1.017,70.7
39610,0.709,70.7
84230,0.505,70.7
34900,1.018,70.7
64460,0.5288,70.7
37760,1.435,70.7
44910,1.113,77.45
33790,1.565,70.7
73170,0.866,98.87
72390,0.9128,99
42770,0.9894,70.7
96430,0.505,70.7
41640,0.8933,70.7
39740,0.802,70.7
33050,1.447,70.7
35010,1.368,70.7
43100,1.028,70.7
100100,0.505,70.7
29450,1.052,70.7
65160,0.566,70.7
76660,0.505,70.7
40160,1.081,70.7
44660,0.7692,70.7
62280,0.5474,70.7
35010,0.928,70.7
32440,1.284,70.7
39730,0.9284,70.7
50810,1.153,81.01
61000,0.5333,70.7
95210,0.7628,99
37490,1.497,70.7
37640,1.104,70.7
36270,1.125,70.7
37440,0.9909,70.7
40620,0.8076,70.7
33670,0.8118,70.7
61790,0.532,70.7
57720,0.6224,70.7
32250,1.359,70.7
35620,1.019,70.7
45510,0.7951,70.7
51050,0.9334,88.61
33170,1.194,70.7
37830,0.8788,70.7
32500,1.289,70.7
53720,0.6293,70.7
33340,1.105,70.7
34210,1.051,70.7
76480,0.505,70.7
61210,0.5662,70.7
42430,0.7773,70.7
40940,1.216,70.7
45250,0.7494,70.7
89030,0.505,70.7
42580,1.125,70.7
42220,1.005,70.7
124800,0.505,70.7
34140,1.426,70.7
83960,0.505,70.7
32980,1.163,70.7
36200,1.59,70.7
40050,0.8591,70.7
81450,0.505,70.7
33410,1.308,72.67
35630,1.135,70.7
35510,1.115,70.7
36350,1.105,70.7
42240,0.8005,70.7
34390,1.375,70.7
39090,1.294,70.7
31550,0.8787,70.7
37610,1.319,70.7
38640,1.48,70.7
63060,1.311,88.62
39300,1.131,70.7
48230,0.5807,70.7
76990,0.505,70.7
35430,1.445,70.7
33360,1.171,70.7
38530,1.158,70.7
42200,0.9227,79.3
38860,1.307,70.7
39420,1.302,70.7
41340,0.8565,70.7
48750,0.6273,70.7
43820,1.034,70.7
42320,1.045,70.7
40660,1.294,70.7
34980,1.505,70.9
37350,1.241,70.7
34410,1.368,70.7
37700,1.175,70.7
37860,1.208,70.7
83040,0.505,70.7
56920,0.638,70.7
39180,0.8298,75.09
37770,0.9846,70.7
38300,1.123,70.7
39860,0.8628,70.7
80820,0.8353,99
74290,1.065,99
80270,0.903,99
41670,0.9265,70.7
38100,1.323,71.16
35820,1.228,70.7
41030,1.146,70.7
42050,0.8124,70.7
31430,1.232,70.7
42550,1.181,73.72
100100,0.505,70.7
42920,0.7025,70.7
44970,0.7775,70.7
41010,0.992,70.7
34390,1.39,70.7
45980,0.9632,70.7
38040,1.228,76.55
33290,1.002,70.7
41040,0.8943,70.7
39560,0.795,70.7
34990,1.15,70.7
45180,0.8584,70.7
30960,1.018,70.7
79000,0.9486,99
38110,1.351,71.43
63220,0.6115,70.7
90040,0.505,70.7
33690,1.443,70.7
44370,0.9997,70.7
56400,0.6008,70.7
42450,1.231,76.54
73230,0.505,70.7
83520,0.505,70.7
35280,0.8652,70.7
37790,0.9145,70.7
38570,0.969,70.7
40090,1.045,70.7
36070,1.054,70.7
41790,0.8358,70.7
77010,0.505,70.7
39390,1.256,70.7
40540,0.909,70.7
81760,0.505,70.7
40300,1.041,70.7
32780,1.499,70.7
88410,0.505,70.7
33380,1.282,70.7
35070,1.403,70.7
44960,0.6976,70.7
34120,1.037,70.7
31950,1.271,70.7
40120,0.7679,70.7
35920,1.322,70.7
32530,1.136,71.33
35370,0.8998,70.7
35870,1.231,70.7
33790,1.192,70.7
47290,0.838,70.7
39250,1.131,70.7
37140,0.9411,70.7
58540,0.8604,93.08
70290,0.505,70.7
74490,0.5261,70.7
40270,0.8933,70.7
36890,1.191,70.7
73720,0.505,70.7
40230,1.115,74.15
40210,1.242,73.62
37910,1.117,70.7
114200,0.505,70.7
