hERG_IC50,hERG_h,hERG_Bmax
902.6,0.8926,99
897.6,0.9067,99
828.6,0.8721,99
922.4,0.9019,99
879.1,0.877,99
769.9,0.7848,99
910.4,0.8774,99
754.2,1.074,93.28
895.6,0.9227,99
959.3,0.9496,98.26
939.2,0.9106,99
921.8,0.9214,99
840.3,0.8443,99
983.5,0.9418,99
930.4,0.9395,99
840.8,0.8801,99
839.3,0.8915,99
852.5,0.9987,97.33
854.3,0.9885,95.65
903.5,0.9161,99
910.3,0.9286,99
853.6,0.8731,99
874.4,0.938,99
787.6,0.9143,97.24
883.7,0.9219,99
880.9,0.8964,99
975.9,0.9305,99
802.6,0.8571,99
830.8,1.015,95.76
884.2,0.9423,99
801.8,1,95.13
873.2,0.8828,99
874.7,0.8944,99
890.7,0.8631,99
948,0.9159,99
798,0.9829,95.97
857.8,0.8727,99
850.7,0.956,96.96
922.6,0.9802,97.78
904,0.9185,99
861.3,0.8816,99
937.7,0.9461,99
964.4,0.938,99
801.5,1.041,94.87
877.4,0.8773,99
928.3,0.8871,99
862.2,1.036,94.93
879.6,0.8706,99
850.3,0.8582,99
863.9,0.8923,99
881.1,0.9488,97.79
854.9,0.9561,96.48
849,0.863,99
846.8,0.869,99
899.2,0.8958,99
893.5,0.9229,99
907.3,0.9175,99
874.3,0.875,99
860.3,0.902,99
915.4,0.9799,96.49
864.8,0.9463,97.78
914.4,0.941,99
928.7,0.9089,99
921.1,0.9182,99
944.9,0.9078,99
860.6,0.9135,99
887.1,0.8803,99
876.7,0.9913,97.75
869.4,0.86,99
869.6,0.913,97.64
910.4,0.8922,99
1054,0.988,99
941.9,0.9364,99
838.1,0.8623,99
947.3,0.9279,99
872.7,0.8739,99
905,0.9129,99
840.4,1.071,94.32
800.4,0.8566,99
919.2,0.9019,99
878.9,0.869,99
833.2,0.9276,96.58
880.3,0.9615,97.53
834.3,0.9979,95.89
896,0.8769,99
853.3,1.044,96.49
977.2,0.9427,99
896.9,0.8815,99
900.5,0.94,99
915.9,0.9143,99
898.7,0.8801,99
801.6,0.8821,99
878,0.8892,99
851.6,0.8898,99
889.6,0.8858,99
913.1,0.9294,99
905.4,0.9253,99
923.8,0.9081,99
795.7,0.9798,95.53
937.4,0.9197,99
976.1,0.8951,99
1012,0.9833,99
816.5,0.851,99
915.2,0.9241,99
810.5,0.8667,99
963.2,0.9296,99
833.2,0.8445,99
863.1,0.8944,98.52
868.5,1.025,96.09
880.7,0.9527,99
920.1,0.9514,99
949.7,0.9494,99
896.8,0.9255,99
856.9,0.941,98.28
875.1,0.8611,99
911.5,0.9109,98.86
945.9,0.9401,99
936.7,0.9305,99
867.7,0.9511,96.9
721.5,1.117,92.75
1013,0.952,99
903.1,0.8984,99
872.8,0.8888,99
952.3,0.924,99
858.8,0.9338,99
879,0.8811,99
936.6,0.9546,99
897.2,0.8992,99
803.2,1.01,95.07
843,0.9028,99
811,0.9591,96.57
860.5,0.8558,99
797.1,0.9475,96.12
894.1,0.9071,99
757.1,0.9172,95.86
894.4,0.9004,99
860.4,0.8718,99
931.5,0.9081,99
838.4,0.8714,99
824.4,0.8725,99
911.2,0.8534,99
986.2,0.977,98.49
889.2,0.8965,99
872.9,0.9797,95.93
916.7,0.9275,99
869.4,0.8901,99
855.9,0.872,99
932,0.9121,99
911.3,0.9182,99
