hERG_IC50,hERG_h,hERG_Bmax
629.3,0.9543,99
561.1,1.141,92.32
689.1,0.94,99
615.3,0.9325,99
642.9,0.9724,95.26
738.6,0.9197,99
697.2,0.9965,99
626.5,0.9714,96.06
729.3,0.9921,99
540.1,0.9534,95.93
541.4,1.117,94.79
687.6,0.8903,99
621.4,1.022,94.08
652.5,0.9071,99
714.9,1.025,98.23
706,0.8655,99
742.6,0.8862,99
742.3,0.9622,96.76
655.3,0.9159,99
639,0.8872,99
577.4,0.9199,97.92
528.5,0.9667,93.26
743.6,0.8732,99
665.9,0.9401,97.27
632.2,1.072,94.79
700,0.94,99
692.8,0.9702,99
727.6,0.9627,99
610.5,0.8833,97.48
744.8,0.8952,99
590.5,0.9255,98.26
687.8,0.9678,99
714.9,0.9547,99
749.9,0.9838,97.46
645.7,0.9779,96.21
709.3,0.9047,99
678.1,0.8542,99
692.9,0.9025,99
664.1,0.9465,95.52
709,0.9195,99
660.5,0.8984,99
644.3,1.014,96.01
633.5,0.9794,95.75
720.1,0.9391,99
740.5,0.9198,99
747.6,0.8283,99
721,0.8965,99
709.2,0.8732,99
556.2,1.135,91.94
549.3,1.061,93.89
599.7,1.015,94.93
660.2,0.8416,99
588,1.036,93.01
522,1.003,96.48
532.7,1.126,90.57
725.2,0.9239,99
581.3,0.8892,99
597.7,0.9155,94.88
687.9,0.9692,99
616.6,0.8834,99
474.8,1.034,95.1
619.3,0.9629,95.99
664.7,0.8892,99
619.1,0.9109,99
575.4,1.015,93.97
693.2,0.9334,99
710.7,0.8566,98.57
731.1,0.8378,99
623.9,0.8969,96.77
722.5,0.9145,99
663.7,1.012,99
698.3,0.9291,99
723.5,0.8874,99
717.2,0.9435,96.9
522.4,0.902,93.25
527.4,1.092,93.28
682.4,0.8694,99
663.7,1.007,95.1
684.9,0.8864,97.2
651.8,0.9603,96.05
712.7,0.8404,99
694.2,0.8551,99
705.9,0.9394,99
760.2,0.9248,99
509.5,1.092,91.8
645.7,0.9393,99
462.4,1.143,90.1
566.9,1.05,96.75
715.4,0.9025,99
609.1,0.9991,95.78
566,1.11,92.39
541.5,1.041,93.74
677.7,0.8973,98.4
689.7,0.8478,99
580.9,0.9598,94.13
613.9,0.9078,96.12
706.2,0.9343,96.79
631.3,0.8378,97.8
574.9,0.9979,95.02
565.8,0.9354,93.66
655.7,0.9094,99
645.9,0.9991,99
554,1.024,94.38
689.3,0.8771,99
503.5,1.086,92.33
596.4,1.03,92.81
685.1,0.899,97.83
640.6,0.8908,99
597.4,1.067,94.82
594,1.09,91.36
654.3,0.9196,99
593,0.9924,96.81
602.5,1.051,93.94
755.4,0.9271,99
708.7,0.9687,99
592.4,0.9708,96.1
581.7,0.8957,96.39
663.3,0.9448,99
674.9,0.9481,99
726.6,0.9736,99
577.8,0.9508,95.92
655.7,0.959,96.7
752.1,1.027,99
669.6,0.9015,97.85
720.2,0.935,96.82
673.8,1.005,99
626.6,0.8998,98.84
644.4,0.9151,95.79
691.2,0.9641,99
667.9,0.8836,99
725.1,0.9073,99
635.8,0.9402,96.31
753.1,0.9721,99
567.9,1.049,93.86
608.5,1.005,95.3
666.6,0.8799,99
589.3,0.956,97.98
704.1,0.9158,98.23
588.1,0.9449,94.89
692.1,0.9422,96.98
587.1,0.8994,93.16
645.3,0.8648,97.82
609.1,1.052,95.77
581.1,1.027,91.39
611.1,0.984,98.72
715.2,0.9429,99
628.8,1.003,96.93
651.3,0.8844,97.12
674.5,0.8706,98.26
699.7,0.9372,99
718.1,0.963,99
646.5,0.9256,99
682.8,0.9347,99
563.7,1.064,93.78
749.7,0.9651,99
602.1,1.1,95.61
602.1,1.07,93.98
701.9,0.9825,99
573,1.04,93.31
640.9,0.9944,97.96
664.6,1.002,99
622.6,0.8545,99
667.5,0.9414,97.93
606.4,0.9564,96.09
721.5,0.9289,99
559.3,1.037,94.92
657.1,0.9497,95.9
717.6,0.8242,99
664.2,0.8826,99
594.9,1.004,94.98
611.2,0.8889,94.75
560.2,0.9277,93.94
549.9,1.037,91.86
711.8,0.8769,99
