hERG_IC50,hERG_h,hERG_Bmax
5828,0.9246,96
5170,0.9983,92.86
6584,1.127,95.45
5328,0.9425,93.79
6059,1.057,95.91
5854,1.07,94.11
5637,1.007,95.29
5505,1.151,92.76
5997,0.8531,98.55
5558,0.9303,94
5543,0.9173,97.7
5625,1.15,92.42
6034,0.8668,98.64
5889,0.9979,95.74
5638,1.09,91.9
6383,0.9232,99
6681,0.8685,98.71
5453,1.019,92.83
6789,0.9074,99
5919,1.02,95.94
6141,0.8725,97.49
6118,0.824,99
5898,0.9457,95.9
5965,0.9182,95.59
6610,0.9316,99
5843,0.9037,96.99
5341,0.848,95.66
5886,0.9871,95.56
5977,0.9066,99
6015,0.9547,97.35
5492,0.9748,93.65
6091,0.9427,95.78
5560,0.9947,94.51
5433,0.8676,96.98
5430,1.006,94.32
5206,0.8489,95.56
6338,0.9616,96.59
6125,0.8346,99
5619,0.9306,95.88
5288,0.8838,96.23
6280,1.022,94.5
6561,1.075,95.31
5259,1.002,93.86
5725,1.075,93.21
5241,0.8921,96.08
6136,0.9784,96.37
5475,0.9516,96.04
5555,0.9483,95.55
5627,1.113,92.7
5656,0.8645,96.05
5925,0.8558,98.97
6109,0.911,97.74
6464,0.9186,99
6008,1.039,93.8
5643,0.9313,94.79
5607,1.08,93.97
5259,0.9568,94.26
6105,0.9821,96.4
5323,0.8134,99
5503,0.9502,95.68
5429,0.96,94.99
6134,1.03,96.12
6059,0.8835,97.47
5259,1.112,91.58
5700,0.9601,94.3
5768,1.111,92.48
5014,1.05,92.17
6271,0.9995,95.37
5987,1.056,94.15
6141,0.8887,98.46
6327,0.8679,99
5454,0.909,94.9
5979,1.136,93.87
5958,0.9825,95.25
5662,0.976,95.89
6123,1.002,95.56
6162,0.8625,99
6320,1.101,94.61
5071,1.024,93.07
6578,0.9005,99
5725,1.094,92.86
5144,0.8615,94.81
4792,0.7974,99
6319,0.9114,96.29
6281,0.8341,99
5421,0.9639,95.05
5216,0.9706,94.53
5790,0.8783,98.29
5612,0.8892,98.07
6383,1.047,95.54
6609,0.9538,97.91
5094,1.145,91.18
6404,0.944,97.86
6224,0.8794,99
6118,0.9581,96.86
6093,1.145,94.74
6404,0.852,99
