hERG_IC50,hERG_h,hERG_Bmax
166.4,0.505,70.7
68.19,1.105,73.84
102.3,0.81,82.11
89.31,0.7484,70.7
188.6,0.505,70.7
131.8,0.6158,70.7
81.5,0.8291,74.01
192.4,0.505,70.7
91.18,0.8475,75.51
122.3,0.542,70.7
79.54,0.8202,70.7
226.6,0.5491,84.84
184.1,0.505,70.7
200.6,0.505,70.7
310.2,0.505,70.7
211.6,0.5945,98.9
223.4,0.5434,84.09
105.2,0.8006,78.14
256,0.505,70.7
261.4,0.6615,99
96.41,0.92,80.88
211.6,0.5945,98.9
294.5,0.6048,98.99
97.18,0.7233,70.7
180.4,0.505,70.7
97.87,0.8926,79.92
97.66,0.8924,81.6
143.8,0.505,70.7
110.6,0.7278,82.61
81.17,0.8377,70.7
62.97,1.121,72.64
192.6,0.6302,94.27
76.66,1.212,77.46
83.43,0.9229,70.7
89.92,0.8557,77.42
66.49,1.307,74.52
201.2,0.5505,84.93
129.2,0.8418,86.2
242.1,0.6185,99
95.74,0.5399,70.7
273.6,0.5686,99
96.59,0.6743,70.7
100.4,0.7535,70.7
182.5,0.5433,83.53
206.9,0.505,70.7
193.8,0.505,70.7
75.61,1.001,70.7
100,0.7312,70.7
207.6,0.505,70.7
78.07,0.972,70.7
200.4,0.6535,98.46
54.66,1.287,70.7
196.4,0.505,70.7
101.8,0.7582,82.24
69.61,1.063,70.7
200.3,0.505,70.7
248.7,0.6208,98.91
257.6,0.505,70.7
143.6,0.505,70.7
68.81,0.9233,70.7
233.8,0.5502,86.49
85.79,0.7791,70.7
217,0.5558,83.37
96.59,0.6743,70.7
83.92,0.9899,77.09
122.4,0.7076,84.34
142,0.6003,84.91
306.5,0.505,70.7
102.2,0.6681,70.7
151.2,0.5482,81.85
180.4,0.505,70.7
172.2,0.5452,82.05
243.7,0.5476,87.38
278.3,0.6278,99
295.6,0.563,98.69
270.6,0.6235,99
237.6,0.6729,99
84.24,0.7468,70.98
122.6,0.6565,75.37
237.6,0.6729,99
180.9,0.505,70.7
122.6,0.6565,75.37
143.3,0.505,70.7
160.3,0.505,70.7
86.73,0.7256,70.7
87.3,0.7375,70.7
412.7,0.505,70.7
111.7,0.6917,83.37
82.96,0.972,70.7
259.1,0.505,70.7
75.08,0.9536,70.7
103.3,0.6512,70.7
143.6,0.505,70.7
65.94,0.9609,70.7
139.3,0.6808,84.16
57.36,1.237,70.7
87.44,0.8013,70.7
146.4,0.5296,70.7
102.4,0.6429,70.7
124.5,0.554,70.7
196.3,0.505,70.7
65.02,1.226,70.7
96.17,0.8382,70.7
184.4,0.505,70.7
172.3,0.6433,94.15
226.6,0.5491,84.84
67.71,0.9533,70.7
83.37,0.9659,70.7
84.96,0.7736,70.7
247,0.5422,84.8
170.2,0.505,70.7
290.7,0.505,70.7
82.48,0.8329,70.7
95.06,0.6925,70.7
365.6,0.5477,98.43
183.7,0.6149,99
221,0.6189,99
78.85,0.8851,70.7
176,0.505,70.7
286.3,0.561,98.65
209.8,0.5456,85.24
372.8,0.5538,98.45
187.5,0.505,70.7
85.34,0.8339,70.7
89.55,0.7614,70.7
176,0.505,70.7
77.3,0.7239,70.7
181.8,0.505,70.7
84.11,0.706,71.93
69.93,1.266,75.3
269.2,0.6137,99
74.98,0.8153,70.7
91.34,1.142,78.37
149.6,0.505,70.7
85.79,0.7791,70.7
92.91,0.8092,70.7
188.1,0.5451,73.76
406.6,0.505,70.7
178.5,0.505,70.7
379.6,0.5582,94.56
205.2,0.5809,98.99
93.11,0.8276,85.37
83.49,0.7727,70.7
118,0.5449,77.09
442.4,0.505,70.7
181.4,0.505,70.7
204.5,0.5474,83.09
68.26,1.03,70.7
75.61,1.001,70.7
78.84,1.04,70.7
188.7,0.505,70.7
218.1,0.6622,99
703.2,0.505,70.7
197.4,0.5426,82.21
162.3,0.5425,81.89
240.2,0.6291,99
205.2,0.5809,98.99
308,0.5681,98.7
178.2,0.505,70.7
84.67,0.751,70.7
140.8,0.5954,76.33
93.76,0.585,70.7
296.4,0.6139,98.99
116.4,0.7406,82.7
75.86,0.9801,70.7
413.3,0.505,70.7
76.75,0.9543,70.7
137.1,0.505,70.7
84.11,0.706,71.93
188.6,0.505,70.7
86.6,0.7522,70.7
67.27,0.9579,70.7
68.73,0.9924,70.7
70.46,0.9983,70.7
74.3,0.9833,70.7
226.7,0.6173,98.98
222.4,0.5467,86.02
88.83,0.8193,71.76
218.7,0.5708,89.84
94.48,0.734,70.7
274.8,0.6269,99
63.24,1.109,70.7
102.8,0.6517,70.7
222.6,0.6272,99
356.3,0.5601,94.62
96.97,0.7138,70.7
119.7,0.7575,76.24
200.4,0.6535,98.46
222.6,0.6272,99
226.1,0.5707,98.85
300.4,0.5487,90.81
296.6,0.5609,98.62
78.81,0.8277,70.7
93.09,0.8144,70.7
86.95,0.784,70.7
87.22,0.952,70.7
78.81,0.8277,70.7
74.3,0.9833,70.7
80.88,0.9667,70.7
202.5,0.505,70.7
84.65,0.7179,70.7
88.81,0.7064,70.7
75.08,0.9536,70.7
111.8,0.7098,76.47
201.8,0.505,70.7
74.66,0.9949,70.7
262,0.5752,98.87
103.3,0.6512,70.7
182.2,0.586,96.48
224.3,0.505,70.7
162.9,0.505,70.7
97.47,0.7481,70.7
137.4,0.6632,78.94
97.47,0.7481,70.7
201.5,0.505,70.7
381.1,0.505,70.7
76.11,0.9196,78.41
87.57,0.6614,70.7
160.6,0.5473,80.41
92.68,0.8833,74.47
294.9,0.6238,99
149.3,0.5256,70.7
173.3,0.539,80.12
188.7,0.505,70.7
190.6,0.505,70.7
298,0.505,70.7
100.5,0.5923,70.7
241.4,0.6488,99
90.02,0.7629,70.7
247.4,0.5508,89.52
159,0.505,70.7
166.4,0.505,70.7
80.49,0.8584,70.7
80.15,0.8458,70.7
312.5,0.6468,99
83.82,0.7899,70.7
386.7,0.505,70.7
688.4,0.505,70.7
139,0.6571,87.72
242.9,0.5877,98.91
209,0.5632,92.07
663.2,0.505,70.7
84.11,0.706,71.93
256,0.505,70.7
98.5,0.6962,70.7
245.7,0.5577,94.5
306.7,0.505,70.7
77.03,1.039,70.7
86.71,0.852,70.7
251,0.6095,99
216.6,0.5734,96.88
175.4,0.505,70.7
153.7,0.505,70.7
94.88,0.7179,70.7
243.7,0.5476,87.38
67.71,0.9533,70.7
92.05,0.7577,72.1
197.7,0.505,70.7
277.3,0.6021,99
266.7,0.5873,99
139,0.6571,87.72
77.27,1.029,75.65
71.76,1.034,70.7
204.7,0.505,70.7
272,0.609,99
201.5,0.505,70.7
196.2,0.505,70.7
277.3,0.6021,99
88.81,0.7064,70.7
122.4,0.5487,70.7
79.63,0.7411,70.7
243.2,0.6585,99
273.2,0.6177,99
165.8,0.505,70.7
121.4,0.6013,70.7
83.62,0.7667,70.7
85.92,0.7219,70.7
66.6,0.9128,70.7
182.3,0.54,80.8
78.1,0.9316,70.7
206.5,0.6256,99
69.78,0.8693,70.7
230.7,0.505,70.7
131.4,0.543,70.7
74.53,0.838,70.7
73.34,0.9277,70.7
259.1,0.505,70.7
103.1,0.7843,70.7
227.1,0.553,93.24
84.26,1.132,79.39
82.53,0.7628,71.69
173.4,0.505,70.7
86.95,0.784,70.7
84.98,0.8412,70.7
254.2,0.505,70.7
199.1,0.505,70.7
243.6,0.5935,98.76
213.1,0.505,70.7
243.6,0.562,96.98
80.88,0.9667,70.7
73.14,1.1,78.81
251,0.6095,99
272.1,0.5993,99
256,0.505,70.7
220.5,0.6675,97.32
101.8,0.8165,72.85
263.3,0.5577,97.94
159,0.505,70.7
193.5,0.5559,86.66
171.8,0.505,70.7
180.4,0.505,70.7
80.56,1.064,76.78
284.3,0.505,70.7
254.7,0.5645,98.9
199,0.6349,99
131.8,0.6158,70.7
67.67,0.9242,70.7
199.8,0.505,70.7
81.85,0.916,70.7
190.9,0.505,70.7
117.6,0.8836,83.99
75.08,0.9536,70.7
84.31,0.7458,77.15
122.3,0.542,70.7
186.8,0.5616,93.19
149.2,0.7629,91.37
198.2,0.5555,93.7
224.3,0.6172,99
69.41,1.017,70.7
148.5,0.5461,80.32
135.2,0.505,70.7
184.4,0.505,70.7
196.8,0.5915,97.96
99.52,0.6969,82.11
87.57,0.6614,70.7
127.9,0.6065,70.7
160.6,0.5473,80.41
205.9,0.505,70.7
198.6,0.505,70.7
80.94,1.137,81.26
72.15,0.9581,70.7
316,0.505,70.7
149.5,0.5229,70.7
79.54,0.8202,70.7
174,0.6766,92.71
245.1,0.555,88.14
181.4,0.505,70.7
226.4,0.6826,99
93.25,0.6871,70.7
170.2,0.505,70.7
231.3,0.5419,83.76
246.5,0.613,98.91
248.7,0.6208,98.91
294.5,0.6048,98.99
135.2,0.505,70.7
86.73,0.7256,70.7
292.4,0.5591,95.06
141.3,0.505,70.7
95.41,0.6944,70.7
178.2,0.505,70.7
69.41,1.017,70.7
257.6,0.505,70.7
122.2,0.5983,70.7
291.7,0.5609,98.69
297.2,0.652,99
81.48,0.848,71.23
95.41,0.6085,70.7
279.8,0.5971,98.96
274.5,0.5497,89.47
80.88,0.9667,70.7
86.95,0.784,70.7
141.2,0.505,70.7
327.8,0.505,70.7
73.48,0.989,70.7
238,0.6577,99
83.43,0.9229,70.7
77.44,0.8132,70.7
75.49,0.8424,70.7
68,1.056,70.7
137.4,0.6632,78.94
95.41,0.6085,70.7
70.6,0.9797,70.7
143.2,0.7118,88.27
84.96,0.7736,70.7
90.45,0.8019,70.7
74.21,1.167,70.7
192.6,0.6302,94.27
75.43,1.184,77.87
72.2,0.9718,70.7
171.6,0.505,70.7
62.24,1.18,72.26
68.56,0.8958,70.7
316.3,0.583,98.77
68.72,0.8669,70.7
251,0.6095,99
183.1,0.505,70.7
205.9,0.505,70.7
67.71,0.9533,70.7
191.7,0.505,70.7
68.72,0.8669,70.7
82.92,1.003,77.78
150.7,0.505,70.7
92.68,0.8833,74.47
248.4,0.5642,99
88.1,0.7551,70.7
202.9,0.505,70.7
106.5,0.7598,73.53
389.8,0.505,70.7
276,0.5851,98.93
81.24,1.008,70.7
77.27,1.029,75.65
206.3,0.6137,99
197.3,0.5457,84.24
98.02,0.7358,70.7
178.7,0.505,70.7
78.71,0.8098,70.7
231,0.505,70.7
200.8,0.505,70.7
90.48,0.781,70.7
406.6,0.505,70.7
82.48,0.8329,70.7
305.2,0.5982,98.86
266.6,0.5641,97.75
380.9,0.505,70.7
65.02,1.226,70.7
195.9,0.5479,86
264.9,0.6416,98.96
103.6,0.663,70.7
349.1,0.5577,95.61
182.9,0.5469,82.05
199.2,0.505,70.7
274.9,0.5518,91.57
124.5,0.554,70.7
106.1,0.7606,81.12
832.1,0.505,70.7
285.2,0.5815,98.89
238,0.6577,99
197.3,0.5457,84.24
69.09,1.27,73.7
107.9,0.5981,74.93
105.4,0.7462,73.46
84.96,0.7736,70.7
95.41,0.6944,70.7
218.1,0.6622,99
85.14,0.9654,71.57
249.2,0.5479,87.42
277.3,0.5675,98.94
170,0.5483,81.02
178.2,0.505,70.7
106.5,0.7598,73.53
93.07,0.6665,70.7
208.8,0.6287,99
78.08,0.9472,70.7
82.38,0.7081,70.7
184.4,0.505,70.7
82.38,0.7081,70.7
293.4,0.566,98.9
95.41,0.6085,70.7
197.4,0.5426,82.21
202.8,0.5477,87.46
85.8,0.7856,70.7
145.6,0.505,70.7
95.41,0.6085,70.7
69.41,1.017,70.7
176,0.505,70.7
118.5,0.7772,74.03
178.1,0.5467,84.87
196.3,0.505,70.7
143.2,0.7118,88.27
67.18,0.9442,70.7
62.55,1.33,70.7
297.2,0.652,99
96.59,0.6743,70.7
95.41,0.6944,70.7
166.5,0.505,70.7
62.24,1.18,72.26
243,0.5649,98.58
92.05,0.7577,72.1
77.47,0.8944,70.7
247.4,0.5508,89.52
88.82,0.7912,70.7
269,0.6041,99
82.49,0.9053,76.6
75.99,1.019,70.7
73.05,0.998,70.7
72.2,0.9718,70.7
327.8,0.5801,98.84
97.87,0.8926,79.92
152.3,0.63,89.58
183,0.545,83.01
142.9,0.505,70.7
178.4,0.505,70.7
204.5,0.505,70.7
68.93,0.9518,70.7
208.6,0.5942,92.01
69.97,1.266,75.3
209.1,0.505,70.7
288.5,0.505,70.7
74.31,0.9834,70.7
793.2,0.505,70.7
70.25,1.017,70.7
80.23,0.8121,70.83
254,0.5941,99
178.4,0.505,70.7
77.88,0.9725,70.7
248.8,0.505,70.7
83.5,0.735,70.7
199.5,0.505,70.7
82.59,0.8325,70.7
107.7,0.6298,74.43
121.4,0.6151,70.7
