hERG_IC50,hERG_h,hERG_Bmax
76300,0.8888,99
65690,0.8136,99
89690,0.674,98.31
65900,0.8637,99
74400,0.8409,99
96960,0.8016,98.7
78460,0.8121,99
83910,0.8668,99
89100,0.7818,98.99
81310,0.7696,98.75
62910,0.8794,88.21
88430,0.8192,99
67180,0.9102,99
74620,0.7385,99
68150,0.9084,99
85890,0.9554,99
64150,0.9203,86.49
78480,0.9046,99
74010,0.693,98.51
87600,0.7297,98.9
77030,0.7922,98.99
54540,0.9038,87.7
87580,0.8487,99
95560,0.8274,98.96
85660,0.7807,99
88140,0.9982,99
81300,0.9016,99
88740,0.8504,99
74820,0.8771,99
64860,0.8376,99
82610,0.8867,99
83740,0.7551,98.93
93500,0.8223,99
76130,0.7477,99
82390,0.7519,98.75
73480,0.7818,99
70680,1.146,96.96
83690,0.9312,99
81150,0.7859,99
67890,0.7199,99
77810,0.8423,99
80540,0.7635,98.53
86830,0.759,98.53
71530,0.8749,99
69500,0.9314,99
78300,0.7144,98.76
66860,0.762,99
77660,0.7483,98.71
72840,0.9071,99
63580,0.9387,99
86160,0.8943,99
70200,0.813,99
55940,0.8257,87.42
68300,0.8271,94.39
80370,0.9159,99
87050,0.9305,99
79900,0.8208,99
95610,0.7459,98.39
69570,0.7832,99
72360,0.8322,99
75920,0.9471,99
69900,0.7246,99
72090,0.7261,99
78120,0.844,99
73230,0.7909,98.84
70940,0.6904,99
71180,0.8632,99
46740,1.063,84.09
85310,0.8954,99
64480,0.7655,99
81630,0.7305,98.91
51730,0.8919,89.13
82840,0.7408,98.65
68550,0.8526,99
50670,1.035,83.95
79610,0.9195,99
65550,0.7569,99
75600,0.8311,99
63790,0.9926,91.23
78420,0.7696,99
73880,0.8009,99
76740,0.7261,99
74110,0.8051,99
76070,0.8288,93.78
73800,0.8705,99
91560,0.7559,98.53
77460,0.84,99
79610,0.7472,99
86440,0.7659,99
83490,0.8171,99
69870,0.9236,99
91100,0.7402,99
85040,0.7713,99
83630,0.8792,99
71440,0.8687,99
82590,0.7875,99
76490,0.7808,99
64220,1.064,91.12
79340,0.801,99
84050,0.7287,99
75890,0.7149,98.9
75580,0.7464,98.67
64730,0.8239,99
90140,0.8241,99
71560,0.9128,99
76500,0.8605,99
74510,0.8096,99
