hERG_IC50,hERG_h,hERG_Bmax
602.4,1.621,99
561.8,1.489,75.45
558.4,1.839,81.9
576.6,1.594,93.48
408.3,1.489,91.23
435.8,1.79,89.53
445.8,1.98,75.42
498.6,1.441,92.58
398.6,1.98,86.91
425.2,1.98,76.42
459.7,1.896,88.77
420.9,1.98,79.9
605.3,1.277,89.5
443.4,1.929,80.53
398.5,1.98,87.17
386.6,1.98,84.11
467.8,1.739,80.65
430.5,1.98,79.55
382,1.98,84.66
404.1,1.98,82.64
570.5,1.964,89.07
527.1,1.839,81.44
394.9,1.98,90.38
423,1.839,81.22
426.2,1.98,90.93
391.6,1.98,75.84
545,1.428,84.98
358.9,1.98,73.49
359.9,1.98,80.89
371,1.98,83.74
388.3,1.98,72.25
408.8,1.98,74.77
360.4,1.98,74.09
454.6,1.794,81.67
408.4,1.98,88.29
397.8,1.98,73.12
532.2,1.98,79.76
607.3,1.717,84.36
482.4,1.666,90.26
443.9,1.98,81.57
615.2,1.262,89.94
401.1,1.98,72.78
453.7,1.98,81.83
508.9,1.975,71.23
447.6,1.98,73.04
519.4,1.426,93.12
446.5,1.659,82.95
398.9,1.98,72.01
371.6,1.98,75.7
482.9,1.731,90.41
340.9,1.98,80.85
669.2,1.545,84.52
400.1,1.962,87.48
615.7,1.346,88.88
494.2,1.98,80.4
362,1.98,82.17
468,1.98,80.91
388.1,1.98,80.58
430.3,1.598,83.14
430.1,1.98,89.18
326,1.98,74.22
427,1.98,73.91
420.4,1.98,89.84
489.9,1.98,79.72
403.1,1.629,80.62
403.7,1.98,74.25
429.9,1.98,72.82
366.1,1.835,81.55
615.1,1.808,83.63
356.2,1.98,77.92
458.7,1.98,80.4
431.6,1.98,81.64
454,1.714,83.01
344.9,1.98,74.1
380,1.98,79.35
399.8,1.98,83.75
446.5,1.98,80.26
387.4,1.98,73.66
460.5,1.98,70.7
527.4,1.698,82.12
361.8,1.98,83.48
427.6,1.98,89.08
430.1,1.98,81.98
375.9,1.98,83.86
427,1.799,88.54
377.9,1.98,80.97
805.6,1.401,99
622.9,1.804,91.28
433.1,1.971,74.82
396.2,1.98,72.04
390.5,1.98,79.72
559.9,1.73,90.9
414.3,1.857,89.35
627.8,1.264,98.13
545,1.428,84.98
442.7,1.677,83.01
386.3,1.98,81.67
324.7,1.98,82.17
385.9,1.98,84.03
356.5,1.98,72.36
466.7,1.98,71.25
526.9,1.889,82.2
386.6,1.971,72.03
390.5,1.98,82.98
351.2,1.98,73.96
626.7,1.42,95.54
429.4,1.98,80.92
333.9,1.98,73.85
583.9,1.605,99
350.3,1.98,80.73
554.6,1.719,83.1
414.3,1.98,72.86
459.6,1.98,80.85
430.4,1.98,80.31
489.1,1.49,85.63
428.5,1.98,88.91
417.3,1.98,73.89
480.2,1.973,89.05
418.7,1.718,74.3
364.8,1.98,83.53
458.2,1.98,71.34
373,1.98,81.6
602.3,1.692,99
390,1.98,89.54
448.2,1.98,87.13
404.2,1.98,73.85
449.2,1.361,76.16
406.3,1.98,78.45
557.8,1.774,83
377.7,1.98,83.22
430.3,1.479,84.81
421.1,1.98,89.21
519.1,1.146,79.87
381.9,1.98,71.37
438,1.98,81.48
471.3,1.551,91.06
416.2,1.951,82.6
443.4,1.98,88.72
735.3,1.315,99
390.2,1.98,82.12
373,1.98,74.91
411.8,1.756,73.9
336.4,1.98,79.39
489.6,1.679,82.92
473.9,1.98,94.71
394.4,1.98,82.12
347.6,1.341,74.44
386.7,1.98,72.36
443.1,1.977,80.83
364.2,1.98,73.69
383.4,1.98,72.68
615.7,1.772,71.46
726.9,1.498,86.72
374.4,1.98,81.61
509.5,1.98,79.31
463.7,1.434,85.34
414,1.98,70.7
454,1.714,83.01
389.2,1.98,81.57
451.8,1.98,80.77
575.5,1.327,95.78
418.9,1.617,82.56
406.1,1.98,81.78
380,1.98,83.18
692.7,1.322,98.89
682.9,1.411,89.94
405.6,1.98,79.82
513.1,1.544,72.51
553.1,1.315,95.54
325.5,1.98,78.52
483.1,1.98,82.23
359.8,1.98,74.99
403.8,1.98,73.14
484.8,1.779,82.16
383.1,1.98,71.56
506.2,1.436,84.63
423,1.837,73.46
337.5,1.98,77.34
494.5,1.712,82.65
657.4,1.245,99
596.8,1.98,89.26
374.7,1.98,75
393.7,1.98,85.22
351.8,1.98,80.12
605.3,1.491,86.2
442.7,1.677,83.01
558.7,1.98,70.7
472.8,1.598,82.93
506.4,1.82,70.7
520.8,1.762,90.37
573.8,1.496,93.7
458.6,1.404,91.37
420.8,1.98,81.39
337.1,1.98,77.34
373.8,1.98,78.76
438.6,1.98,81.82
469.2,1.65,82.25
466.5,1.932,74.28
426.7,1.98,82.49
830.9,1.297,93.14
628.6,1.628,99
451.9,1.734,90.39
603.7,1.381,96.54
453,1.98,87.87
432.1,1.814,88.49
485,1.818,89.9
447.4,1.599,90.46
623.2,1.579,99
632.2,1.408,86.11
421.4,1.98,82.33
619.4,1.35,95.48
399.2,1.925,80.44
414.9,1.98,72.83
467.5,1.863,90.25
371.2,1.98,81.48
