hERG_IC50,hERG_h,hERG_Bmax
49.44,0.6477,99
34.83,0.798,99
29.69,0.8821,99
37.05,0.7473,99
33.02,0.702,99
35.96,0.7565,99
48.22,0.6603,99
40.76,0.6601,99
31.56,0.7434,99
47.93,0.5934,99
33.18,0.7039,99
32.08,0.7381,99
45.71,0.6789,99
35.84,0.7455,99
39.95,0.7807,99
48.48,0.5449,95.83
53.26,0.5986,99
40.76,0.7356,99
44.82,0.5817,99
30.35,0.805,99
37.25,0.6855,99
41.99,0.7421,99
49.87,0.6155,99
43.84,0.6102,99
45.59,0.6867,99
38.66,0.6411,99
43.96,0.7799,99
37.65,0.7906,99
57.49,0.6717,99
38.83,0.7519,99
48.5,0.583,99
35.35,0.8295,99
32.15,0.778,99
41.04,0.7022,99
32.41,0.746,99
31.29,0.7397,99
38.84,0.7139,99
35.01,0.6164,99
46.63,0.7174,99
40.77,0.6576,99
35.42,0.7046,99
34.96,0.8256,99
34.68,0.7053,99
41.34,0.6548,99
32.62,0.7627,99
36.69,0.8136,99
40.86,0.7354,99
47.47,0.5515,99
36.67,0.7463,99
43.34,0.7247,99
37.32,0.6906,99
34.75,0.7498,99
33.7,0.6808,99
38.64,0.7138,99
43.82,0.6601,99
34.56,0.7924,99
36.7,0.8544,99
34.59,0.6412,99
40.16,0.7096,99
40.01,0.7842,99
43.81,0.6715,99
36.12,0.7677,99
34.55,0.798,99
33.26,0.7281,99
41.62,0.6902,99
41.42,0.6567,99
34.57,0.7624,99
37.81,0.7303,99
44.72,0.6596,99
31.38,0.8682,99
45.56,0.6613,99
37.45,0.708,99
43.2,0.6909,99
38.97,0.8416,99
37.93,0.716,99
47.12,0.6913,99
37.01,0.7371,99
34.85,0.7175,99
38.87,0.7507,99
35.32,0.7914,99
40.64,0.7483,99
38.02,0.7058,99
33.8,0.8416,99
49.48,0.7239,99
48.91,0.5774,99
45.49,0.725,99
39.27,0.7317,99
41.84,0.7937,99
38.46,0.6128,99
36.59,0.8335,99
43.99,0.7308,99
33.21,0.713,99
46.38,0.6497,99
42.85,0.6204,99
50.66,0.6796,99
50.3,0.551,99
34.82,0.7287,99
48.53,0.5988,99
49.33,0.6169,99
36.83,0.8223,99
35.56,0.698,99
31.05,0.7907,99
31.54,0.8066,99
36.41,0.7944,99
47.06,0.5733,99
44.57,0.6704,99
34.66,0.9095,99
43.07,0.6437,99
44.64,0.6417,99
41.02,0.6478,99
39.54,0.6688,99
33.9,0.7792,99
33.15,0.765,99
33.2,0.8488,99
44.56,0.6257,99
38.96,0.8004,99
33.36,0.7422,99
63.66,0.5523,99
54.51,0.6618,99
36.3,0.7263,99
43.13,0.6483,99
34.33,0.724,99
35.45,0.7119,99
41.92,0.6608,99
41.47,0.7423,99
50.9,0.6693,99
33.39,0.8601,99
31.48,0.7496,99
36.54,0.7877,99
41.79,0.6325,99
55.84,0.632,99
36.8,0.7926,99
41.38,0.7039,99
44,0.8091,99
47.16,0.6292,99
55.8,0.5975,99
34.11,0.7681,99
40.61,0.8162,99
43.56,0.7425,99
38.13,0.7421,99
50.55,0.59,99
40.09,0.6842,99
34.13,0.8621,99
34.73,0.6995,99
42.51,0.5564,99
54.48,0.5512,99
38.11,0.7424,99
43.96,0.6467,99
41.64,0.691,99
52.14,0.7204,99
35.71,0.9352,99
41.12,0.7353,99
29.84,0.8216,99
34.54,0.66,99
35.23,0.8628,99
49.37,0.672,99
33.94,0.6409,99
44.57,0.7008,99
45.48,0.6001,99
52.94,0.5992,99
40.85,0.8181,99
44.1,0.6225,99
42.28,0.7318,99
58.24,0.5789,99
41.33,0.7924,99
37.39,0.7396,99
37.1,0.7965,99
43.31,0.6506,99
41.59,0.6785,99
31.7,0.715,99
42.52,0.7211,99
35.67,0.7788,99
38.76,0.8537,99
35.86,0.8394,99
45.71,0.584,99
49.45,0.5759,99
36.5,0.7848,99
38.41,0.8418,99
38.89,0.724,99
39.78,0.7364,99
41.01,0.6782,99
39.17,0.7733,99
34.23,0.7739,99
36.62,0.7219,99
45.83,0.6925,99
32.35,0.7887,99
45.18,0.7497,99
50.82,0.6525,99
36.77,0.7307,99
43.18,0.6865,99
51.72,0.6498,99
46.82,0.5496,99
47.33,0.5987,99
42.98,0.5879,99
42.26,0.8298,99
40.57,0.8597,99
38.37,0.7959,99
48.49,0.5646,99
46.9,0.588,99
38.18,0.7924,99
38.09,0.7562,99
45.33,0.697,99
42.2,0.6441,99
42.17,0.7138,99
39.67,0.646,99
40.52,0.7422,99
44.72,0.5954,99
39.92,0.6559,99
47.39,0.6733,99
42.39,0.6504,99
38.8,0.6901,99
41.45,0.7155,99
40.4,0.8193,99
37.59,0.7874,99
31.83,0.766,99
40.91,0.6771,99
41.18,0.7225,99
52.01,0.6316,99
34.27,0.7291,99
35.65,0.8147,99
36.88,0.7224,99
33.39,0.7283,99
41.16,0.6518,99
41.15,0.6056,99
38.08,0.6956,99
38.43,0.7899,99
41.68,0.7361,99
31.96,0.814,99
38.6,0.7429,99
39.14,0.7117,99
34.28,0.6793,99
30.15,0.716,99
44.13,0.7648,99
49.68,0.6306,99
46.28,0.6532,99
36.87,0.7112,99
43.14,0.661,99
33.71,0.7929,99
50.42,0.5997,99
39.11,0.7655,99
39.26,0.659,99
40.98,0.7613,99
34.96,0.7765,99
41.59,0.7134,99
34.22,0.8146,99
41.31,0.7422,99
38.02,0.7246,99
37.18,0.75,99
33.04,0.8457,99
41.78,0.7192,99
35.81,0.7612,99
34.93,0.7569,99
30.96,0.8074,99
37.17,0.7488,99
39.73,0.66,99
36.13,0.7471,99
40.12,0.7834,99
49.91,0.6532,99
41.27,0.6491,99
49.39,0.6568,99
31.55,0.829,99
42.4,0.8374,99
58.06,0.6008,99
34.24,0.7674,99
57.2,0.5921,99
51.88,0.6631,99
32.02,0.8115,99
34.62,0.797,99
38.81,0.732,99
35.35,0.829,99
40.77,0.7475,99
67.58,0.5469,99
28.77,0.7739,99
32.72,0.7274,99
30.2,0.7949,99
43.96,0.6839,99
49.35,0.685,99
49.42,0.6447,99
33.06,0.8157,99
32.88,0.8255,99
30.02,0.7107,99
46.73,0.7181,99
35.8,0.734,99
47.11,0.7421,99
34.65,0.8422,99
37.29,0.7758,99
37.62,0.7527,99
31.15,0.7445,99
40.16,0.6939,99
35.73,0.7769,99
41.66,0.6712,99
38.53,0.7269,99
41.97,0.5522,99
41.12,0.7859,99
37.98,0.6874,99
39.29,0.8684,99
41.6,0.7767,99
46.9,0.5997,99
38.85,0.7459,99
44.05,0.6736,99
47.81,0.6421,99
37.21,0.7594,99
55.79,0.5976,99
60.23,0.5679,99
37.28,0.674,99
40.86,0.783,99
29.67,0.7722,99
39.71,0.8578,99
35.27,0.8347,99
30.64,0.7714,99
42.32,0.5999,99
39.49,0.6653,99
39.19,0.7091,99
38.6,0.7542,99
41.17,0.7291,99
42.44,0.8516,99
39.48,0.7236,99
34.82,0.7819,99
37.1,0.7297,99
32.86,0.8014,99
35.96,0.6795,99
45.62,0.632,99
35.11,0.7022,99
36.63,0.7089,99
36.33,0.7217,99
54.13,0.6292,99
45.76,0.73,99
51.58,0.6009,99
61.94,0.5408,99
44.98,0.7141,99
46.51,0.6404,99
46.06,0.6573,99
41.05,0.6645,99
42.95,0.7006,99
36.67,0.7507,99
29.76,0.8277,99
42.7,0.7055,99
43.87,0.6246,99
38.28,0.8031,99
40.67,0.7565,99
44.04,0.7415,99
37.37,0.8151,99
31.06,0.7578,99
36.68,0.8782,99
32.29,0.7293,99
47.72,0.5761,99
39.98,0.7506,99
42.96,0.6754,99
32.06,0.8261,99
46.3,0.6336,99
43.19,0.6477,99
39.6,0.7665,99
41.19,0.7619,99
50.77,0.7165,99
37.55,0.7755,99
34.9,0.7871,99
47.48,0.555,99
41.33,0.7408,99
46.15,0.6934,99
52.49,0.5449,99
44.22,0.6975,99
50.01,0.6094,99
38.47,0.7271,99
41.87,0.6246,99
42.12,0.7389,99
46.8,0.7285,99
41.29,0.6201,99
42.91,0.7723,99
44.72,0.698,99
37.99,0.7391,99
34.86,0.7931,99
33.08,0.7868,99
36.95,0.6994,99
39.94,0.6521,99
37.24,0.7311,99
49.3,0.6933,99
49.98,0.5726,99
33.59,0.8924,99
39.84,0.6885,99
34.47,0.6953,99
43.91,0.6806,99
41.26,0.7142,99
47.2,0.6637,99
31.74,0.785,99
45.33,0.7702,99
40.13,0.6686,99
42.4,0.8,99
36.38,0.7508,99
42.44,0.7485,99
41.4,0.6233,99
37.25,0.8509,99
54.79,0.5918,99
38.02,0.7013,99
48.86,0.5871,99
44.57,0.6962,99
40.69,0.5955,99
40.37,0.7236,99
34.99,0.6962,99
57.82,0.6168,99
33.44,0.7339,99
37.29,0.711,99
50.68,0.631,99
42.41,0.6511,99
48.31,0.5511,99
30.61,0.8213,99
40.87,0.6096,99
36.69,0.7827,99
39.62,0.752,99
38.96,0.6849,99
52.15,0.6306,99
36.28,0.6342,99
30.94,0.8117,99
45.1,0.6365,99
36.74,0.8198,99
40.88,0.7342,99
43.93,0.7133,99
35.56,0.687,99
44.14,0.7173,99
32.74,0.7659,99
47.95,0.6549,99
40.22,0.6746,99
33.14,0.7857,99
51.3,0.6729,99
33.15,0.6025,99
36.93,0.7503,99
36.67,0.734,99
38.56,0.7447,99
33.5,0.9147,99
36.45,0.7473,99
35.98,0.782,99
38.41,0.7745,99
45.84,0.6867,99
42.64,0.7407,99
41.3,0.7424,99
44.72,0.5892,99
55.66,0.6674,99
36.86,0.8376,99
44.78,0.6094,99
35.49,0.7628,99
58.42,0.5512,99
41.71,0.668,99
37.25,0.8621,99
39.92,0.656,99
37.2,0.8132,99
52.49,0.5773,99
53.65,0.6022,99
65.23,0.5667,99
42.04,0.6126,99
37.22,0.7828,99
42.8,0.628,99
34.67,0.678,99
38.74,0.6869,99
47.21,0.627,99
48.54,0.6654,99
54.81,0.5519,99
60.43,0.5497,99
33.57,0.8333,99
37.35,0.7636,99
33.76,0.7243,99
46.06,0.6903,99
42.43,0.5796,99
38.7,0.7646,99
37.45,0.632,99
47.8,0.6581,99
41.24,0.7767,99
31.69,0.6801,99
48.36,0.6558,99
40.19,0.7229,99
48.02,0.6506,99
41.86,0.6779,99
30.49,0.7941,99
39.9,0.7083,99
45.76,0.7758,99
37.42,0.6549,99
44.78,0.5964,99
43.56,0.6596,99
41.93,0.6449,99
45.32,0.7339,99
45.44,0.6212,99
40.01,0.7176,99
42.15,0.6996,99
43.08,0.7072,99
44.8,0.7721,99
40.68,0.7138,99
42.18,0.7576,99
38.83,0.777,99
39.53,0.6966,99
43.45,0.7715,99
40.16,0.6999,99
33.63,0.7454,99
51.48,0.5809,99
34.81,0.8036,99
40.67,0.6969,99
48.96,0.6402,99
34.18,0.6521,99
40.76,0.7348,99
37.95,0.803,99
40.87,0.6912,99
18.38,0.7574,72.9
40.16,0.7172,99
37.59,0.7018,99
40.34,0.6483,99
41.83,0.8179,99
39.11,0.6371,99
35.01,0.7637,99
40.07,0.6781,99
30.16,0.8037,99
31.28,0.7991,99
54.17,0.6141,99
39.19,0.7343,99
34.57,0.7847,99
35.26,0.7811,99
54.71,0.6388,99
43.14,0.7437,99
36.31,0.8148,99
32.08,0.7766,99
33.69,0.8188,99
60.66,0.5492,99
40.53,0.7288,99
32.38,0.814,99
39.78,0.7223,99
39.89,0.6629,99
42.23,0.7151,99
65.81,0.5642,99
35.85,0.6852,99
38.89,0.7604,99
40.38,0.7295,99
34.74,0.7676,99
52.73,0.5516,99
39.27,0.6764,99
47.24,0.6158,99
34.52,0.8812,99
47.42,0.6482,99
45.81,0.6662,99
54.02,0.6875,99
43.31,0.6656,99
43.49,0.7511,99
35.64,0.7112,99
36.35,0.7161,99
30.3,0.7777,99
39.19,0.7843,99
34,0.7682,99
40.28,0.7775,99
33.31,0.7673,99
40.94,0.7233,99
40.66,0.5942,99
52.14,0.6079,99
45.16,0.6825,99
51.15,0.6628,99
43.06,0.6648,99
38.97,0.683,99
33.88,0.7035,99
35.45,0.7874,99
34.35,0.745,99
36.85,0.7171,99
34.58,0.6989,99
40.77,0.8006,99
48.58,0.5752,99
43.18,0.7302,99
40.19,0.7779,99
36.54,0.7544,99
44.61,0.671,99
32.97,0.7086,99
39.07,0.7304,99
28.87,0.7889,99
37.87,0.7336,99
44.44,0.6528,99
46.28,0.5986,99
38.09,0.6572,99
33.35,0.8274,99
63.49,0.5824,99
41.33,0.6597,99
43.19,0.6857,99
37.68,0.7836,99
45.32,0.6606,99
36.63,0.5894,99
52.32,0.6847,99
36.23,0.9777,99
31.33,0.7678,99
50.17,0.5755,99
41.73,0.7266,99
33.37,0.6799,99
34,0.543,87.14
64.8,0.5527,99
36.26,0.691,99
44.67,0.6334,99
37.42,0.8314,99
44.07,0.6646,99
40.84,0.7536,99
49.78,0.6987,99
36.2,0.6976,99
41.19,0.5995,99
40.57,0.7201,99
31.94,0.7972,99
33.1,0.8411,99
43.1,0.607,99
50.84,0.5786,99
31.2,0.7291,99
33.51,0.7789,99
38.61,0.767,99
34.44,0.7304,99
37.27,0.7803,99
47.67,0.7409,99
53.3,0.5501,99
59.22,0.5516,99
52,0.6152,99
43.15,0.831,99
45.14,0.7744,99
48.04,0.6602,99
49.99,0.6421,99
37.7,0.8774,99
45.27,0.6639,99
51.39,0.6207,99
31.49,0.7653,99
40.99,0.7318,99
32.82,0.7922,99
40.46,0.6844,99
40.81,0.7211,99
32.42,0.7275,99
38.8,0.713,99
34.7,0.8197,99
37.1,0.9421,99
49.15,0.7217,99
44.02,0.7418,99
48.88,0.6894,99
41.18,0.6947,99
42.46,0.7845,99
38.22,0.7656,99
41.08,0.7518,99
37.49,0.6463,99
37.79,0.7625,99
37.54,0.7342,99
37.4,0.7712,99
46.47,0.7024,99
39.15,0.7178,99
40.96,0.6724,99
45.15,0.7958,99
48.48,0.6061,99
35.32,0.9247,99
46.52,0.7317,99
62.2,0.6196,99
42.77,0.6693,99
46.27,0.6486,99
35.73,0.8133,99
40.69,0.6425,99
29.84,0.7846,99
34.17,0.7144,99
41.91,0.7241,99
33.96,0.7934,99
51.86,0.5516,99
34.51,0.7508,99
37,0.6848,99
39.51,0.6739,99
37.03,0.7532,99
39.39,0.6459,99
49.26,0.6024,99
42.66,0.8041,99
34.32,0.7924,99
34.73,0.8137,99
40.87,0.65,99
43.36,0.6871,99
39.11,0.609,99
37.81,0.7703,99
52.9,0.5527,99
36.57,0.6417,99
40.56,0.7299,99
45.58,0.6403,99
35.23,0.8963,99
41.83,0.6399,99
44.14,0.769,99
36.74,0.7077,99
35,0.7456,99
43.12,0.7179,99
39.24,0.7743,99
40.05,0.8046,99
37.98,0.7377,99
62.4,0.5513,99
55.44,0.5533,99
49.21,0.6308,99
44.39,0.6862,99
34.04,0.8241,99
55.29,0.5657,99
49.72,0.6,99
53.16,0.6141,99
37.14,0.615,99
39.17,0.7178,99
40.54,0.6721,99
44.02,0.7036,99
36.28,0.777,99
51,0.6188,99
40.84,0.7143,99
39.4,0.7134,99
37.39,0.5677,99
34.32,0.7588,99
50.26,0.5489,99
32.85,0.8263,99
42.96,0.6895,99
41.52,0.6599,99
42.46,0.6419,99
38.33,0.8071,99
43.91,0.7059,99
36.36,0.7048,99
49.28,0.7162,99
45.06,0.7881,99
32.43,0.8219,99
33.4,0.7751,99
34.09,0.8509,99
32.44,0.9238,99
60,0.5488,99
45.72,0.6125,99
41.86,0.7281,99
38.43,0.6704,99
35.38,0.8302,99
45.44,0.6775,99
37.36,0.7261,99
38.16,0.6931,99
39.36,0.6852,99
34.01,0.8775,99
35.68,0.744,99
47.52,0.5878,99
52.03,0.7187,99
38.8,0.7957,99
50.09,0.6269,99
44.13,0.62,99
47.31,0.6985,99
37.21,0.6881,99
38.14,0.7966,99
38.11,0.6622,99
35.37,0.8096,99
44.04,0.6623,99
39.64,0.741,99
38.18,0.7121,99
33.33,0.7479,99
45.34,0.5815,99
35.96,0.7532,99
34.85,0.7422,99
45.81,0.6835,99
44.35,0.6909,99
35.08,0.7183,99
38.88,0.6987,99
39.16,0.6522,99
40.38,0.7694,99
43.44,0.6465,99
33.85,0.7335,99
35.71,0.688,99
36.45,0.7457,99
43,0.7117,99
40.49,0.6478,99
44.96,0.7899,99
36.17,0.8435,99
38.99,0.7239,99
49.12,0.75,99
41.7,0.7386,99
33.78,0.7282,99
36.63,0.8066,99
61.24,0.6005,99
33.72,0.756,99
47.83,0.6443,99
39.51,0.6882,99
42.56,0.8552,99
31.31,0.8173,99
59.28,0.5812,99
39.2,0.8036,99
40.03,0.7677,99
73.59,0.5566,99
44.26,0.6933,99
36.81,0.7888,99
32.51,0.7586,99
36.69,0.7139,99
42.13,0.6864,99
46.14,0.6166,99
37.61,0.7821,99
46.12,0.6405,99
44.85,0.6658,99
43.76,0.6257,99
37.64,0.6208,99
42.16,0.7239,99
39.29,0.7786,99
36.4,0.8061,99
46.02,0.6368,99
33.09,0.729,99
36.66,0.7996,99
45.45,0.6031,99
50.19,0.6053,99
40.41,0.7049,99
34.02,0.9069,99
38.78,0.7719,99
49.81,0.5514,99
46.03,0.6887,99
43.36,0.8613,99
33.24,0.6315,99
36.9,0.6573,99
37.59,0.788,99
39.34,0.7407,99
44.8,0.7259,99
41.02,0.7285,99
33.59,0.7461,99
54.35,0.6386,99
39.74,0.7187,99
28.8,0.8233,99
43.15,0.6076,99
42.39,0.7876,99
40.17,0.7403,99
39.25,0.6684,99
35.74,0.8992,99
41.63,0.6119,99
48.47,0.7327,99
32.79,0.846,99
40.35,0.6791,99
46.25,0.6996,99
35.32,0.6954,99
34.76,0.7383,99
51.96,0.6577,99
42.45,0.7084,99
33.89,0.7814,99
33.66,0.806,99
40.18,0.7357,99
59.32,0.5512,99
41.31,0.7375,99
36.57,0.6748,99
48.08,0.55,99
46.13,0.6774,99
36.16,0.6552,99
42.46,0.682,99
32.84,0.7165,99
38.48,0.6406,99
31.27,0.7798,99
40.22,0.7047,99
38.06,0.7626,99
49.08,0.6029,99
41.34,0.6596,99
37.64,0.7613,99
47.53,0.6222,99
52.98,0.5494,99
32.67,0.7305,99
41.08,0.7468,99
47.67,0.6849,99
38.78,0.7041,99
36.32,0.7442,99
47.11,0.6554,99
58.44,0.5881,99
34.79,0.8209,99
42.35,0.789,99
41.09,0.6451,99
48.42,0.6497,99
41.8,0.6573,99
41.16,0.7052,99
37.78,0.7218,99
45.09,0.7266,99
39.43,0.7597,99
45.62,0.588,99
40.56,0.7339,99
33.85,0.6625,99
40.79,0.6484,99
49.47,0.772,99
35.42,0.7884,99
39.55,0.7571,99
40.7,0.6954,99
40.72,0.7772,99
36.23,0.7195,99
42.23,0.7449,99
35.18,0.8531,99
33.82,0.8036,99
38.19,0.6962,99
38.59,0.6586,99
44.12,0.6793,99
30.82,0.7722,99
40.21,0.8257,99
