hERG_IC50,hERG_h,hERG_Bmax
117.2,1.215,81.69
141.8,0.8646,93.83
88.48,0.7894,88.13
163.8,0.6656,99
190.1,0.7343,99
141.6,1.389,83.89
121.2,1.062,86.44
176.7,0.7561,99
199.7,0.6367,99
121.7,0.9725,85.34
185.7,0.7488,99
87.02,0.6284,91.41
94.48,1.198,78.52
194.6,0.7915,99
173.1,0.792,95.22
169.7,0.6676,98.99
99.3,1.132,83.4
100.5,0.9389,85.32
130.4,0.64,98.77
143.1,0.955,89.94
117.2,0.917,88.2
85.13,1.361,78.31
146.9,0.5934,98.71
138.4,0.581,97.25
169.6,0.6166,98.88
181.2,0.8131,95.24
96.01,0.8904,84.63
127.5,0.8888,90.72
103.3,0.9121,87.44
76.41,1.256,79.27
175.4,0.8241,99
124.3,1.11,86.03
154.3,0.6238,98.83
141.5,0.5991,99
133.1,0.6219,98.98
201.5,0.6765,99
86.97,0.8897,86.57
120.3,1.065,86.81
93.91,0.6179,93.74
172.1,0.7004,99
197.8,0.7761,99
159.5,0.6649,98.03
175.5,0.7476,99
153.7,0.5601,98.83
208.3,0.8056,99
130.5,0.6119,98.81
171.6,0.7395,98.55
169.7,0.6642,99
151.6,0.6163,98.66
175.2,0.7182,99
99.77,0.9619,84.07
138.3,0.6288,98.86
153.8,1.015,91.14
193.9,0.7246,99
153.7,1.083,86.12
159.8,0.6833,99
179.3,0.6258,98.83
149.1,0.6452,98.88
194.2,0.7271,99
154.2,0.7121,95.37
136.9,1.022,88.64
176,0.8446,97.23
121.4,0.9575,86.17
176.5,0.8216,99
157.9,1.206,82.82
191.3,0.7349,99
110.3,1.133,83.79
136,0.8523,93.36
155.5,0.6149,98.94
209.6,0.7338,99
226.2,0.7518,99
139,0.8374,90.25
151.6,0.819,93.24
166.3,0.6524,98.98
160,0.7066,98.87
150.9,0.6598,98.09
224.1,0.8242,99
189.9,0.6916,99
105.5,1.82,74.13
163.3,0.6411,98.9
198.7,0.6798,99
84.75,0.8721,83.81
122.1,0.8518,91.29
145,0.6311,98.83
131.9,0.7955,90.42
242.7,0.8944,99
101.3,0.9977,83.68
170.1,0.667,99
165.8,0.6063,98.76
109.6,1.141,82.79
