hERG_IC50,hERG_h,hERG_Bmax
385.9,1.174,99
450.1,1.003,99
349.9,1.174,99
442.4,0.9836,99
393,1.26,99
403.7,1.09,99
332.1,1.213,99
299.5,0.9587,99
466.2,1.109,99
380.1,1.023,99
376.3,1.198,99
429.1,0.9639,99
351.6,1.224,99
419.6,1.074,99
452.4,1.153,99
407.9,1.008,99
401.4,0.9954,99
343.3,1.257,99
387.7,1.164,99
389.2,0.9411,99
369.2,1.021,99
428.5,1.265,99
364.3,1.344,99
402.4,1.254,99
381.9,1.264,99
420.9,1.115,99
413.9,1.313,99
377,1.324,99
376,1.25,99
405.9,1.195,99
394.4,1.087,99
432.8,1.081,99
281,1.197,99
442.7,1.03,99
309.8,1.301,99
359.8,1.444,99
342.1,1.131,99
395.1,1.203,99
422.9,1.145,99
380.9,1.202,99
428.1,1.378,99
390.8,1.256,99
355.4,1.014,99
410.5,1.036,99
408.3,1.167,99
347.5,0.9362,99
428.3,1.112,99
404.6,1.088,99
394.8,1.178,99
392,0.9834,99
445.7,1.124,99
357.8,1.189,99
363.7,1.256,99
452.9,1.161,99
450.6,1.157,99
442.8,1.121,99
329.8,1.319,99
407,1.04,99
368.1,1.203,99
328.4,1.301,99
377.6,1.279,99
378.2,1.368,99
403.2,1.188,99
443.2,1.017,99
439.3,1.109,99
419,1.092,99
360.1,1.203,99
373.4,1.211,99
373.9,1.244,99
414.2,1.062,99
443.1,1.262,99
376.8,1.122,99
363.2,1.055,99
458.1,0.9879,99
318.5,1.23,85.85
383.4,1.259,99
379,0.9703,99
373.1,1.267,99
339.7,1.082,99
439.5,1.123,99
399.5,1.007,99
385.3,1.161,99
394.4,1.137,99
313.6,1.086,99
372.4,1.154,99
440.9,1.068,99
377.2,1.114,99
368.6,1.255,99
425.9,1.093,99
431.6,1.109,99
406.6,1.174,99
421.4,1.015,99
438.9,1.023,99
378.8,1.129,99
265,1.301,83.75
321.1,1.259,86.23
345,1.241,99
413.5,1.059,99
281.2,1.214,99
453.3,1.213,99
398.1,1.065,99
370.2,1.145,99
454.9,1.108,99
279.4,1.27,99
423.3,1.052,99
390.7,1.206,99
405.5,1.296,99
337.9,1.033,99
385.5,1.04,99
299.7,1.351,99
416.9,1.102,99
378.8,1.382,99
364.3,1.246,99
407.6,1.041,99
365.2,1.336,99
474.7,1.149,99
391.3,1.146,99
330.7,1.06,99
453.7,1.046,99
416.9,1.148,99
342.3,1.172,99
348.4,1.244,99
382.6,0.9828,99
446,0.9671,99
405.3,0.9613,99
405.5,1.063,99
354.1,1.246,99
394.3,1.062,99
410,1.278,99
443.9,1.087,99
361.1,1.083,99
438.9,0.9404,99
387.9,1.379,99
499.9,1,99
419,1.08,99
413.7,1.051,99
364,1.354,99
396.4,1.084,99
380.7,1.196,99
360.6,1.325,99
425.9,1.195,99
356,1.231,99
349.3,0.9846,99
367.4,1.375,99
436.3,0.8832,99
352.9,1.102,99
395.5,1.233,99
389.1,1.263,99
443.2,1.304,99
422.8,0.9555,99
371.1,1.125,99
384.5,1.131,99
350.2,1.426,99
406.1,1.06,99
386,1.25,99
375.8,1.339,99
389,1.147,99
480.3,1.031,99
418.8,1.254,99
376.8,1.171,99
388.8,0.7607,99
392.4,1.222,99
366.9,1.155,99
387.4,0.9082,99
415,1.304,99
362.4,1.178,99
395.6,0.9956,99
394.2,1.244,99
429.8,0.9275,99
392.6,0.9355,99
364.3,1.341,99
434.3,1.125,99
434.8,0.9841,99
324.8,1.07,99
346.9,1.26,99
303.8,1.352,99
333.9,1.307,99
418.8,1.143,99
384.9,1.152,99
407.6,1.26,99
379,1.172,99
349.7,1.088,99
405.7,0.9611,99
366.6,1.089,99
335.1,1.228,99
360.9,1.223,89.69
387.4,1.174,99
383.6,1.176,99
419.2,1.12,99
344.1,1.223,95.49
495.1,1.153,99
416.9,1.242,99
371.4,1.179,99
350.8,1.239,99
282.5,1.281,83.4
321,1.39,99
355.6,1.24,99
298.9,1.257,99
347.8,1.301,99
375.9,1.203,99
351.1,1.293,99
415.4,0.9531,99
438.4,1.015,99
376.9,1.098,99
338.7,0.9916,99
386.6,1.164,99
425.1,0.9549,99
378.1,1.203,99
435.8,1.053,99
334.9,1.162,99
321.9,1.081,99
342.8,1.281,99
341.9,1.46,92.89
343.5,1.21,99
296.4,1.275,99
368.6,1.473,93.78
430.8,1.132,99
434.8,1.102,99
376.3,1.175,99
393.8,1.038,99
303.3,1.333,99
373.3,1.195,99
414,1.09,99
378.6,1.081,99
292.4,1.079,99
389.6,1.146,93.97
371.7,0.9356,99
459.9,0.895,99
405.7,0.9952,99
418.9,1.113,99
408.3,0.9904,99
403.6,1.243,99
425.1,1.024,99
362,1.014,99
423.8,1.083,99
366.2,1.186,99
362.6,1.236,99
397.1,1.221,99
411.1,1.264,99
437.6,0.9361,99
353.8,1.083,99
356.6,1.346,99
368.7,1.451,99
319.9,1.216,99
371,1.345,99
330.6,1.202,99
325.8,1.093,89.83
409,1.251,99
466.7,1.099,99
335,1.373,99
377.5,1.118,99
333.1,1.254,99
332.3,1.267,99
353,1.187,99
340.3,1.417,99
355.1,1.041,99
432.6,1.059,99
468.8,1.007,99
309.4,1.255,99
242.3,1.27,77.22
382.9,1.284,99
508.3,1.145,99
349.7,1.332,99
339,1.132,99
467.5,1.171,99
357.2,1.411,99
395.8,1.09,99
489.7,1.078,99
329.9,1.246,99
368.7,1.336,99
378.5,1.177,99
326.3,1.405,91.05
434.6,1.122,99
429.5,1.033,99
454.6,1.127,99
375.4,1.187,99
403.2,1.21,99
307.1,1.107,99
290.7,1.335,84.62
307.3,1.306,99
362.7,1.129,99
385.2,1.351,99
373.6,1.342,99
429.7,1.149,99
374.4,1.235,99
446.7,0.9395,99
338.4,1.172,99
338.5,1.093,99
397.5,1.026,99
355,1.207,99
393.1,1.08,99
359.8,1.186,99
369.7,1.162,99
462.2,1.031,99
382.6,1.11,99
356.2,1.206,99
384,1.053,99
356.8,1.258,99
337.9,1.104,99
353,1.202,99
399.1,1.312,99
337.9,0.9578,99
353.2,1.163,99
375.1,1.308,99
367.1,1.032,99
401.8,1.3,99
340,1.238,88.66
408.3,0.967,99
395.2,1.365,99
413.6,1.174,99
472.9,1.159,99
353.6,1.288,88.61
361,1.358,99
259.9,1.598,77.27
363.3,1.282,99
424,1.008,99
362.8,0.9598,99
382.7,0.9551,99
357.5,1.365,99
353,1.374,99
444.7,1.088,99
420.6,1.204,99
360.7,1.207,99
377.1,1.249,99
342.9,1.069,99
298,1.31,99
462.9,1.064,99
353.4,1.177,99
291.3,1.337,99
455.1,1.047,99
385.1,1.15,99
409.3,0.9234,99
318.2,1.37,99
432.1,1.109,99
451.7,1.078,99
238.3,1.328,80.01
447.5,1.128,99
341.8,0.9673,99
350.4,1.302,99
394.1,1.195,99
355.7,1.038,99
322,1.217,99
385,1.084,99
334.5,1.304,99
368.7,1.062,99
386.1,1.204,99
384.3,1.088,99
386.3,1.168,99
414.6,0.8844,99
334.2,1.236,99
425.9,1.286,99
430.2,1.186,99
323.5,1.14,99
452,0.9786,99
329.4,1.181,99
339.4,1.281,99
398.6,0.9842,99
343,1.237,90.11
397.8,1.003,99
379.1,1.312,99
394.3,1.203,99
282.9,1.181,99
361.1,1.227,99
