drug,conc,units,channel,block
loratadine,0.45,nM,ICaL,-0.095
loratadine,0.45,nM,hERG,18.304
loratadine,0.45,nM,ICaL,-22.663
loratadine,0.45,nM,hERG,8.937
loratadine,450,nM,hERG,26.613
loratadine,450,nM,hERG,17.1
loratadine,0.45,nM,ICaL,-12.24
loratadine,4.5,nM,INa,-19.465
loratadine,4.5,nM,INa,6.021
loratadine,4.5,nM,INa,-5.734
loratadine,0.45,nM,hERG,9.189
loratadine,0.45,nM,hERG,8.939
loratadine,4.5,nM,hERG,2.494
loratadine,4.5,nM,hERG,10.537
loratadine,4.5,nM,hERG,6.648
loratadine,4.5,nM,hERG,12.926
loratadine,450,nM,hERG,19.379
loratadine,4.5,nM,ICaL,-5.819
loratadine,4.5,nM,ICaL,3.274
loratadine,4.5,nM,ICaL,17.515
loratadine,450,nM,hERG,15.496
loratadine,35000,nM,hERG,104.042
loratadine,35000,nM,hERG,108.32
loratadine,450,nM,INa,-1.218
loratadine,450,nM,INa,-12.707
loratadine,450,nM,INa,-1.673
loratadine,0.45,nM,ICaL,-19.22
loratadine,4.5,nM,ICaL,10.033
loratadine,0.45,nM,INa,-11.15
loratadine,0.45,nM,INa,-1.067
loratadine,0.45,nM,INa,-1.327
loratadine,0.45,nM,INa,-11.921
loratadine,0.45,nM,INaL,8.369
loratadine,0.45,nM,INaL,20.718
loratadine,0.45,nM,INaL,15.751
loratadine,0.45,nM,INaL,5.216
loratadine,4.5,nM,INaL,-0.499
loratadine,4.5,nM,INaL,10.659
loratadine,4.5,nM,INaL,-0.576
loratadine,4.5,nM,INaL,7.831
loratadine,450,nM,INaL,10.011
loratadine,450,nM,INaL,12.043
loratadine,450,nM,INaL,25.792
loratadine,450,nM,INaL,12.58
loratadine,35000,nM,INaL,95.781
loratadine,450,nM,ICaL,9.402
loratadine,450,nM,ICaL,-1.305
loratadine,450,nM,ICaL,6.756
loratadine,450,nM,ICaL,10.296
loratadine,35000,nM,ICaL,99.937
loratadine,35000,nM,ICaL,90.048
loratadine,35000,nM,ICaL,102.495
loratadine,35000,nM,INa,78.064
loratadine,35000,nM,INa,89.077
loratadine,35000,nM,ICaL,99.87
loratadine,35000,nM,INa,68.754
loratadine,35000,nM,INaL,97.52
loratadine,35000,nM,INaL,99.98
loratadine,35000,nM,INa,78.328
loratadine,35000,nM,hERG,104.562
loratadine,35000,nM,hERG,105.153
loratadine,35000,nM,INaL,88.65
clozapine,71000,nM,hERG,108.733
clozapine,71000,nM,ICaL,103.593
clozapine,7100,nM,INaL,84.559
clozapine,71000,nM,ICaL,65.241
clozapine,71000,nM,INaL,94.311
clozapine,71000,nM,INaL,92.941
clozapine,7100,nM,INaL,86.732
clozapine,71000,nM,INaL,93.924
clozapine,71000,nM,hERG,108.144
clozapine,7100,nM,ICaL,70.399
clozapine,71000,nM,ICaL,111.326
clozapine,71000,nM,ICaL,116.068
clozapine,710,nM,hERG,42.064
clozapine,710,nM,hERG,29.56
clozapine,710,nM,hERG,35.098
clozapine,710,nM,hERG,31.393
clozapine,7100,nM,hERG,100.096
clozapine,7100,nM,hERG,94.802
clozapine,7100,nM,hERG,97.671
clozapine,71000,nM,INaL,88.55
clozapine,71000,nM,hERG,107.594
clozapine,7100,nM,ICaL,74.732
clozapine,71,nM,hERG,12.089
clozapine,7100,nM,ICaL,86.247
clozapine,71,nM,hERG,-1.17
clozapine,71,nM,hERG,-2.182
clozapine,71,nM,ICaL,-24.862
clozapine,71,nM,ICaL,-17.997
clozapine,71,nM,ICaL,33.1
clozapine,71,nM,ICaL,-24.133
clozapine,710,nM,ICaL,-22.653
clozapine,710,nM,ICaL,-31.457
clozapine,7100,nM,hERG,100.924
clozapine,71000,nM,hERG,107.857
