drug,conc,units,channel,block
dofetilide,10,nM,hERG,68.4832764780687
dofetilide,10,nM,hERG,71.1625134940626
dofetilide,10,nM,hERG,76.7049504782201
dofetilide,10,nM,hERG,62.695809565599
dofetilide,10,nM,hERG,51.967919203921
dofetilide,1,nM,hERG,22.9570548664528
dofetilide,1,nM,hERG,4.2081951795824
dofetilide,1,nM,hERG,10.965396257235
dofetilide,1,nM,hERG,18.2862503938426
dofetilide,1,nM,hERG,17.4523411289455
dofetilide,1,nM,hERG,0.987460416144104
dofetilide,1,nM,hERG,22.6008910043389
dofetilide,1,nM,hERG,10.5811945812372
dofetilide,1,nM,hERG,9.0385696615315
dofetilide,1,nM,hERG,15.768290947937
dofetilide,30,nM,hERG,71.2808349644884
dofetilide,30,nM,hERG,83.7315525219508
dofetilide,30,nM,hERG,86.2830667711856
dofetilide,30,nM,hERG,83.753156309814
dofetilide,30,nM,hERG,86.7317362102702
dofetilide,3,nM,hERG,31.4394958009168
dofetilide,3,nM,hERG,30.678432474814
dofetilide,3,nM,hERG,34.0732033837768
dofetilide,3,nM,hERG,24.9917467755506
dofetilide,3,nM,hERG,23.3898956752733
dofetilide,3,nM,hERG,30.2572169459313
cisapride,100,nM,hERG,82.9062900065779
cisapride,100,nM,hERG,73.6223799148234
cisapride,100,nM,hERG,59.6851320827259
cisapride,10,nM,hERG,61.3448428450211
cisapride,10,nM,hERG,61.2147743805934
cisapride,10,nM,hERG,46.1571390646432
cisapride,10,nM,hERG,45.8777838157343
cisapride,10,nM,hERG,52.1988501734183
cisapride,10,nM,hERG,63.3462139626924
cisapride,10,nM,hERG,62.4013960126785
cisapride,1,nM,hERG,14.5653863849095
cisapride,1,nM,hERG,15.7707740474712
cisapride,1,nM,hERG,18.1051373351565
cisapride,1,nM,hERG,9.5927000092268
cisapride,1,nM,hERG,3.0491361072526
cisapride,1,nM,hERG,1.233820126444
cisapride,1,nM,hERG,14.0336659025109
cisapride,300,nM,hERG,87.3452371882523
cisapride,300,nM,hERG,77.2749643318582
cisapride,300,nM,hERG,87.325686083444
cisapride,300,nM,hERG,83.5493709959945
cisapride,300,nM,hERG,80.7140720845404
bepridil,100,nM,hERG,58.8063075420558
bepridil,100,nM,hERG,55.9267963953642
bepridil,100,nM,hERG,59.6115776586667
bepridil,100,nM,hERG,65.6038211551361
bepridil,100,nM,hERG,70.7783397303015
bepridil,10,nM,hERG,30.7881382255679
bepridil,10,nM,hERG,20.6479855847827
bepridil,10,nM,hERG,-1.37863822879101
bepridil,10,nM,hERG,14.6567299006323
bepridil,10,nM,hERG,8.7008471804219
bepridil,10,nM,hERG,19.1601298670521
bepridil,300,nM,hERG,87.4381965072257
bepridil,300,nM,hERG,86.8986866037481
bepridil,300,nM,hERG,84.5465637161916
bepridil,300,nM,hERG,80.9053287059412
bepridil,30,nM,hERG,54.7128690896985
bepridil,30,nM,hERG,47.0302973353764
bepridil,30,nM,hERG,47.7775897040133
bepridil,30,nM,hERG,30.5230489207687
bepridil,30,nM,hERG,31.2983002521629
bepridil,30,nM,hERG,35.8565663085918
verapamil,1000,nM,hERG,69.1515684485932
verapamil,1000,nM,hERG,75.5454014610463
verapamil,1000,nM,hERG,75.323944260345
verapamil,1000,nM,hERG,93.5766667758051
verapamil,100,nM,hERG,19.2895662921879
verapamil,100,nM,hERG,29.5389655722115
verapamil,100,nM,hERG,31.2721004526078
verapamil,100,nM,hERG,32.9502215946087
verapamil,100,nM,hERG,29.3440164366705
verapamil,300,nM,hERG,37.6947020546191
verapamil,300,nM,hERG,54.6927476173293
verapamil,300,nM,hERG,47.0727557317332
verapamil,300,nM,hERG,53.0371836252054
verapamil,300,nM,hERG,43.8183196596065
verapamil,30,nM,hERG,17.352128585438
verapamil,30,nM,hERG,4.9095175926587
verapamil,30,nM,hERG,1.1802535139315
verapamil,30,nM,hERG,28.2649477258646
verapamil,30,nM,hERG,10.5237391563191
verapamil,30,nM,hERG,1.689231301939
terfenadine,100,nM,hERG,82.9030108189839
terfenadine,100,nM,hERG,83.4380907729768
terfenadine,100,nM,hERG,74.9584911376092
terfenadine,100,nM,hERG,86.1809455282992
terfenadine,100,nM,hERG,80.0022842937378
terfenadine,100,nM,hERG,57.4461295363094
terfenadine,10,nM,hERG,57.3103907171124
terfenadine,10,nM,hERG,34.377535589606
terfenadine,10,nM,hERG,39.7751847668163
terfenadine,10,nM,hERG,31.0906041726406
terfenadine,10,nM,hERG,40.9056746685927
terfenadine,10,nM,hERG,45.2823930596296
terfenadine,10,nM,hERG,43.9590623471422
terfenadine,10,nM,hERG,43.8774503207285
terfenadine,30,nM,hERG,61.5218875541747
terfenadine,30,nM,hERG,59.7168990699912
terfenadine,30,nM,hERG,35.7091058016153
terfenadine,30,nM,hERG,34.8496448397916
terfenadine,30,nM,hERG,44.3476191116337
terfenadine,30,nM,hERG,49.202814741945
terfenadine,30,nM,hERG,58.0651342598012
terfenadine,3,nM,hERG,20.3990483193678
terfenadine,3,nM,hERG,24.9827188631423
terfenadine,3,nM,hERG,28.8398902888489
terfenadine,3,nM,hERG,25.2488657557556
terfenadine,3,nM,hERG,21.5961524627732
ranolazine,1e+05,nM,hERG,86.3667611909984
ranolazine,1e+05,nM,hERG,89.9136109423191
ranolazine,1e+05,nM,hERG,84.5364135017363
ranolazine,1e+05,nM,hERG,89.3369398697817
ranolazine,1e+05,nM,hERG,92.4919563365207
ranolazine,10000,nM,hERG,57.0232629883915
ranolazine,10000,nM,hERG,56.754962715708
ranolazine,10000,nM,hERG,56.119550536766
ranolazine,10000,nM,hERG,51.6803667282506
ranolazine,10000,nM,hERG,54.6960234794095
ranolazine,10000,nM,hERG,55.9644916117944
ranolazine,1000,nM,hERG,16.4639464013486
ranolazine,1000,nM,hERG,16.4871931716682
ranolazine,1000,nM,hERG,8.9427329977494
ranolazine,1000,nM,hERG,13.9040569717806
ranolazine,1000,nM,hERG,9.6434580145786
ranolazine,1000,nM,hERG,18.1472407413489
ranolazine,1000,nM,hERG,9.3470984792675
ranolazine,30000,nM,hERG,77.4919464998065
ranolazine,30000,nM,hERG,77.2814954866707
ranolazine,30000,nM,hERG,70.7613349186781
ranolazine,30000,nM,hERG,69.6682643442051
ranolazine,30000,nM,hERG,78.1465676147183
sotalol,1e+05,nM,hERG,58.4730775618668
sotalol,1e+05,nM,hERG,49.9331262245572
sotalol,1e+05,nM,hERG,34.045668199214
sotalol,1e+05,nM,hERG,44.8790954809878
sotalol,10000,nM,hERG,21.9216672125368
sotalol,10000,nM,hERG,16.56485183919
sotalol,10000,nM,hERG,11.9850550706838
sotalol,10000,nM,hERG,15.0724404234565
sotalol,10000,nM,hERG,15.7196938826358
sotalol,10000,nM,hERG,14.0874025093252
sotalol,10000,nM,hERG,13.7573152701698
sotalol,10000,nM,hERG,6.6523311387052
sotalol,3e+05,nM,hERG,62.4544610550556
sotalol,3e+05,nM,hERG,78.9527264674465
sotalol,3e+05,nM,hERG,72.3386557121083
sotalol,3e+05,nM,hERG,69.5400339257258
sotalol,30000,nM,hERG,20.3312190793515
sotalol,30000,nM,hERG,33.3084715636478
sotalol,30000,nM,hERG,27.6850439410334
sotalol,30000,nM,hERG,27.3961699781972
sotalol,30000,nM,hERG,35.3904841668386
sotalol,30000,nM,hERG,14.6377992670368
mexiletine,1e+05,nM,hERG,80.7332378423558
mexiletine,1e+05,nM,hERG,82.096935900532
mexiletine,1e+05,nM,hERG,82.6303424747057
mexiletine,1e+05,nM,hERG,73.7125889131603
