ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
719.8,5.258,628,5.789,148100,0.4699,NA,NA,NA,NA,471000,0.2132,9.006,0.839
492400000,5.96,2218,1.597,1167000,0.3622,NA,NA,NA,NA,92050,0.2698,12.78,0.557
2719000,1.071,136400,8.94,1380000,0.4112,NA,NA,NA,NA,405100,0.2001,11.63,0.6406
514500000,8.373,41870,2.524,1380000,0.4112,NA,NA,NA,NA,5e+08,0.1414,16.88,0.5979
19750000,6.677,486400,0.3595,1380000,0.4112,NA,NA,NA,NA,27580,0.3463,14.14,0.5721
195600,0.6972,486400,0.3595,33830000,0.3318,NA,NA,NA,NA,120700,0.2515,10.32,0.6242
21920000,2.137,107400,0.4823,33830000,0.3318,NA,NA,NA,NA,202800,0.2189,12.44,0.5002
14960,7.979,288800,0.3219,33830000,0.3318,NA,NA,NA,NA,25180,0.2981,21.87,0.5105
70290,2.012,396900,0.3719,241100,0.5849,NA,NA,NA,NA,19350,0.3363,13.88,0.7057
32580,4.144,935500,0.3818,106400,6.484,NA,NA,NA,NA,40700,0.2516,12.14,0.6746
120600,8.344,289600,0.3769,92710000,5.04,NA,NA,NA,NA,444100,0.2184,10.64,0.7569
11720000,7.8,289600,0.3769,2438000,2.786,NA,NA,NA,NA,189100,0.2575,13.67,0.5702
6.734e+09,9.197,1341000,3.772,591800,1.551,NA,NA,NA,NA,22330,0.3442,12.82,0.5816
386900000,2.933,428600000,1.479,658400000,2.375,NA,NA,NA,NA,53590,0.3678,9.546,0.6389
463.3,3.838,489,8.183,153500000,0.6464,NA,NA,NA,NA,91740000,0.1412,12.9,0.6076
1238,2.985,23810,6.398,1.261e+09,0.5131,NA,NA,NA,NA,1.882e+09,0.1339,9.88,0.6424
177200000,8.234,229.3,5.392,1.96e+08,0.2745,NA,NA,NA,NA,27170,0.344,11.87,0.5692
213400,9.624,231000,9.933,1.96e+08,0.2745,NA,NA,NA,NA,52260,0.2789,11.26,0.6532
186700000,7.231,4.417e+09,4.952,6517000,1.995,NA,NA,NA,NA,14190,0.3567,13.65,0.6265
5638,3.689,2941,6.546,1471000,0.4526,NA,NA,NA,NA,369200,0.2577,10.74,0.5598
318100000,0.7378,97620,9.339,1869000,0.4146,NA,NA,NA,NA,506800,0.2119,20.17,0.5724
674600000,6.732,1301,5.694,21430000,0.3513,NA,NA,NA,NA,70880,0.2715,17.74,0.5489
5444,2.514,166300,9.474,21430000,0.3513,NA,NA,NA,NA,148500000,0.1607,9.333,0.7005
31510000,8.598,323.1,1.907,21430000,0.3513,NA,NA,NA,NA,22230000,0.168,11.31,0.7487
31510000,8.598,135600,6.877,6219000,0.3352,NA,NA,NA,NA,5224000,0.2003,11.07,0.6754
15220,7.793,18170,0.6432,6219000,0.3352,NA,NA,NA,NA,6424000,0.1733,7.7,0.5697
1096000,3.67,3310,0.87,506.7,7.022,NA,NA,NA,NA,502200,0.2029,7.973,0.7191
807100,5.292,2.476e+09,9.482,208.1,7.517,NA,NA,NA,NA,434300,0.2107,11.15,0.7516
51570000,4.367,1454,7.897,1.5e+09,9.994,NA,NA,NA,NA,79060,0.2561,8.44,0.7196
462100,4.739,294300,8.551,30880,4.369,NA,NA,NA,NA,62340,0.3119,9.99,0.6009
4208,1.521,1.333e+09,1.338,248.3,8.611,NA,NA,NA,NA,14780,0.3466,14.61,0.6139
833.3,2.575,12870000,9.785,123600,6.455,NA,NA,NA,NA,59420,0.3028,13.69,0.5614
