ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
89.69,0.7018,NA,NA,NA,NA,91090,0.7113,20050,0.6317,68980000,0.2041,13600,0.9247
94.14,0.4895,NA,NA,NA,NA,91090,0.7113,19210,0.7724,379800000,0.1931,13400,0.9748
130.5,0.9987,NA,NA,NA,NA,28190,2.137,20360,0.736,4200000,0.285,13750,0.8799
110.5,0.8141,NA,NA,NA,NA,122100,0.6056,18820,0.7802,1.458e+09,0.183,13330,0.9094
83.55,0.8883,NA,NA,NA,NA,299500,0.5012,21920,0.7052,1103000,0.3728,13030,0.9148
142.9,0.9778,NA,NA,NA,NA,282200,0.471,40800,0.4847,91770000,0.2252,12940,0.9307
115.6,0.6772,NA,NA,NA,NA,271500,0.4664,42400,0.5338,261200000,0.1889,12950,0.9391
109.6,0.7523,NA,NA,NA,NA,314600,0.4836,27680,0.5551,3.043e+09,0.2017,12590,0.9518
113.1,0.8585,NA,NA,NA,NA,283700,0.4916,19540,0.8833,3.44e+09,0.1619,13500,0.9601
160.6,0.7883,NA,NA,NA,NA,283700,0.4916,18660,0.7544,1.009e+09,0.1845,13300,0.8918
120.9,0.6398,NA,NA,NA,NA,351100,0.5163,21280,0.7083,344300000,0.197,14100,0.91
110.8,0.5596,NA,NA,NA,NA,351100,0.5163,23360,0.6364,29430000,0.2594,13030,0.9038
111.1,0.733,NA,NA,NA,NA,351100,0.5163,19810,0.6283,143200000,0.2399,13380,0.8767
76.86,0.6198,NA,NA,NA,NA,346000,0.4484,20800,0.7303,219100000,0.1925,11990,0.9053
124.2,0.8159,NA,NA,NA,NA,251200,0.5078,20870,0.6399,4372000,0.3275,12870,0.8536
136.7,0.7962,NA,NA,NA,NA,207200,0.6222,21620,0.6449,178400000,0.2222,13070,0.91
166.2,0.5497,NA,NA,NA,NA,222700,0.6816,23870,0.6526,114100000,0.1969,13480,0.9326
87.19,0.6324,NA,NA,NA,NA,222700,0.6816,21110,0.5771,796700000,0.1719,12670,0.8987
85.69,0.6583,NA,NA,NA,NA,106800,0.8353,22870,0.6735,9227000,0.2668,12240,1.017
143,0.6288,NA,NA,NA,NA,106800,0.8353,20500,0.6985,98520000,0.2277,12860,0.9298
130.4,0.6089,NA,NA,NA,NA,118000,0.7241,25530,0.6237,298700000,0.1813,13470,0.9185
126.8,0.8874,NA,NA,NA,NA,118000,0.7241,20000,0.6893,65140000,0.2311,13060,0.937
103.2,0.6632,NA,NA,NA,NA,22130,2.669,21570,0.7739,7.445e+09,0.1643,13150,0.9273
114.2,0.7876,NA,NA,NA,NA,22470,2.591,24250,0.6571,714500000,0.1942,12930,0.9152
150.8,1.22,NA,NA,NA,NA,29310,1.592,19110,0.787,2133000,0.3179,12740,0.9524
132.8,0.7866,NA,NA,NA,NA,21120,3.23,24920,0.579,867200000,0.1915,12180,0.9112
85.89,0.6523,NA,NA,NA,NA,21450,3.288,20790,0.6762,542500000,0.1838,12560,0.9034
103.1,0.6727,NA,NA,NA,NA,29380,1.705,17260,0.7605,68570000,0.2141,12940,0.9178
126.5,0.6946,NA,NA,NA,NA,23770,2.942,22480,0.7481,2.311e+09,0.1659,13270,0.8594
136.3,0.7448,NA,NA,NA,NA,43060,1.152,18750,0.7855,106900000,0.2066,13270,0.9018
80.59,0.6029,NA,NA,NA,NA,36860,1.139,22530,0.7691,533200000,0.1988,12470,0.8639
116.4,0.8706,NA,NA,NA,NA,14960,9.086,15870,0.9412,293400000,0.1885,13360,0.9221
97.01,0.6823,NA,NA,NA,NA,14500,9.293,21450,0.5882,743200000,0.2069,13330,0.9037
95.56,0.8482,NA,NA,NA,NA,14740,9.488,20220,0.6746,602500000,0.1875,12670,0.9061
119.2,0.6514,NA,NA,NA,NA,14740,9.488,19740,0.7492,526600000,0.2004,12950,0.8732
113.6,0.8167,NA,NA,NA,NA,14330,9.343,19480,0.7919,7.606e+09,0.1486,12610,0.8812
62.6,0.5863,NA,NA,NA,NA,14360,8.976,23870,0.6884,35860000,0.2355,12900,0.9125
109.1,0.8961,NA,NA,NA,NA,14590,9.497,19000,0.7151,46420000,0.2354,13130,0.8637
112.3,1.039,NA,NA,NA,NA,14590,9.497,21280,0.7049,2.731e+09,0.1649,12790,0.9796
141.9,0.6941,NA,NA,NA,NA,14590,9.497,24470,0.6716,7.283e+09,0.1545,13160,0.9244
126.8,0.9896,NA,NA,NA,NA,14740,9.337,24260,0.6814,5.476e+09,0.1726,13330,0.9069
103.1,0.6417,NA,NA,NA,NA,14740,9.337,33520,0.5172,59100000,0.2565,13590,0.9106
122.7,0.7759,NA,NA,NA,NA,15200,8.166,24680,0.6597,292500000,0.1942,13870,0.9279
90.1,0.5652,NA,NA,NA,NA,15200,8.166,21880,0.7531,17830000,0.2623,13380,0.8529
120.3,0.8404,NA,NA,NA,NA,15300,7.995,19700,0.7995,137300000,0.2283,12840,0.8837
102.8,0.7201,NA,NA,NA,NA,15070,9.396,23690,0.646,448900000,0.1648,12580,0.9718
113.4,0.7512,NA,NA,NA,NA,15070,9.396,22480,0.6331,611100000,0.1836,13060,0.9213
70.21,0.818,NA,NA,NA,NA,15070,9.396,22580,0.5975,468900000,0.2143,12940,0.9205
121.6,0.6516,NA,NA,NA,NA,15760,6.215,24430,0.6325,4046000,0.295,13130,0.9118
121,0.6979,NA,NA,NA,NA,16420,6.316,20490,0.6581,42010000,0.2372,13360,0.8996
94.79,0.8263,NA,NA,NA,NA,15120,8.33,18570,0.6295,131200000,0.2275,13550,0.9198
101.6,0.6823,NA,NA,NA,NA,15120,8.33,23140,0.5947,2.149e+09,0.1856,12410,0.9375
111,0.876,NA,NA,NA,NA,15120,8.33,23690,0.6667,7608000,0.3148,12610,0.9565
157.4,1.056,NA,NA,NA,NA,15120,8.33,17490,0.6905,18280000,0.2582,13070,0.9381
107.4,0.9213,NA,NA,NA,NA,15460,8.347,22640,0.6245,1.008e+09,0.2136,12410,0.9378
86.73,0.6309,NA,NA,NA,NA,15220,7.939,20690,0.5759,804100000,0.2156,13710,0.9362
101.7,0.7411,NA,NA,NA,NA,15100,7.596,20600,0.6962,1.341e+09,0.183,13020,0.9474
133.3,0.7516,NA,NA,NA,NA,68930,0.9419,30780,0.6419,109800000,0.2251,12820,0.8775
130.6,0.6404,NA,NA,NA,NA,82340,0.8306,17780,0.8777,76680000,0.2323,12630,0.8821
115.9,0.7068,NA,NA,NA,NA,82340,0.8306,19790,0.81,190100000,0.2269,12310,0.8799
127.5,0.6024,NA,NA,NA,NA,91140,0.7546,17050,0.7077,515800000,0.2052,13230,0.9276
139.1,0.7791,NA,NA,NA,NA,97670,0.8059,19520,0.5895,2.947e+09,0.1561,13150,0.9847
159.9,0.6689,NA,NA,NA,NA,103400,0.7538,19130,0.599,718200000,0.1807,13810,0.8767
74.18,0.5862,NA,NA,NA,NA,102400,0.7328,20510,0.6917,2004000,0.2817,12690,0.9385
148,0.554,NA,NA,NA,NA,102400,0.7328,28090,0.6276,94150000,0.2144,12590,0.9154
149.9,0.7597,NA,NA,NA,NA,79480,0.9529,21710,0.7144,459400000,0.2011,12780,0.9047
97.35,0.551,NA,NA,NA,NA,104100,0.6988,26250,0.5797,392700000,0.2013,13600,0.9144
108.1,0.7557,NA,NA,NA,NA,92480,0.7261,23720,0.7108,628200000,0.1871,13110,0.9478
96.16,0.7408,NA,NA,NA,NA,119500,0.6685,17870,0.7878,55150000,0.2292,12340,0.9231
116,0.6023,NA,NA,NA,NA,119500,0.6685,22340,0.6985,6744000,0.3314,13690,0.938
85.66,0.8701,NA,NA,NA,NA,119500,0.6685,25070,0.6768,170700000,0.2244,13450,0.8959
138.3,0.8626,NA,NA,NA,NA,140000,0.6274,21620,0.6846,136400000,0.2288,12980,0.9431
117.2,0.5903,NA,NA,NA,NA,71620,0.8218,24990,0.6248,1896000,0.3016,13970,0.9135
100.7,0.8401,NA,NA,NA,NA,59800,1.036,23390,0.6586,918800000,0.208,13020,0.8935
153.6,0.5538,NA,NA,NA,NA,59800,1.036,21910,0.699,1.673e+09,0.1841,13370,0.9022
108,0.6786,NA,NA,NA,NA,58580,0.9198,20330,0.6908,10700000,0.3098,12800,0.9077
103.9,0.8732,NA,NA,NA,NA,55400,1,18200,0.6531,1.086e+09,0.1699,14350,0.9
115.3,0.8277,NA,NA,NA,NA,68250,0.9147,25900,0.6676,2.628e+09,0.1583,13310,0.8786
117.2,0.8618,NA,NA,NA,NA,68250,0.9147,21420,0.6506,242100000,0.2015,13110,0.9263
169.5,0.7056,NA,NA,NA,NA,79260,0.8858,20600,0.7301,20890000,0.248,13850,0.8811
136.1,0.6913,NA,NA,NA,NA,53890,1.222,15430,0.7721,5.911e+09,0.1644,13630,0.9399
91.87,0.8369,NA,NA,NA,NA,17700,5.174,23850,0.6474,8.618e+09,0.1584,12440,0.8911
107.8,0.5344,NA,NA,NA,NA,100900,0.6965,21890,0.639,6.853e+09,0.1628,13410,0.8956
88.67,0.8836,NA,NA,NA,NA,100900,0.6965,26380,0.5461,621600000,0.1811,12960,0.9135
97.97,0.6252,NA,NA,NA,NA,100900,0.6965,26370,0.7327,24130000,0.2551,12970,0.9159
110.6,0.5535,NA,NA,NA,NA,120400,0.7149,17240,0.9139,2.299e+09,0.1677,13340,0.9547
120.2,0.884,NA,NA,NA,NA,139600,0.7523,21590,0.7461,9.137e+09,0.1542,13460,0.9242
97.9,0.6034,NA,NA,NA,NA,139600,0.7523,29120,0.6287,2.625e+09,0.1736,13540,0.9386
112.2,0.9738,NA,NA,NA,NA,139600,0.7523,19500,0.7771,134300000,0.2394,13240,0.9203
124.6,0.6314,NA,NA,NA,NA,149300,0.552,21520,0.6735,180900000,0.2322,12090,0.8996
116.3,0.5785,NA,NA,NA,NA,149300,0.552,25490,0.6007,364200000,0.2238,13150,0.9333
106.3,0.6988,NA,NA,NA,NA,16820,4.896,25530,0.5764,143200000,0.2144,13640,0.8975
134.7,0.9214,NA,NA,NA,NA,16510,5.992,23530,0.6504,955600000,0.1888,12840,0.9586
87.26,0.8276,NA,NA,NA,NA,17120,4.654,21640,0.7593,942600000,0.1878,13020,0.9127
100.2,0.791,NA,NA,NA,NA,70730,0.8999,20550,0.6561,3.745e+09,0.1774,13520,0.9023
129.4,0.7947,NA,NA,NA,NA,91970,0.7422,15630,0.9569,3.432e+09,0.177,13220,0.9382
132.2,0.6164,NA,NA,NA,NA,78010,0.8793,21400,0.7289,1.444e+09,0.1665,12680,0.8755
90.11,0.7262,NA,NA,NA,NA,16730,5.944,18630,0.7341,9.829e+09,0.1728,13300,0.9195
