ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
17620,1.799,NA,NA,NA,NA,NA,NA,7047,1.679,NA,NA,28640,0.9474
44740,0.9352,NA,NA,NA,NA,NA,NA,8469,1.537,NA,NA,26740,0.923
32900,1.185,NA,NA,NA,NA,NA,NA,8886,1.675,NA,NA,30170,0.8632
38390,1.045,NA,NA,NA,NA,NA,NA,9152,1.383,NA,NA,29590,0.9416
37760,1.061,NA,NA,NA,NA,NA,NA,9068,1.653,NA,NA,28000,0.9099
28930,1.152,NA,NA,NA,NA,NA,NA,9745,1.313,NA,NA,28700,0.9428
33550,1.13,NA,NA,NA,NA,NA,NA,10150,1.205,NA,NA,28490,0.9068
64500,0.8037,NA,NA,NA,NA,NA,NA,8684,1.993,NA,NA,29030,0.9185
32940,1.057,NA,NA,NA,NA,NA,NA,8447,1.975,NA,NA,34780,0.8171
29600,1.206,NA,NA,NA,NA,NA,NA,9284,1.333,NA,NA,31710,0.9174
47020,0.997,NA,NA,NA,NA,NA,NA,9235,1.31,NA,NA,29760,0.8601
30710,1.161,NA,NA,NA,NA,NA,NA,9359,1.29,NA,NA,30490,0.848
42770,1.011,NA,NA,NA,NA,NA,NA,10340,1.105,NA,NA,28020,0.889
36120,1.049,NA,NA,NA,NA,NA,NA,9154,1.931,NA,NA,28030,0.9701
24480,1.368,NA,NA,NA,NA,NA,NA,9494,1.715,NA,NA,27780,0.9073
26520,1.343,NA,NA,NA,NA,NA,NA,9241,1.673,NA,NA,28480,0.9775
41370,1.023,NA,NA,NA,NA,NA,NA,9051,1.154,NA,NA,29630,0.8778
41640,0.9613,NA,NA,NA,NA,NA,NA,8799,1.253,NA,NA,30100,0.9121
25010,1.262,NA,NA,NA,NA,NA,NA,9155,1.441,NA,NA,27870,0.9343
56010,0.8904,NA,NA,NA,NA,NA,NA,8073,1.307,NA,NA,29900,0.93
30760,1.194,NA,NA,NA,NA,NA,NA,7747,1.643,NA,NA,29550,0.91
34640,1.112,NA,NA,NA,NA,NA,NA,9883,1.185,NA,NA,27080,0.8641
34750,0.9513,NA,NA,NA,NA,NA,NA,8193,1.372,NA,NA,29540,0.8501
45170,0.8793,NA,NA,NA,NA,NA,NA,9968,0.9772,NA,NA,30200,0.8194
40840,1.105,NA,NA,NA,NA,NA,NA,8536,1.538,NA,NA,28210,0.9262
64090,0.8356,NA,NA,NA,NA,NA,NA,8778,1.278,NA,NA,27460,0.9415
180900,0.6422,NA,NA,NA,NA,NA,NA,9132,1.429,NA,NA,27960,0.89
26380,1.342,NA,NA,NA,NA,NA,NA,8165,1.452,NA,NA,29570,1.006
75480,0.7831,NA,NA,NA,NA,NA,NA,8764,1.386,NA,NA,32240,0.9762
40930,0.9877,NA,NA,NA,NA,NA,NA,8141,1.545,NA,NA,25830,0.9018
46900,0.9281,NA,NA,NA,NA,NA,NA,8099,1.623,NA,NA,27360,0.8804
41870,1.004,NA,NA,NA,NA,NA,NA,9228,1.325,NA,NA,29720,0.8307
71430,0.8692,NA,NA,NA,NA,NA,NA,8248,1.447,NA,NA,27820,0.9111
32760,1.157,NA,NA,NA,NA,NA,NA,7949,1.43,NA,NA,32290,0.8537
54570,0.9216,NA,NA,NA,NA,NA,NA,9520,1.226,NA,NA,26610,0.8656
33220,1.165,NA,NA,NA,NA,NA,NA,8375,1.401,NA,NA,31100,0.9743
48190,0.8897,NA,NA,NA,NA,NA,NA,7592,1.611,NA,NA,32170,0.924
94390,0.7012,NA,NA,NA,NA,NA,NA,11420,1.129,NA,NA,28550,0.9396
21710,1.63,NA,NA,NA,NA,NA,NA,10240,1.254,NA,NA,31120,0.963
34320,1.048,NA,NA,NA,NA,NA,NA,8813,1.215,NA,NA,27250,0.8614
113800,0.6635,NA,NA,NA,NA,NA,NA,8639,1.27,NA,NA,32430,0.8762
120600,0.6953,NA,NA,NA,NA,NA,NA,8282,1.496,NA,NA,30830,0.9671
30680,1.075,NA,NA,NA,NA,NA,NA,8549,1.499,NA,NA,30820,0.9932
23370,1.409,NA,NA,NA,NA,NA,NA,9361,1.531,NA,NA,28510,0.841
54370,0.7954,NA,NA,NA,NA,NA,NA,8119,1.423,NA,NA,27150,0.8336
57510,0.7845,NA,NA,NA,NA,NA,NA,8653,1.649,NA,NA,29420,0.8721
32500,1.041,NA,NA,NA,NA,NA,NA,10510,1.152,NA,NA,31900,0.7956
38090,1.013,NA,NA,NA,NA,NA,NA,8403,1.342,NA,NA,28370,0.8613
27520,1.299,NA,NA,NA,NA,NA,NA,9283,1.318,NA,NA,26760,0.8924
60400,0.8133,NA,NA,NA,NA,NA,NA,10220,1.291,NA,NA,31890,0.8392
87650,0.7171,NA,NA,NA,NA,NA,NA,9577,1.675,NA,NA,31340,0.9039
35970,1.093,NA,NA,NA,NA,NA,NA,9698,1.428,NA,NA,29920,0.9132
53650,0.9477,NA,NA,NA,NA,NA,NA,10560,1.119,NA,NA,30070,0.9597
57870,0.7907,NA,NA,NA,NA,NA,NA,7971,1.652,NA,NA,28510,0.8353
46820,0.9852,NA,NA,NA,NA,NA,NA,8124,1.666,NA,NA,31070,0.9245
46220,0.978,NA,NA,NA,NA,NA,NA,8554,1.785,NA,NA,29580,0.8603
32120,1.041,NA,NA,NA,NA,NA,NA,10380,1.229,NA,NA,28050,0.8999
32600,1.203,NA,NA,NA,NA,NA,NA,9890,1.272,NA,NA,29850,0.915
27000,1.32,NA,NA,NA,NA,NA,NA,8511,1.097,NA,NA,31920,0.876
51870,0.9415,NA,NA,NA,NA,NA,NA,9310,1.177,NA,NA,35620,0.9355
25300,1.367,NA,NA,NA,NA,NA,NA,9861,1.129,NA,NA,27690,0.9236
29910,1.278,NA,NA,NA,NA,NA,NA,9087,1.59,NA,NA,30950,0.8324
45070,0.9629,NA,NA,NA,NA,NA,NA,7941,1.673,NA,NA,28450,0.9583
43500,0.9237,NA,NA,NA,NA,NA,NA,8567,1.438,NA,NA,28030,0.9061
71320,0.7893,NA,NA,NA,NA,NA,NA,7628,1.889,NA,NA,28970,0.8461
42260,0.9685,NA,NA,NA,NA,NA,NA,8753,1.349,NA,NA,27980,0.9156
29610,1.152,NA,NA,NA,NA,NA,NA,8492,1.082,NA,NA,28400,0.8969
