ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
31430,0.7671,NA,NA,608700,0.6107,52130,0.916,24550,0.778,63380,2.892,1361,0.8112
27480,0.8353,NA,NA,320800,0.7782,46570,1.401,21640,1.109,46940,4.915,1286,0.896
19010,0.8637,NA,NA,473900,0.7131,40540,2.113,18960,1.068,69150,5.988,1362,0.9615
22670,0.8274,NA,NA,1004000,0.5621,31410,2.958,19910,0.9559,439600,6.199,1333,0.9302
22340,0.8479,NA,NA,340700,0.7889,23030,3.769,18880,1.237,378800,2.501,1327,0.8993
24370,0.7331,NA,NA,169800,0.969,23350,9.613,18040,1.136,61500,4.627,1438,0.85
21620,0.7344,NA,NA,555100,0.6585,21790,9.737,18680,1.163,2703000,1.406,1314,0.9386
20010,0.8844,NA,NA,1218000,0.5452,23730,8.124,19380,0.9724,265500,5.888,1361,0.8585
24050,0.8215,NA,NA,208900,0.9199,32980,2.588,17360,1.065,107600,2.764,1364,0.9449
21310,0.6483,NA,NA,279200,0.8501,32920,2.069,19370,1.264,145100,2.165,1194,0.8927
20880,0.7798,NA,NA,1028000,0.5364,24040,6.835,16140,1.074,193600,1.899,1277,0.9589
28330,0.6216,NA,NA,409400,0.6953,23080,7.561,18060,1.086,451100,1.093,1300,0.8666
19840,0.9463,NA,NA,444800,0.7456,47820,1.723,15710,1.188,100100,2.842,1407,0.987
19890,0.9109,NA,NA,155700,1.034,62760,1.013,21750,1.086,45020000,0.5136,1379,0.9137
24830,0.7292,NA,NA,1987000,0.5427,59950,0.9521,19450,1.078,4.66e+09,8.748,1359,0.9249
25410,0.7873,NA,NA,194300,0.844,88880,0.8715,19000,1.148,408200,1.261,1379,0.822
15120,0.8694,NA,NA,419100,0.7446,30720,1.998,18570,1.051,6020000,5.297,1399,0.914
24480,0.7252,NA,NA,1970000,0.5002,36170,1.644,19640,1.009,176000,4.116,1266,0.915
27290,0.8293,NA,NA,717800,0.5882,54360,1.15,18260,1.1,268800,3.845,1282,0.8408
22290,0.7152,NA,NA,599800,0.7021,65670,0.8858,17760,1.282,689800,3.468,1466,1.045
21670,0.6094,NA,NA,3787000,0.4605,33860,1.408,20340,0.9784,87880000,7.448,1314,0.955
29220,0.6462,NA,NA,2402000,0.5166,38300,1.071,17990,1.307,2.515e+09,9.12,1312,0.9471
16080,0.8226,NA,NA,1193000,0.5568,26950,3.052,24050,0.9566,7.122e+09,3.174,1289,0.9483
24900,0.6202,NA,NA,1070000,0.5952,41800,1.57,21230,1.025,42430000,0.6576,1302,0.9669
28540,0.6093,NA,NA,137000,1.108,67630,0.9073,20990,1.022,1.069e+09,7.752,1345,0.8909
22780,0.742,NA,NA,664100,0.586,32160,2.21,21530,0.9063,92410000,8.267,1385,0.8331
18700,0.774,NA,NA,456300,0.7089,24080,6.402,20430,1.157,1999000,3.38,1406,0.8765
14040,0.8624,NA,NA,541100,0.6372,25940,5.96,18400,1.048,11380000,1.9,1342,0.8984
19560,0.8574,NA,NA,1103000,0.5347,24030,6.279,18150,1.175,369400,8.835,1291,0.969
31220,0.65,NA,NA,5872000,0.4072,23930,6.947,16800,1.099,1.34e+08,4.75,1385,0.9708
27930,0.6882,NA,NA,4499000,0.4293,24560,6.514,17050,0.8596,8.445e+09,3.66,1291,0.8974
20360,0.8712,NA,NA,1475000,0.5204,47040,1.261,17620,0.9926,545400000,1.717,1340,0.8883
19670,0.8372,NA,NA,925000,0.5666,45320,1.535,17810,0.9772,60080000,0.5071,1380,0.8808
22820,0.8445,NA,NA,414600,0.7532,25670,1.834,17970,0.8556,60080000,0.5071,1254,0.9092
25290,0.7111,NA,NA,1541000,0.505,106200,1.064,14930,1.243,6391000,9.071,1268,0.8615
19930,0.8243,NA,NA,972300,0.5998,68950,1.419,17850,1.167,456100000,0.5032,1278,0.994
20400,0.8414,NA,NA,453200,0.7023,80080,0.7582,20210,1.083,88670000,3.913,1393,0.9702
62990,0.542,NA,NA,257400,0.8957,72320,0.8792,18360,1.065,234100,9.668,1316,0.9439
23860,0.8769,NA,NA,1205000,0.5798,51360,1.277,23400,0.8195,137700000,3.629,1280,0.9092
20810,0.8076,NA,NA,1670000,0.5543,59220,1.463,18600,1.114,197600,9.012,1273,0.8854
18910,0.8522,NA,NA,415100,0.645,52870,1.183,19950,1.178,213300000,6.281,1348,0.9614
25830,0.801,NA,NA,624000,0.6155,67530,1.265,20550,0.9595,281700000,8.374,1313,0.9337
32250,0.5652,NA,NA,348500,0.8635,37280,1.708,16110,1.19,2.593e+09,7.494,1381,0.9769
18550,0.8157,NA,NA,564600,0.6823,26470,4.883,18770,1.015,496100,4.901,1296,0.9259
19310,0.7542,NA,NA,1140000,0.5429,25780,4.277,17420,1.2,494900,1.829,1256,0.9363
22640,0.8481,NA,NA,896200,0.5692,25280,5.004,19040,1.481,12660000,0.6419,1324,1.004
23470,0.7065,NA,NA,2287000,0.511,66600,0.8926,18290,1.173,623700,4.761,1335,0.918
27370,0.8636,NA,NA,708300,0.6052,66600,0.8926,22500,0.9851,189800000,9.911,1354,0.9289
20040,0.8709,NA,NA,346300,0.7087,41680,1.98,18060,1.126,2.233e+09,0.3622,1327,0.9127
23160,0.8022,NA,NA,1735000,0.5024,36050,2.582,21450,1.107,1.591e+09,6.555,1338,0.9171
17850,0.8866,NA,NA,1084000,0.5849,41840,1.337,18040,0.9647,39510,6.244,1278,0.9306
19130,0.8506,NA,NA,559800,0.7037,40000,1.459,20170,0.8869,39510,6.244,1299,0.961
21040,0.8872,NA,NA,249000,0.829,42120,1.142,17950,1.104,881000,1.763,1232,0.9798
27520,0.698,NA,NA,357800,0.679,67170,0.8962,20370,1.148,2.302e+09,8.912,1309,0.9978
30660,0.7157,NA,NA,582600,0.654,192400,0.6167,18910,1.078,725800000,7.216,1270,0.9359
