ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
NA,NA,NA,NA,41740,6.847,43420,2.415,7905,0.9957,NA,NA,7374,0.8579
NA,NA,NA,NA,45820,5.765,116100,1.172,6671,0.8347,NA,NA,8025,0.8443
NA,NA,NA,NA,47870,5.499,138800,1,6700,1.357,NA,NA,7799,0.8169
NA,NA,NA,NA,47870,5.499,39640,2.933,6200,1.075,NA,NA,8009,0.8848
NA,NA,NA,NA,65580,3.26,39640,2.77,8867,0.953,NA,NA,7958,0.9107
NA,NA,NA,NA,979300000,0.3579,35670,3.222,7372,1.007,NA,NA,7258,0.7754
NA,NA,NA,NA,384600000,0.4277,29750,5.919,7902,0.8134,NA,NA,7903,0.9048
NA,NA,NA,NA,432400000,0.3981,36930,3.348,8371,0.8853,NA,NA,8048,0.8682
NA,NA,NA,NA,432400000,0.3981,45340,2.232,7764,0.9698,NA,NA,7850,0.8259
NA,NA,NA,NA,67870000,0.4724,65770,1.498,8510,1.086,NA,NA,8585,0.8614
NA,NA,NA,NA,67870000,0.4724,88600,1.298,9019,0.702,NA,NA,7803,0.8999
NA,NA,NA,NA,272900000,0.4062,108200,1.211,6930,0.9765,NA,NA,7996,0.8314
NA,NA,NA,NA,140700000,0.5008,95570,1.149,8078,0.9355,NA,NA,8145,0.8605
NA,NA,NA,NA,1220000,0.8421,50130,2.228,9140,0.9497,NA,NA,7847,0.8757
NA,NA,NA,NA,2194000,0.7585,47950,2.45,9743,1.032,NA,NA,8186,0.8553
NA,NA,NA,NA,1858000,0.8351,44120,1.993,7742,1.014,NA,NA,8417,0.8387
NA,NA,NA,NA,1858000,0.8351,37610,2.865,8100,0.923,NA,NA,8981,0.9042
NA,NA,NA,NA,4408000,0.7763,94440,1.253,9414,0.8668,NA,NA,8610,0.8738
NA,NA,NA,NA,16980000,0.6173,66480,1.462,7948,0.8065,NA,NA,8583,0.8783
NA,NA,NA,NA,8516000,0.7202,74840,1.257,6749,0.8865,NA,NA,8321,0.9128
NA,NA,NA,NA,518000,1.193,87110,1.116,7385,0.9893,NA,NA,8416,0.8413
NA,NA,NA,NA,200600,1.819,94590,1.116,7365,0.9467,NA,NA,7427,0.8145
NA,NA,NA,NA,200400,1.97,82930,1.436,6836,1.311,NA,NA,7811,0.8604
NA,NA,NA,NA,1.069e+09,0.3534,69430,1.615,7629,0.9272,NA,NA,8043,0.8695
NA,NA,NA,NA,782900,9.304,61590,1.557,8631,0.7237,NA,NA,8213,0.8686
NA,NA,NA,NA,137300,9.517,38960,2.794,7589,0.9957,NA,NA,7926,0.8844
NA,NA,NA,NA,39220,9.493,45930,2.112,6803,1.07,NA,NA,7959,0.8635
NA,NA,NA,NA,1214000,8.779,51890,1.698,8627,0.7124,NA,NA,8650,0.8186
NA,NA,NA,NA,48470000,9.909,43090,2.181,7672,0.8782,NA,NA,8286,0.8352
NA,NA,NA,NA,1.27e+09,7.342,43450,2.334,6307,1.039,NA,NA,7637,0.8748
NA,NA,NA,NA,9079000,8.184,37020,3.131,7916,1.14,NA,NA,8124,0.9015
NA,NA,NA,NA,668400,5.933,61210,1.504,7187,1.115,NA,NA,8727,0.8551
NA,NA,NA,NA,74510,5.902,30700,5.881,6284,0.763,NA,NA,8096,0.8541
NA,NA,NA,NA,18510000,4.151,30700,5.881,6943,0.9834,NA,NA,8097,0.8541
NA,NA,NA,NA,6139000,8.732,55180,1.742,8081,1.079,NA,NA,8166,0.8757
NA,NA,NA,NA,3891000,7.132,125000,0.8949,6663,0.9724,NA,NA,9038,0.9437
NA,NA,NA,NA,103400,7.445,54420,2.009,7335,0.9954,NA,NA,7695,0.8466
NA,NA,NA,NA,3.957e+09,5.705,58590,1.674,5816,1.003,NA,NA,8897,0.8458
NA,NA,NA,NA,3178000,5.701,53200,1.392,7941,0.8788,NA,NA,7834,0.8104
NA,NA,NA,NA,55560000,0.5522,82570,1.156,7296,0.9655,NA,NA,7883,0.8546
NA,NA,NA,NA,117800000,0.4626,68810,1.462,8344,0.8109,NA,NA,8406,0.8326
NA,NA,NA,NA,22090000,0.5582,54560,1.63,8303,0.8455,NA,NA,8375,0.8975
NA,NA,NA,NA,22090000,0.5582,44030,2.402,7673,0.8216,NA,NA,8539,0.884
NA,NA,NA,NA,22960000,0.5252,35150,3.008,7644,0.92,NA,NA,8484,0.8457
NA,NA,NA,NA,1677000,0.9042,56950,1.898,7198,0.9638,NA,NA,8107,0.8391
