ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
12540000,0.6677,3180000,1.386,3470000,1.611,9.17e+08,0.5286,NA,NA,606300000,0.4049,100100,0.7166
11850000,0.7488,2675000,1.184,3886000,1.032,9.17e+08,0.5286,NA,NA,247800000,0.427,110600,0.8777
11780000,0.6747,2883000,1.308,4234000,1.23,9.17e+08,0.5286,NA,NA,41180000,0.6315,90200,0.7727
7506000,0.8574,3412000,0.9657,5088000,0.9498,9.17e+08,0.5286,NA,NA,20160000,0.9043,98980,0.7224
5564000,1.062,3501000,1.101,4583000,1.286,27490000,1.464,NA,NA,348200000,0.4105,105200,0.7483
4276000,1.291,2815000,1.35,3818000,1.531,25760000,1.212,NA,NA,94830000,0.5494,96410,0.8494
6187000,0.9552,3584000,1.034,7881000,0.7757,28520000,1.315,NA,NA,126300000,0.5404,105100,0.7228
6652000,0.8548,3439000,1.049,4859000,1.191,100700000,0.8285,NA,NA,2.624e+09,0.3424,88790,0.8906
5464000,1.015,2897000,1.304,4787000,1.065,30400000,1.275,NA,NA,139200000,0.5112,99780,0.8151
6335000,0.9579,3100000,1.024,4405000,1.241,30400000,1.275,NA,NA,45350000,0.6392,100500,0.7076
12520000,0.6368,3050000,1.277,4544000,1.046,30400000,1.275,NA,NA,40870000,0.5841,120800,0.7793
8587000,0.8202,2828000,1.908,4451000,1.146,23080000,1.335,NA,NA,57630000,0.6242,110800,0.7957
11500000,0.6637,2966000,1.226,3892000,1.322,43810000,1.141,NA,NA,57390000,0.5606,115400,0.7714
5227000,1.094,2753000,1.514,3059000,1.543,104100000,0.8058,NA,NA,21830000,0.8514,102600,0.8042
4909000,1.094,2630000,1.489,4663000,1.117,104100000,0.8058,NA,NA,12740000,0.9353,116000,0.9364
5910000,0.8923,3477000,1.066,3060000,1.561,80940000,0.8431,NA,NA,15500000,1.206,119000,0.784
6728000,0.8591,3403000,1.089,4166000,1.219,1.091e+09,0.5365,NA,NA,9013000,1.248,110700,0.8894
6210000,1.054,3156000,1.23,10710000,0.6092,2.882e+09,0.44,NA,NA,14710000,1.128,106800,0.8473
5578000,1.064,3443000,1.208,7731000,0.9146,2.882e+09,0.44,NA,NA,7673000,1.411,109700,0.8159
9147000,0.7378,2679000,1.272,5404000,0.9054,2.882e+09,0.44,NA,NA,35150000,0.7665,92250,0.8342
4751000,1.276,2817000,1.339,3781000,1.45,2.882e+09,0.44,NA,NA,118500000,0.5986,105700,0.9102
15840000,0.6636,2919000,1.116,3752000,1.262,2.432e+09,0.4375,NA,NA,118500000,0.5729,108100,0.8037
25860000,0.4432,3198000,1.111,4271000,1.1,2.432e+09,0.4375,NA,NA,384500000,0.3711,108700,0.713
18600000,0.5737,2717000,1.289,4281000,1.369,3.047e+09,0.4202,NA,NA,19710000,0.7741,103800,0.756
8956000,0.8424,3148000,1.171,3431000,1.378,9.451e+09,0.4747,NA,NA,215700000,0.4868,113800,0.7262
9235000,0.7337,3099000,1.258,3769000,1.357,9.451e+09,0.4747,NA,NA,47610000,0.5851,125000,0.756
4849000,1.42,2804000,1.09,5750000,1.022,9.451e+09,0.4747,NA,NA,14700000,0.9473,92150,0.9069
19540000,0.5802,2641000,1.364,3990000,1.177,9.451e+09,0.4747,NA,NA,40210000,0.5511,112000,0.7941
11840000,0.6424,3660000,0.938,6618000,0.8061,5784000,4.049,NA,NA,162400000,0.5129,113200,0.8348
6643000,0.9064,3071000,1.312,4220000,1.203,24620000,1.099,NA,NA,25940000,0.6614,88800,0.8267
5329000,1.059,2952000,1.113,5291000,1.195,3.822e+09,5.685,NA,NA,74120000,0.5689,102700,0.6721
7182000,0.8275,2832000,1.398,3677000,1.489,34260000,4.304,NA,NA,26680000,0.7209,101400,0.7996
6519000,0.9013,2693000,1.454,6199000,0.8287,9228000,2.174,NA,NA,70100000,0.565,104100,0.6939
10100000,0.732,3161000,1.48,4425000,1.141,1.043e+09,0.6198,NA,NA,89360000,0.5948,92150,0.8603
8e+06,0.8033,4343000,0.9057,6346000,0.9414,46890000,1.068,NA,NA,934800000,0.3589,105900,0.7852
5800000,0.9358,2910000,1.07,4975000,0.9511,46850000,0.9516,NA,NA,201600000,0.4849,92970,0.7997
