ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
746,0.6679,NA,NA,100200,0.5974,1174,4.32,43200,0.4728,3484000,0.1824,24.46,0.7046
706.9,0.6579,NA,NA,1551000,0.4929,1123,5.149,17940,0.6615,79390000,0.1356,24.12,0.6317
653.2,0.6825,NA,NA,2306000,0.463,1212,5.179,25260,0.5663,62730,0.3703,17.71,0.6255
657.1,0.6745,NA,NA,101300,0.6696,1143,5.183,12800,0.7547,16220000,0.1838,27.87,0.5059
665,0.6841,NA,NA,215600,0.5808,1976,2.232,7562,0.7299,6615000,0.1861,19.59,0.5251
689,0.6811,NA,NA,47070,0.7926,1659,2.257,5403,1.031,5438000,0.1966,19.42,0.726
656,0.6301,NA,NA,47070,0.7926,1265,3.871,55670,0.5256,8523000,0.1848,19.63,0.6358
739.7,0.6539,NA,NA,119800,0.717,1072,6.857,60190,0.4436,232100,0.2254,20.42,0.6577
637.7,0.7079,NA,NA,518600,0.505,1044,6.652,64390,0.4695,6883000,0.1584,32.26,0.473
624.3,0.7179,NA,NA,572000,0.4969,1049,5.715,44300,0.5314,232200,0.2917,20.47,0.7059
653.6,0.8271,NA,NA,82670,0.7359,1177,5.394,15380,0.6863,79560,0.3249,19.7,0.6118
623.4,0.6848,NA,NA,204300,0.6391,3272,1.089,28240,0.5697,4919000,0.1841,17.72,0.5052
651.6,0.6565,NA,NA,204300,0.6391,2880,1.264,133400,0.4151,648800,0.2283,25.68,0.6252
647.6,0.6654,NA,NA,204300,0.6391,1947,2.04,7249,0.8468,3909000,0.1935,21.34,0.7024
676.2,0.7283,NA,NA,56790,0.7392,4746,1.018,17600,0.6172,56290,0.3442,15.2,0.6109
724.7,0.6372,NA,NA,522300,0.5742,4970,1.017,17210,0.6435,210600,0.2264,18.02,0.5586
690.3,0.6675,NA,NA,117300,0.7167,2070,1.92,20790,0.6215,1647000,0.2131,23.91,0.5731
711.6,0.6716,NA,NA,34930,0.7823,1504,2.85,9494,0.6411,78160,0.3017,21.12,0.5636
745.5,0.6494,NA,NA,328300,0.5889,1219,3.7,25060,0.5733,103500,0.2845,17.9,0.5575
755.7,0.6631,NA,NA,328300,0.5889,2082,1.887,31260,0.5463,324300,0.2772,21.54,0.6046
