drug,ICaL_h,ICaL_IC50,Ito_h,Ito_IC50,IK1_h,IK1_IC50,IKs_h,IKs_IC50,INaL_h,INaL_IC50,INa_h,INa_IC50,hERG_IC50,hERG_h
dofetilide,1.16,260.32,0.77,18.82,0.77,394.26,NA,NA,0.26,753160.41,0.89,380.5,4.87,0.93
bepridil,0.648641112,2808.055446,3.54,8594.04,NA,NA,0.706125727,28628.30722,1.42,1813.91,1.163653755,2929.272579,50,0.92
sotalol,0.86510548,7061526.92,0.66,43143455.32,1.204371947,3050260.348,1.167218474,4221855.541,NA,NA,0.51,1.14e+09,110600,0.7678
quinidine,0.589208762,51592.34546,1.28,3487.43,0.35,39589919,1.36305201,4898.902693,1.34,9416.98,1.493724623,12329.0369,992,0.8199
cisapride,0.43,9258075.75,0.24,219112.35,0.51,29498.04,0.29,81192862,NA,NA,NA,NA,10.1,0.73
terfenadine,0.660062997,700.4003343,0.26,239960.82,NA,NA,0.54,399754,0.6,20056.02,1.015027823,4803.18322,23,0.6468
ondansetron,0.752643717,22551.37898,0.99,1023377.67,NA,NA,0.65344884,569807.4225,1.03,19180.8,1.019672018,57666.4315,1320,0.9134
chlorpromazine,0.844107446,8191.915057,0.37,17616711.07,0.687753884,9269.939647,NA,NA,0.94,4559.55,1.995393819,4535.599203,929.2,0.85
verapamil,1.096809669,201.7832944,0.82,13429.25,0.27,348913215.6,NA,NA,1.03,7028.01,NA,NA,288,0.96
ranolazine,NA,NA,NA,NA,NA,NA,0.52,36155020,0.94,7884.47,1.424957384,68774.53398,8270,0.8866
mexiletine,1.030674129,38243.58316,NA,NA,NA,NA,NA,NA,1.41,8956.75,NA,NA,28880,0.9246
diltiazem,0.714205489,112.1303862,0.17,2821526904,NA,NA,NA,NA,0.68,21868.47,0.70224184,110859.7524,13150,0.9254
