Time,V
0,-84.1205
1.00E-03,-84.1209
0.002,-84.1214
0.003,-84.1219
0.004,-84.1224
0.005,-84.1228
0.006,-84.1233
0.007,-84.1238
0.008,-84.1242
0.009,-84.1247
0.01,-84.1251
0.011,-84.1256
0.012,-84.1261
0.013,-84.1266
0.014,-84.127
0.015,-84.1275
0.016,-84.1279
0.017,-84.1284
0.018,-84.1288
0.019,-84.1292
0.02,-84.1297
0.021,-84.1301
0.022,-84.1306
0.023,-84.131
0.024,-84.1315
0.025,-84.1319
0.026,-84.1324
0.027,-84.1327
0.028,-84.1331
0.029,-84.1336
0.03,-84.134
0.031,-84.1345
0.032,-84.1349
0.033,-84.1353
0.034,-84.1357
0.035,-84.1362
0.036,-84.1365
0.037,-84.1369
0.038,-84.1374
0.039,-84.1378
0.04,-84.1382
0.041,-84.1386
0.042,-84.139
0.043,-84.1394
0.044,-84.1399
0.045,-84.1402
0.046,-84.1406
0.047,-84.141
0.048,-84.1415
0.049,-84.1418
0.05,-84.1422
0.051,-84.1426
0.052,-84.143
0.053,-84.1434
0.054,-84.1438
0.055,-84.1442
0.056,-84.1446
0.057,-84.1449
0.058,-84.1454
0.059,-84.1456
0.06,-84.1461
0.061,-84.1464
0.062,-84.1468
0.063,-84.1472
0.064,-84.1475
0.065,-84.148
0.066,-84.1483
0.067,-84.1487
0.068,-84.1491
0.069,-84.1494
0.07,-84.1498
0.071,-84.1502
0.072,-84.1505
0.073,-84.1509
0.074,-84.1513
0.075,-84.1516
0.076,-84.1519
0.077,-84.1523
0.078,-84.1527
0.079,-84.153
0.08,-84.1534
0.081,-84.1537
0.082,-84.1541
0.083,-84.1545
0.084,-84.1548
0.085,-84.1551
0.086,-84.1555
0.087,-84.1558
0.088,-84.1561
0.089,-84.1566
0.09,-84.1569
0.091,-84.1572
0.092,-84.1576
0.093,-84.1579
0.094,-84.1582
0.095,-84.1586
0.096,-84.1589
0.097,-84.1592
0.098,-84.1596
0.099,-84.1599
0.1,-84.1601
0.101,-84.1608
0.102,-84.1604
0.103,-84.1621
0.104,-84.1599
0.105,-84.165
0.106,-84.155
0.107,-84.2406
0.108,-84.2961
0.109,-84.3085
0.11,-84.2786
0.111,-84.2717
0.112,-84.2774
0.113,-84.2741
0.114,-84.2547
0.115,-84.1359
0.116,-84.2459
0.117,-84.2438
0.118,-84.2716
0.119,-84.3929
0.12,-84.1843
0.121,-84.1826
0.122,-84.1515
0.123,-84.0615
0.124,-84.0328
0.125,-84.2328
0.126,-84.3295
0.127,-84.2317
0.128,-84.251
0.129,-84.1995
0.13,-84.2562
0.131,-84.1444
0.132,-84.2014
0.133,-84.0806
0.134,-84.2774
0.135,-84.1744
0.136,-84.2356
0.137,-84.2611
0.138,-84.0715
0.139,-84.2612
0.14,-84.3348
0.141,-84.2961
0.142,-84.2643
0.143,-84.1333
0.144,-84.2018
0.145,-84.2093
0.146,-84.1641
0.147,-84.1421
0.148,-84.2546
0.149,-84.1737
0.15,-84.2707
0.151,-84.3164
0.152,-84.1268
0.153,-84.3179
0.154,-84.3228
0.155,-84.2624
0.156,-84.3213
0.157,-84.4155
0.158,-84.1249
0.159,-84.3076
0.16,-84.2458
0.161,-84.261
0.162,-84.3744
0.163,-84.3171
0.164,-84.3457
0.165,-84.4318
0.166,-84.3255
0.167,-84.3487
0.168,-84.3041
0.169,-84.4993
0.17,-84.3054
0.171,-84.6889
0.172,-94.3
0.173,-94.3
0.174,-94.3
0.175,-94.3
0.176,-94.3
0.177,-94.3
0.178,-94.3
0.179,-94.3
0.18,-94.3
0.181,-94.3
0.182,-94.3
0.183,-94.3
0.184,-94.3
0.185,-94.3
0.186,-94.3
0.187,-94.3
0.188,-94.3
